fathers_occupation,sons_occupation,family_structure,race,counts_for_sons_first_occupation,counts_for_sons_current_occupation
Salesman-Retail,Operative-Nonmanufacturing,nonintact,white,3.752625,between 3.3 and 14.6
Manager,Professional-Salaried,intact,white,19.860174,greater than 14.6
Professional_Self-Employed,Manager,intact,white,4.1067677,less than 0.6
Professional_Self-Employed,Laborer-Manufacturing,nonintact,white,28.262207,greater than 14.6
Craftsmen-Other,Professional-Salaried,nonintact,white,24.437338,between 3.3 and 14.6
Manager,Operative-Manufacturing,nonintact,white,1.5260918,between 0.6 and 3.3
Professional-Salaried,Laborer-Nonmanufacturing,intact,black,-0.061000954,less than 0.6
Farmer/Farm_Manager,Laborer-Nonmanufacturing,nonintact,white,4.489019,between 3.3 and 14.6
Laborer-Nonmanufacturing,Salesman-Retail,nonintact,white,4.2447805,between 0.6 and 3.3
Proprietor,Operative-Manufacturing,intact,white,8.844257,between 3.3 and 14.6
Operative-Manufacturing,Salesman-Retail,nonintact,black,0.43015838,less than 0.6
Laborer-Nonmanufacturing,Manager,intact,white,9.625964,between 3.3 and 14.6
Craftsman-Construction,Manager,intact,white,18.56545,greater than 14.6
Laborer-Manufacturing,Professional_Self-Employed,nonintact,white,1.6504389,between 3.3 and 14.6
Operative-Manufacturing,Laborer-Nonmanufacturing,nonintact,black,-0.04636679,less than 0.6
Professional-Salaried,Manager,intact,white,12.472576,between 3.3 and 14.6
Professional-Salaried,Professional-Salaried,nonintact,black,26.58579,greater than 14.6
Laborer-Manufacturing,Operative-Nonmanufacturing,intact,black,9.319349,between 3.3 and 14.6
Operative-Manufacturing,Craftsman-Manufacturing,nonintact,white,10.65154,between 3.3 and 14.6
Laborer-Manufacturing,Professional-Salaried,nonintact,white,0.4198089,between 3.3 and 14.6
Service_Worker,Professional-Salaried,intact,white,16.483551,greater than 14.6
Service_Worker,Craftsman-Manufacturing,intact,white,5.227977,between 3.3 and 14.6
Salesman-Nonretail,Professional-Salaried,nonintact,black,18.925014,greater than 14.6
Craftsmen-Other,Operative-Nonmanufacturing,nonintact,black,1.5828829,between 0.6 and 3.3
Professional_Self-Employed,Service_Worker,nonintact,white,1.498887,between 0.6 and 3.3
Craftsman-Manufacturing,Operative-Manufacturing,nonintact,white,13.317659,between 3.3 and 14.6
Operative-Manufacturing,Manager,nonintact,black,11.429296,between 3.3 and 14.6
Operative-Manufacturing,Craftsman-Manufacturing,nonintact,white,73.36597,greater than 14.6
Farm_Laborer,Professional-Salaried,nonintact,black,0.25982624,between 0.6 and 3.3
Salesman-Nonretail,Manager,nonintact,black,0.8885144,less than 0.6
Professional_Self-Employed,Operative-Manufacturing,nonintact,white,2.5888627,between 3.3 and 14.6
Craftsman-Manufacturing,Manager,nonintact,white,11.68209,greater than 14.6
