fathers_occupation,sons_occupation,family_structure,race,counts_for_sons_first_occupation,counts_for_sons_current_occupation
Craftsman-Construction,Salesman-Nonretail,nonintact,black,-0.015986368,less than 0.6
Professional-Salaried,Salesman-Nonretail,nonintact,black,42.850155,greater than 14.6
Operative-Nonmanufacturing,Craftsmen-Other,nonintact,white,2.0524335,between 0.6 and 3.3
Salesman-Nonretail,Professional-Salaried,intact,white,0.02107326,between 0.6 and 3.3
Craftsman-Construction,Farmer/Farm_Manager,intact,white,2.6368845,between 0.6 and 3.3
Craftsmen-Other,Service_Worker,nonintact,white,-0.18392915,less than 0.6
Craftsman-Manufacturing,Craftsman-Construction,nonintact,black,0.16569072,less than 0.6
Manager,Farm_Laborer,nonintact,black,-0.02945584,less than 0.6
Professional_Self-Employed,Proprietor,nonintact,white,32.9337,greater than 14.6
Operative-Nonmanufacturing,Farmer/Farm_Manager,nonintact,black,0.11547813,between 0.6 and 3.3
Laborer-Manufacturing,Farmer/Farm_Manager,nonintact,white,13.009421,between 0.6 and 3.3
Salesman-Nonretail,Proprietor,intact,white,-0.12941334,less than 0.6
Operative-Nonmanufacturing,Laborer-Manufacturing,nonintact,black,1.0766747,between 0.6 and 3.3
Salesman-Retail,Operative-Manufacturing,nonintact,white,0.037497997,less than 0.6
Professional_Self-Employed,Operative-Nonmanufacturing,nonintact,white,0.1038781,between 0.6 and 3.3
Craftsman-Construction,Craftsmen-Other,intact,black,0.13208807,between 0.6 and 3.3
Salesman-Nonretail,Service_Worker,nonintact,black,-0.1885108,between 0.6 and 3.3
Operative-Manufacturing,Farmer/Farm_Manager,nonintact,black,5.7942705,between 0.6 and 3.3
Clerk,Service_Worker,nonintact,black,19.060131,greater than 14.6
Craftsman-Construction,Professional-Salaried,nonintact,black,1.2277651,less than 0.6
Proprietor,Clerk,nonintact,black,3.3614867,between 3.3 and 14.6
Salesman-Nonretail,Clerk,nonintact,black,112.80956,greater than 14.6
Professional_Self-Employed,Operative-Nonmanufacturing,nonintact,black,-0.101568975,less than 0.6
Operative-Nonmanufacturing,Craftsmen-Other,nonintact,black,7.616752,between 3.3 and 14.6
Professional-Salaried,Farm_Laborer,intact,white,-0.78777194,between 0.6 and 3.3
Laborer-Manufacturing,Professional_Self-Employed,nonintact,white,12.697285,greater than 14.6
Salesman-Retail,Service_Worker,nonintact,black,15.92666,between 3.3 and 14.6
Craftsmen-Other,Professional-Salaried,nonintact,white,6.6599846,between 3.3 and 14.6
Farm_Laborer,Salesman-Retail,intact,black,14.417488,between 3.3 and 14.6
Professional_Self-Employed,Proprietor,intact,white,0.68759763,less than 0.6
Craftsman-Manufacturing,Professional-Salaried,nonintact,black,9.637628,between 3.3 and 14.6
Professional_Self-Employed,Operative-Nonmanufacturing,nonintact,white,1.1036906,between 0.6 and 3.3
Craftsman-Manufacturing,Service_Worker,intact,white,1.1345505,between 3.3 and 14.6
Operative-Nonmanufacturing,Craftsman-Construction,intact,white,0.076395065,less than 0.6
Professional-Salaried,Farmer/Farm_Manager,intact,black,12.542454,between 3.3 and 14.6
Proprietor,Proprietor,intact,white,0.18207869,less than 0.6
Craftsmen-Other,Operative-Manufacturing,nonintact,black,3.1254594,less than 0.6
Operative-Nonmanufacturing,Craftsmen-Other,intact,white,1.5197471,between 0.6 and 3.3
Salesman-Nonretail,Salesman-Nonretail,nonintact,black,0.016023519,less than 0.6
Clerk,Service_Worker,intact,white,1.849815,greater than 14.6
Service_Worker,Craftsmen-Other,nonintact,white,3.5335722,between 0.6 and 3.3
Operative-Nonmanufacturing,Craftsmen-Other,nonintact,white,-0.61405224,less than 0.6
Clerk,Laborer-Manufacturing,nonintact,white,0.14857867,between 0.6 and 3.3
Manager,Proprietor,intact,black,-0.14256823,less than 0.6
Craftsman-Manufacturing,Farmer/Farm_Manager,nonintact,white,24.875404,greater than 14.6
Professional-Salaried,Craftsman-Construction,nonintact,black,0.30551448,between 0.6 and 3.3
Salesman-Nonretail,Service_Worker,intact,white,0.22591792,less than 0.6
Proprietor,Salesman-Retail,intact,white,-0.061244044,less than 0.6
Craftsmen-Other,Service_Worker,nonintact,black,1.2489737,greater than 14.6
Professional-Salaried,Service_Worker,nonintact,black,0.06301088,between 0.6 and 3.3
Operative-Nonmanufacturing,Salesman-Nonretail,nonintact,black,0.064197205,less than 0.6
Professional_Self-Employed,Craftsman-Manufacturing,intact,black,120.59003,greater than 14.6
Salesman-Retail,Service_Worker,nonintact,black,24.819448,greater than 14.6
Craftsman-Construction,Proprietor,intact,black,0.53290296,between 3.3 and 14.6
Salesman-Nonretail,Craftsmen-Other,intact,black,2.5577252,between 3.3 and 14.6
Professional-Salaried,Craftsman-Construction,intact,black,10.716401,greater than 14.6
