lread,lwrite,scall,sread,swrite,fork,exec,rchar,wchar,pgout,ppgout,pgfree,pgscan,atch,pgin,ppgin,pflt,vflt,runqsz,freemem,freeswap,usr
54.0,69.0,1119.0,120.0,112.0,0.6,0.6,255769.0,25425.0,2.81,7.41,9.82,7.41,0.8,45.69,46.49,49.7,160.92,4.0,260.0,1042852.0,between 81.0 and 89.0
4.0,0.0,2781.0,263.0,222.0,2.6,1.2,245197.0,44762.0,0.0,0.0,0.0,0.0,0.2,5.2,5.2,138.4,252.6,1.7,2744.0,1047638.0,between 81.0 and 89.0
17.0,15.0,3856.0,250.0,177.0,1.2,2.4,50246.0,29854.0,0.0,0.0,0.0,0.0,0.2,12.2,12.2,100.8,131.8,2.0,767.0,1017691.0,between 81.0 and 89.0
6.0,2.0,1746.0,176.0,39.0,0.4,0.6,53078.0,35289.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.2,84.0,1.4,6830.0,1826608.0,greater than 94.0
46.0,66.0,2118.0,90.0,116.0,0.4,0.4,4054.0,20486.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,42.6,39.6,2.2,540.0,1724573.0,between 89.0 and 94.0
40.0,55.0,5497.0,160.0,103.0,1.4,1.8,31832.0,42627.0,5.6,7.2,7.2,0.0,3.8,3.6,4.4,137.0,144.4,3.4,325.0,1445446.0,less than 81.0
9.0,1.0,2230.0,589.0,174.0,4.19,3.79,213981.0,66317.0,0.4,0.6,0.4,0.0,0.6,8.38,11.58,280.44,492.22,5.8,341.0,1737435.0,less than 81.0
2.0,1.0,3363.0,126.0,134.0,0.2,0.2,13163.0,176688.0,0.0,0.0,0.0,0.0,0.2,0.8,0.8,18.0,19.6,2.2,452.0,1523230.0,between 89.0 and 94.0
18.0,3.0,3319.0,461.0,361.0,9.8,5.4,190527.0,28434.0,0.8,1.0,4.2,7.6,0.4,1.0,1.0,467.0,708.6,3.4,881.0,1539952.0,less than 81.0
3.0,1.0,3085.0,306.0,153.0,0.4,0.4,142703.0,32976.0,0.0,0.0,0.0,0.0,0.8,9.8,19.0,30.6,81.8,1.7,575.0,1076379.0,between 89.0 and 94.0
7.0,2.0,1251.0,129.0,91.0,0.6,0.8,100872.0,17439.0,1.0,1.0,8.82,12.22,18.84,1.6,1.8,46.69,86.37,134.0,93.0,7.0,less than 81.0
84.0,91.0,1897.0,218.0,173.0,0.6,2.0,376838.0,252983.0,29.94,63.07,108.18,109.78,3.79,25.55,61.68,35.93,69.06,5.4,126.0,1597289.0,between 81.0 and 89.0
9.0,6.0,2444.0,127.0,94.0,0.8,0.8,10375.0,22113.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,212.0,101.8,3.0,387.0,978213.0,between 89.0 and 94.0
24.0,21.0,2013.0,472.0,171.0,2.8,3.6,623893.0,577518.0,0.0,0.0,0.0,0.0,0.0,1.2,1.6,167.0,255.4,1.5,606.0,1045882.0,between 81.0 and 89.0
30.0,41.0,1298.0,133.0,179.0,1.4,1.8,240956.0,551071.0,22.6,46.4,64.0,34.6,0.4,0.6,1.0,127.4,410.8,1.8,845.0,1723450.0,less than 81.0
41.0,2.0,2558.0,195.0,167.0,0.4,0.4,57499.0,66239.0,7.6,13.2,10.4,0.0,1.0,8.4,8.4,41.6,52.8,2.4,320.0,1718912.0,between 81.0 and 89.0
