lread,lwrite,scall,sread,swrite,fork,exec,rchar,wchar,pgout,ppgout,pgfree,pgscan,atch,pgin,ppgin,pflt,vflt,runqsz,freemem,freeswap,usr
3.0,1.0,1395.0,113.0,60.0,0.8,1.4,92509.0,18384.0,0.0,0.0,0.0,0.0,0.0,0.8,1.2,82.6,111.6,3.0,812.0,1067821.0,greater than 94.0
22.0,15.0,4679.0,409.0,258.0,2.4,3.2,542748.0,293954.0,0.0,0.0,0.0,0.0,0.0,8.2,13.6,145.0,241.0,3.8,876.0,1343698.0,between 81.0 and 89.0
18.0,12.0,923.0,212.0,117.0,2.0,0.6,294150.0,236336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.8,137.0,2.6,5351.0,1826106.0,between 89.0 and 94.0
10.0,3.0,1642.0,203.0,187.0,2.6,1.2,166460.0,145197.0,2.0,2.2,2.2,0.0,1.0,12.0,12.0,153.6,238.2,3.2,218.0,1522285.0,between 81.0 and 89.0
19.0,29.0,4577.0,140.0,85.0,0.2,0.2,618181.0,101628.0,8.0,32.4,141.0,220.8,0.0,71.0,142.0,19.6,17.0,2.0,109.0,1760770.0,less than 81.0
0.0,0.0,408.0,170.0,58.0,0.2,0.2,278728.0,227876.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,15.6,17.4,2.0,1717.0,1759920.0,greater than 94.0
38.0,25.0,2538.0,305.0,314.0,1.2,2.6,724260.0,778799.0,23.6,98.4,257.8,584.8,0.4,64.2,122.6,93.8,180.2,1.0,129.0,1021626.0,less than 81.0
9.0,0.0,2548.0,166.0,102.0,2.2,4.6,102717.0,26704.0,3.8,4.2,4.2,0.0,1.6,1.6,1.8,71.8,142.4,3.8,178.0,1112818.0,between 81.0 and 89.0
1.0,0.0,5943.0,300.0,203.0,0.8,1.2,51713.0,38197.0,1.0,7.82,46.29,65.93,0.0,21.64,23.65,78.56,213.63,6.2,138.0,1024835.0,between 81.0 and 89.0
19.0,1.0,4233.0,878.0,403.0,3.4,1.8,313999.0,280066.0,0.0,0.0,0.0,0.0,0.4,23.8,26.6,174.4,401.4,2.0,644.0,1059965.0,less than 81.0
47.0,67.0,1061.0,122.0,80.0,0.4,0.6,138370.0,33738.0,0.6,0.8,0.8,0.0,1.0,1.4,1.8,39.92,109.18,3.0,550.0,1009661.0,between 89.0 and 94.0
