Team,League,Year,RA,W,OBP,SLG,BA,Playoffs,G,RS
MIL,NL,2007,776,83,0.3289999999999999,0.456,0.262,0,162,greater than 775.0
SFG,NL,1962,690,103,0.341,0.441,0.278,1,165,greater than 775.0
NYM,NL,1997,709,88,0.332,0.405,0.262,0,162,greater than 775.0
LAD,NL,1964,572,80,0.305,0.34,0.25,0,164,less than 652.0
CHC,NL,2011,756,71,0.314,0.401,0.256,0,162,between 652.0 and 711.0
BOS,AL,1966,731,72,0.31,0.376,0.24,0,162,between 652.0 and 711.0
TEX,AL,1986,743,87,0.331,0.428,0.267,0,162,between 711.0 and 775.0
ATL,NL,1971,699,82,0.312,0.385,0.257,0,162,less than 652.0
LAD,NL,1976,543,92,0.313,0.349,0.251,0,162,less than 652.0
STL,NL,1999,838,75,0.3379999999999999,0.426,0.262,0,161,greater than 775.0
ARI,NL,2009,782,70,0.324,0.418,0.253,0,162,between 711.0 and 775.0
SDP,NL,1988,583,83,0.31,0.351,0.247,0,161,less than 652.0
LAD,NL,1977,582,98,0.336,0.418,0.266,1,162,between 711.0 and 775.0
STL,NL,2005,634,100,0.3389999999999999,0.423,0.27,1,162,greater than 775.0
ATL,NL,2007,733,84,0.3389999999999999,0.435,0.275,0,162,greater than 775.0
PHI,NL,1979,718,84,0.34,0.396,0.266,0,163,between 652.0 and 711.0
