Team,League,Year,RA,W,OBP,SLG,BA,Playoffs,RankSeason,RankPlayoffs,G,OOBP,OSLG,RS
LAD,NL,1978,573,95,0.3379999999999999,0.402,0.264,1,2.0,2.0,162,,,between 711.0 and 775.0
NYY,AL,1983,703,91,0.337,0.416,0.273,0,,,162,,,between 711.0 and 775.0
SFG,NL,2000,747,97,0.362,0.472,0.278,1,1.0,4.0,162,0.342,0.412,greater than 775.0
BOS,AL,2007,657,96,0.362,0.444,0.2789999999999999,1,1.0,1.0,162,0.314,0.392,greater than 775.0
CLE,AL,1990,737,77,0.324,0.391,0.267,0,,,162,,,between 711.0 and 775.0
MIL,AL,1989,679,81,0.318,0.382,0.259,0,,,162,,,between 652.0 and 711.0
OAK,AL,1969,678,88,0.3289999999999999,0.376,0.249,0,,,162,,,between 711.0 and 775.0
TEX,AL,1997,823,77,0.3339999999999999,0.4379999999999999,0.2739999999999999,0,,,162,,,greater than 775.0
ATL,NL,1974,563,88,0.319,0.363,0.249,0,,,163,,,between 652.0 and 711.0
KCA,AL,1966,648,74,0.294,0.337,0.236,0,,,160,,,less than 652.0
ARI,NL,2004,899,51,0.31,0.3929999999999999,0.253,0,,,162,0.35,0.439,less than 652.0
CHC,NL,2005,714,79,0.324,0.44,0.27,0,,,162,0.325,0.407,between 652.0 and 711.0
SFG,NL,1982,687,87,0.327,0.376,0.253,0,,,162,,,between 652.0 and 711.0
SDP,NL,2003,831,64,0.3329999999999999,0.3879999999999999,0.261,0,,,162,0.341,0.437,between 652.0 and 711.0
CHW,AL,1979,748,73,0.3329999999999999,0.41,0.275,0,,,160,,,between 711.0 and 775.0
ATL,NL,1973,774,76,0.3389999999999999,0.427,0.266,0,,,162,,,greater than 775.0
