Team,League,Year,RA,W,OBP,SLG,BA,Playoffs,G,RS
HOU,NL,1975,711,64,0.32,0.359,0.254,0,162,between 652.0 and 711.0
PHI,NL,1984,690,81,0.3329999999999999,0.407,0.266,0,162,between 711.0 and 775.0
TBD,AL,1999,913,69,0.3429999999999999,0.411,0.2739999999999999,0,162,between 711.0 and 775.0
LAA,AL,1962,706,86,0.325,0.38,0.25,0,162,between 711.0 and 775.0
MON,NL,1998,783,65,0.31,0.3939999999999999,0.249,0,162,less than 652.0
SDP,NL,2011,611,71,0.305,0.349,0.237,0,162,less than 652.0
TOR,AL,2008,610,86,0.331,0.3989999999999999,0.264,0,162,between 711.0 and 775.0
SFG,NL,1987,669,90,0.324,0.43,0.26,1,162,greater than 775.0
COL,NL,2006,812,76,0.341,0.433,0.27,0,162,greater than 775.0
PIT,NL,1984,567,75,0.31,0.363,0.255,0,162,less than 652.0
BOS,AL,1987,825,78,0.352,0.43,0.278,0,162,greater than 775.0
CHC,NL,1992,624,78,0.307,0.364,0.254,0,162,less than 652.0
MIN,AL,1963,602,91,0.325,0.43,0.255,0,161,between 711.0 and 775.0
PHI,NL,1990,729,77,0.327,0.363,0.255,0,162,less than 652.0
STL,NL,2009,640,91,0.332,0.415,0.263,1,162,between 711.0 and 775.0
ATL,NL,1982,702,89,0.325,0.3829999999999999,0.256,1,162,between 711.0 and 775.0
MIL,AL,1982,717,95,0.335,0.455,0.2789999999999999,1,163,greater than 775.0
CHW,AL,1991,681,87,0.336,0.391,0.262,0,162,between 711.0 and 775.0
KCR,AL,1999,921,64,0.348,0.433,0.282,0,161,greater than 775.0
CHC,NL,1974,826,66,0.327,0.365,0.251,0,162,between 652.0 and 711.0
PHI,NL,1983,635,90,0.3289999999999999,0.373,0.249,1,163,between 652.0 and 711.0
LAD,NL,2000,729,86,0.341,0.431,0.257,0,162,greater than 775.0
BOS,AL,2001,745,82,0.3339999999999999,0.439,0.266,0,161,between 711.0 and 775.0
SFG,NL,1963,641,88,0.316,0.414,0.258,0,162,between 711.0 and 775.0
CHW,AL,2004,831,83,0.3329999999999999,0.457,0.268,0,162,greater than 775.0
PHI,NL,1963,578,87,0.306,0.381,0.252,0,162,less than 652.0
CIN,NL,2002,774,78,0.33,0.408,0.253,0,162,between 652.0 and 711.0
CIN,NL,2006,801,80,0.336,0.432,0.257,0,162,between 711.0 and 775.0
TBD,AL,2004,842,70,0.32,0.405,0.258,0,161,between 711.0 and 775.0
BAL,AL,1986,760,73,0.327,0.395,0.258,0,162,between 652.0 and 711.0
NYM,NL,1987,698,92,0.3389999999999999,0.434,0.268,0,162,greater than 775.0
SFG,NL,1974,723,72,0.322,0.358,0.252,0,162,less than 652.0
NYM,NL,1984,676,90,0.32,0.369,0.257,0,162,between 652.0 and 711.0
TEX,AL,2012,707,93,0.3339999999999999,0.446,0.273,1,162,greater than 775.0
CAL,AL,1965,569,75,0.297,0.341,0.239,0,162,less than 652.0
KCR,AL,1997,820,67,0.3329999999999999,0.407,0.264,0,161,between 711.0 and 775.0
NYY,AL,1984,679,87,0.3389999999999999,0.4039999999999999,0.276,0,162,between 711.0 and 775.0
CLE,AL,1975,703,79,0.327,0.392,0.261,0,159,between 652.0 and 711.0
LAD,NL,1983,609,91,0.318,0.379,0.25,1,163,between 652.0 and 711.0
STL,NL,2011,692,90,0.341,0.425,0.273,1,162,between 711.0 and 775.0
CIN,NL,1998,760,77,0.337,0.402,0.262,0,162,between 711.0 and 775.0
MIN,AL,2011,804,63,0.306,0.36,0.247,0,162,less than 652.0
MIN,AL,1978,678,73,0.3389999999999999,0.375,0.267,0,162,between 652.0 and 711.0
BOS,AL,2007,657,96,0.362,0.444,0.2789999999999999,1,162,greater than 775.0
CIN,NL,1983,710,74,0.314,0.356,0.239,0,162,less than 652.0
BAL,AL,2008,869,68,0.3329999999999999,0.429,0.267,0,161,greater than 775.0
BOS,AL,1974,661,84,0.3329999999999999,0.377,0.264,0,162,between 652.0 and 711.0
MIL,AL,1973,731,74,0.325,0.3879999999999999,0.253,0,162,between 652.0 and 711.0
PIT,NL,2008,884,67,0.32,0.4029999999999999,0.258,0,162,between 711.0 and 775.0
BOS,AL,1993,698,80,0.33,0.395,0.264,0,162,between 652.0 and 711.0
TOR,AL,1985,588,99,0.331,0.425,0.2689999999999999,1,161,between 711.0 and 775.0
PIT,NL,1980,646,83,0.322,0.3879999999999999,0.266,0,162,between 652.0 and 711.0
ATL,NL,2000,714,95,0.346,0.429,0.271,1,162,greater than 775.0
DET,AL,1999,882,69,0.326,0.4429999999999999,0.261,0,161,between 711.0 and 775.0
ANA,AL,2000,869,82,0.352,0.472,0.28,0,162,greater than 775.0
CAL,AL,1967,587,84,0.301,0.349,0.238,0,161,less than 652.0
CAL,AL,1974,657,68,0.321,0.356,0.254,0,163,less than 652.0
BAL,AL,1968,497,91,0.304,0.352,0.225,0,162,less than 652.0
CAL,AL,1985,703,90,0.3329999999999999,0.386,0.251,0,162,between 711.0 and 775.0
DET,AL,1983,679,92,0.335,0.427,0.2739999999999999,0,162,greater than 775.0
NYM,NL,1968,499,73,0.281,0.315,0.228,0,163,less than 652.0
FLA,NL,1996,703,80,0.3289999999999999,0.3929999999999999,0.257,0,162,between 652.0 and 711.0
MIN,AL,1986,839,71,0.325,0.428,0.261,0,162,between 711.0 and 775.0
CHC,NL,2004,665,89,0.3279999999999999,0.4579999999999999,0.268,0,162,greater than 775.0
