Team,League,Year,RA,W,OBP,SLG,BA,Playoffs,RankSeason,RankPlayoffs,G,OOBP,OSLG,RS
MIL,NL,2007,776,83,0.3289999999999999,0.456,0.262,0,,,162,0.3329999999999999,0.422,greater than 775.0
SFG,NL,1962,690,103,0.341,0.441,0.278,1,1.0,2.0,165,,,greater than 775.0
NYM,NL,1997,709,88,0.332,0.405,0.262,0,,,162,,,greater than 775.0
LAD,NL,1964,572,80,0.305,0.34,0.25,0,,,164,,,less than 652.0
CHC,NL,2011,756,71,0.314,0.401,0.256,0,,,162,0.335,0.413,between 652.0 and 711.0
BOS,AL,1966,731,72,0.31,0.376,0.24,0,,,162,,,between 652.0 and 711.0
TEX,AL,1986,743,87,0.331,0.428,0.267,0,,,162,,,between 711.0 and 775.0
ATL,NL,1971,699,82,0.312,0.385,0.257,0,,,162,,,less than 652.0
LAD,NL,1976,543,92,0.313,0.349,0.251,0,,,162,,,less than 652.0
STL,NL,1999,838,75,0.3379999999999999,0.426,0.262,0,,,161,0.355,0.427,greater than 775.0
ARI,NL,2009,782,70,0.324,0.418,0.253,0,,,162,0.33,0.419,between 711.0 and 775.0
SDP,NL,1988,583,83,0.31,0.351,0.247,0,,,161,,,less than 652.0
LAD,NL,1977,582,98,0.336,0.418,0.266,1,4.0,2.0,162,,,between 711.0 and 775.0
STL,NL,2005,634,100,0.3389999999999999,0.423,0.27,1,1.0,3.0,162,0.318,0.3979999999999999,greater than 775.0
ATL,NL,2007,733,84,0.3389999999999999,0.435,0.275,0,,,162,0.327,0.415,greater than 775.0
PHI,NL,1979,718,84,0.34,0.396,0.266,0,,,163,,,between 652.0 and 711.0
MIL,AL,1996,899,80,0.353,0.441,0.2789999999999999,0,,,162,,,greater than 775.0
CIN,NL,2008,800,74,0.321,0.408,0.247,0,,,162,0.345,0.45,between 652.0 and 711.0
CHW,AL,1975,703,75,0.331,0.358,0.255,0,,,161,,,between 652.0 and 711.0
CIN,NL,1969,768,89,0.335,0.422,0.2769999999999999,0,,,163,,,greater than 775.0
TOR,AL,1993,742,95,0.35,0.436,0.2789999999999999,1,3.0,1.0,162,,,greater than 775.0
BOS,AL,1975,709,95,0.344,0.417,0.275,1,3.0,2.0,160,,,greater than 775.0
NYY,AL,1999,731,98,0.366,0.4529999999999999,0.282,1,3.0,1.0,162,0.3289999999999999,0.4,greater than 775.0
CHW,AL,1967,491,89,0.291,0.32,0.225,0,,,162,,,less than 652.0
BOS,AL,1976,660,83,0.324,0.402,0.263,0,,,162,,,between 711.0 and 775.0
MIN,AL,1971,670,74,0.3229999999999999,0.372,0.26,0,,,160,,,between 652.0 and 711.0
BAL,AL,1993,745,85,0.346,0.413,0.267,0,,,162,,,greater than 775.0
TOR,AL,1991,622,91,0.322,0.4,0.257,1,4.0,3.0,162,,,between 652.0 and 711.0
MLN,NL,1965,633,86,0.31,0.416,0.256,0,,,162,,,between 652.0 and 711.0
TBR,AL,2012,577,90,0.317,0.3939999999999999,0.24,0,,,162,0.294,0.352,between 652.0 and 711.0
NYY,AL,1986,738,90,0.347,0.43,0.271,0,,,162,,,greater than 775.0
PHI,NL,1970,730,73,0.305,0.356,0.238,0,,,161,,,less than 652.0
