Team,League,Year,RA,W,OBP,SLG,BA,Playoffs,G,RS
LAD,NL,1978,573,95,0.3379999999999999,0.402,0.264,1,162,between 711.0 and 775.0
NYY,AL,1983,703,91,0.337,0.416,0.273,0,162,between 711.0 and 775.0
SFG,NL,2000,747,97,0.362,0.472,0.278,1,162,greater than 775.0
BOS,AL,2007,657,96,0.362,0.444,0.2789999999999999,1,162,greater than 775.0
CLE,AL,1990,737,77,0.324,0.391,0.267,0,162,between 711.0 and 775.0
MIL,AL,1989,679,81,0.318,0.382,0.259,0,162,between 652.0 and 711.0
OAK,AL,1969,678,88,0.3289999999999999,0.376,0.249,0,162,between 711.0 and 775.0
TEX,AL,1997,823,77,0.3339999999999999,0.4379999999999999,0.2739999999999999,0,162,greater than 775.0
ATL,NL,1974,563,88,0.319,0.363,0.249,0,163,between 652.0 and 711.0
KCA,AL,1966,648,74,0.294,0.337,0.236,0,160,less than 652.0
ARI,NL,2004,899,51,0.31,0.3929999999999999,0.253,0,162,less than 652.0
CHC,NL,2005,714,79,0.324,0.44,0.27,0,162,between 652.0 and 711.0
SFG,NL,1982,687,87,0.327,0.376,0.253,0,162,between 652.0 and 711.0
SDP,NL,2003,831,64,0.3329999999999999,0.3879999999999999,0.261,0,162,between 652.0 and 711.0
CHW,AL,1979,748,73,0.3329999999999999,0.41,0.275,0,160,between 711.0 and 775.0
ATL,NL,1973,774,76,0.3389999999999999,0.427,0.266,0,162,greater than 775.0
LAD,NL,1966,490,95,0.314,0.362,0.256,1,162,less than 652.0
TOR,AL,1990,661,86,0.3279999999999999,0.419,0.265,0,162,between 711.0 and 775.0
BOS,AL,2012,806,69,0.315,0.415,0.26,0,162,between 711.0 and 775.0
CHW,AL,2000,839,95,0.356,0.47,0.286,1,162,greater than 775.0
ATL,NL,2005,674,90,0.3329999999999999,0.435,0.265,1,162,between 711.0 and 775.0
KCR,AL,2009,842,65,0.318,0.405,0.259,0,162,between 652.0 and 711.0
BAL,AL,2006,899,70,0.3389999999999999,0.424,0.2769999999999999,0,162,between 711.0 and 775.0
DET,AL,2006,675,95,0.3289999999999999,0.449,0.2739999999999999,1,162,greater than 775.0
PHI,NL,1963,578,87,0.306,0.381,0.252,0,162,less than 652.0
SFG,NL,1975,671,80,0.3329999999999999,0.365,0.259,0,161,between 652.0 and 711.0
SDP,NL,2004,705,87,0.342,0.414,0.273,0,162,between 711.0 and 775.0
CLE,AL,1971,747,60,0.3,0.342,0.238,0,162,less than 652.0
BAL,AL,1979,582,102,0.336,0.419,0.261,1,159,between 711.0 and 775.0
KCR,AL,1984,686,84,0.317,0.3989999999999999,0.268,1,162,between 652.0 and 711.0
WSA,AL,1963,812,56,0.293,0.351,0.2269999999999999,0,162,less than 652.0
LAD,NL,1970,684,87,0.3339999999999999,0.382,0.27,0,161,between 711.0 and 775.0
CLE,AL,2010,752,69,0.322,0.3779999999999999,0.248,0,162,less than 652.0
LAA,AL,2010,702,80,0.311,0.39,0.248,0,162,between 652.0 and 711.0
LAD,NL,1969,561,85,0.315,0.359,0.254,0,162,less than 652.0
COL,NL,2004,923,68,0.345,0.455,0.275,0,162,greater than 775.0
PHI,NL,1984,690,81,0.3329999999999999,0.407,0.266,0,162,between 711.0 and 775.0
DET,AL,2002,864,55,0.3,0.379,0.248,0,161,less than 652.0
STL,NL,1965,674,80,0.314,0.371,0.254,0,162,between 652.0 and 711.0
BOS,AL,1964,793,72,0.322,0.416,0.258,0,162,between 652.0 and 711.0
OAK,AL,1987,789,81,0.3329999999999999,0.428,0.26,0,162,greater than 775.0
CHC,NL,1996,771,76,0.32,0.401,0.251,0,162,between 711.0 and 775.0
CIN,NL,1986,717,86,0.325,0.387,0.254,0,162,between 711.0 and 775.0
SFG,NL,1993,636,103,0.34,0.427,0.276,0,162,greater than 775.0
CAL,AL,1968,615,67,0.291,0.318,0.2269999999999999,0,162,less than 652.0
TEX,AL,1984,714,69,0.313,0.377,0.261,0,161,between 652.0 and 711.0
CAL,AL,1991,649,81,0.314,0.374,0.255,0,162,between 652.0 and 711.0
CHC,NL,1985,729,77,0.324,0.39,0.254,0,162,between 652.0 and 711.0
CLE,AL,1984,766,75,0.335,0.384,0.265,0,163,between 711.0 and 775.0
CHC,NL,1986,781,70,0.318,0.3979999999999999,0.256,0,160,between 652.0 and 711.0
CLE,AL,1997,815,86,0.358,0.467,0.286,1,161,greater than 775.0
KCR,AL,1976,611,90,0.327,0.371,0.2689999999999999,1,162,between 711.0 and 775.0
BAL,AL,2011,860,69,0.316,0.413,0.257,0,162,between 652.0 and 711.0
KCR,AL,1982,717,90,0.337,0.428,0.285,0,162,greater than 775.0
SDP,NL,1970,788,63,0.312,0.391,0.246,0,162,between 652.0 and 711.0
CLE,AL,2012,845,68,0.324,0.381,0.251,0,162,between 652.0 and 711.0
PHI,NL,2003,697,86,0.3429999999999999,0.419,0.261,0,162,greater than 775.0
NYM,NL,1970,630,83,0.3329999999999999,0.37,0.249,0,162,between 652.0 and 711.0
WSN,NL,2008,825,59,0.3229999999999999,0.373,0.251,0,161,less than 652.0
CLE,AL,2007,704,96,0.3429999999999999,0.428,0.268,1,162,greater than 775.0
SEA,AL,1997,833,90,0.355,0.485,0.28,1,162,greater than 775.0
SDP,NL,1989,626,89,0.319,0.369,0.251,0,162,less than 652.0
MIL,AL,1979,722,95,0.345,0.4479999999999999,0.28,0,161,greater than 775.0
NYM,NL,1963,774,51,0.285,0.315,0.2189999999999999,0,162,less than 652.0
