X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area
4,6,sep,mon,91.3,130.1,770.3,7.3,18.9,51,4.9,0.0,between 0.0 and 0.52
3,5,mar,fri,91.1,91.3,738.1,7.2,19.1,46,2.2,0.0,between 0.52 and 6.57
8,4,jul,tue,79.5,60.6,366.7,1.5,23.3,37,3.1,0.0,between 0.0 and 0.52
7,3,aug,sun,90.1,68.6,355.2,7.2,24.8,29,2.2,0.0,between 0.0 and 0.52
4,4,sep,thu,92.9,137.0,706.4,9.2,22.1,34,1.8,0.0,greater than 6.57
6,5,sep,wed,94.3,85.1,692.3,15.9,25.9,24,4.0,0.0,between 0.0 and 0.52
5,6,sep,fri,92.5,122.0,789.7,10.2,18.4,42,2.2,0.0,between 0.52 and 6.57
1,5,sep,mon,90.9,126.5,686.5,7.0,21.0,42,2.2,0.0,greater than 6.57
4,3,sep,tue,91.9,111.7,770.3,6.5,15.9,53,2.2,0.0,between 0.52 and 6.57
2,4,sep,sat,93.4,145.4,721.4,8.1,28.6,27,2.2,0.0,between 0.52 and 6.57
9,9,jul,sun,90.1,68.6,355.2,7.2,24.8,29,2.2,0.0,between 0.52 and 6.57
6,3,sep,mon,91.5,130.1,807.1,7.5,12.2,66,4.9,0.0,between 0.52 and 6.57
2,5,aug,sat,93.7,231.1,715.1,8.4,18.9,64,4.9,0.0,between 0.0 and 0.52
7,4,sep,fri,94.3,85.1,692.3,15.9,20.1,47,4.9,0.0,greater than 6.57
6,5,aug,fri,94.8,227.0,706.7,12.0,23.3,34,3.1,0.0,greater than 6.57
6,4,mar,sat,90.8,41.9,89.4,7.9,13.3,42,0.9,0.0,greater than 6.57
4,5,mar,fri,85.9,19.5,57.3,2.8,12.7,52,6.3,0.0,between 0.0 and 0.52
2,5,jun,thu,93.7,121.7,350.2,18.0,22.7,40,9.4,0.0,between 0.52 and 6.57
8,4,aug,mon,91.5,145.4,608.2,10.7,8.0,86,2.2,0.0,between 0.0 and 0.52
8,5,sep,thu,92.0,117.2,537.1,11.3,19.4,44,3.6,0.0,between 0.52 and 6.57
2,4,sep,fri,91.0,276.3,825.1,7.1,21.9,43,4.0,0.0,greater than 6.57
9,8,sep,fri,92.5,121.1,674.4,8.6,18.2,46,1.8,0.0,greater than 6.57
3,6,sep,sat,89.7,287.2,849.3,6.8,19.4,45,3.6,0.0,between 0.0 and 0.52
7,3,sep,fri,94.8,108.3,647.1,17.0,20.1,40,4.0,0.0,between 0.0 and 0.52
1,4,sep,mon,91.5,130.1,807.1,7.5,21.3,35,2.2,0.0,greater than 6.57
5,6,sep,wed,94.3,85.1,692.3,15.9,25.9,24,4.0,0.0,between 0.0 and 0.52
4,4,jul,tue,90.6,50.1,100.4,7.8,15.2,31,8.5,0.0,between 0.52 and 6.57
5,4,jul,wed,93.7,101.3,458.8,11.9,19.3,39,7.2,0.0,greater than 6.57
6,4,aug,fri,94.8,227.0,706.7,12.0,23.3,34,3.1,0.0,greater than 6.57
