X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area
5,4,sep,sun,90.8,130.1,799.8,8.4,20.2,43,3.1,0.0,between 0.0 and 0.52
7,3,aug,sat,92.4,108.1,723.1,11.4,24.5,31,4.0,0.0,greater than 6.57
3,5,sep,tue,89.9,84.6,693.3,7.3,17.1,58,4.9,0.0,between 0.52 and 6.57
8,4,feb,fri,84.2,10.4,44.9,3.4,12.9,49,2.7,0.0,between 0.0 and 0.52
6,5,aug,wed,90.3,144.9,630.9,9.9,20.7,36,4.0,0.0,between 0.0 and 0.52
4,4,sep,mon,92.3,101.1,753.9,9.4,19.9,41,3.1,0.0,between 0.52 and 6.57
7,6,jun,sun,92.8,184.9,433.9,10.9,22.4,50,1.8,0.0,between 0.0 and 0.52
2,5,mar,sat,90.6,48.8,98.3,12.1,14.2,33,9.1,0.0,between 0.52 and 6.57
5,4,sep,sat,92.5,103.9,751.2,8.1,21.4,30,2.5,0.0,between 0.0 and 0.52
9,5,jul,mon,90.4,71.9,361.9,7.5,25.1,29,2.5,0.0,between 0.52 and 6.57
3,4,aug,tue,92.2,152.9,659.9,6.9,20.5,45,4.5,0.0,greater than 6.57
6,4,sep,fri,92.9,122.2,789.3,10.6,18.6,42,2.5,0.0,between 0.52 and 6.57
6,4,aug,thu,94.5,133.4,580.4,10.8,20.6,41,4.0,0.0,between 0.52 and 6.57
3,5,feb,sat,84.4,9.3,31.7,3.0,13.3,47,2.0,0.0,between 0.0 and 0.52
8,6,aug,sun,94.3,233.8,716.8,8.8,21.7,65,4.5,0.0,between 0.0 and 0.52
4,5,sep,wed,95.6,175.5,662.5,17.3,28.3,34,4.0,0.0,between 0.0 and 0.52
7,4,sep,mon,89.2,86.4,723.4,5.2,17.6,63,3.6,0.0,between 0.0 and 0.52
2,4,sep,sun,91.3,90.8,705.3,5.0,18.2,64,1.6,0.0,between 0.0 and 0.52
2,4,jul,sat,91.2,86.5,379.1,5.9,24.5,51,2.0,0.0,between 0.0 and 0.52
4,5,aug,mon,94.7,218.3,690.7,18.2,23.9,49,5.0,0.0,between 0.52 and 6.57
5,5,sep,thu,92.9,137.5,707.1,9.6,22.4,35,2.0,0.0,greater than 6.57
6,4,sep,tue,93.4,146.1,722.9,8.6,21.9,43,4.5,0.0,between 0.0 and 0.52
8,6,oct,mon,85.5,34.4,665.9,3.4,19.5,32,4.0,0.0,between 0.52 and 6.57
7,5,mar,fri,91.5,50.8,100.9,12.9,15.1,33,8.9,0.0,between 0.52 and 6.57
3,4,sep,sun,90.2,84.8,715.9,5.4,24.2,35,3.9,0.0,between 0.52 and 6.57
4,3,aug,wed,92.6,114.9,655.8,9.9,21.0,42,5.0,0.0,between 0.0 and 0.52
6,5,sep,sat,92.7,103.8,748.2,8.8,16.9,48,4.9,0.0,greater than 6.57
2,2,aug,fri,92.8,122.8,591.5,13.3,16.0,67,4.0,0.0,greater than 6.57
2,5,sep,mon,91.9,87.3,720.9,9.0,18.4,54,3.3,0.0,between 0.52 and 6.57
8,6,aug,thu,91.3,192.9,644.6,7.2,17.0,62,3.0,0.0,greater than 6.57
9,6,sep,wed,92.8,89.5,498.1,9.2,25.3,26,3.0,0.0,between 0.0 and 0.52
2,5,sep,sat,93.8,48.4,101.4,11.2,18.3,28,4.9,0.0,between 0.52 and 6.57
7,6,jan,sun,18.9,1.3,172.9,0.1,5.4,100,1.0,0.0,between 0.0 and 0.52
6,3,sep,fri,91.8,98.5,745.2,9.3,21.2,36,4.9,0.0,between 0.0 and 0.52
4,3,sep,mon,90.9,82.2,736.4,6.6,13.2,74,4.9,0.0,between 0.0 and 0.52
2,4,feb,sat,85.4,13.9,45.7,5.7,12.6,52,1.0,0.0,between 0.0 and 0.52
5,6,feb,sat,69.0,22.1,87.9,1.0,16.0,40,3.0,0.0,between 0.0 and 0.52
7,5,jul,sat,92.3,105.8,476.2,9.4,24.8,31,2.0,0.0,between 0.0 and 0.52
8,4,aug,sat,91.9,274.3,819.8,7.9,22.0,44,4.9,0.0,greater than 6.57
2,5,aug,tue,93.3,153.2,659.9,14.8,21.0,47,4.0,0.0,between 0.52 and 6.57
6,3,sep,sat,92.8,145.9,723.4,8.5,30.5,25,3.0,0.0,between 0.0 and 0.52
7,5,mar,wed,92.2,18.8,30.8,10.4,14.2,25,5.9,0.0,between 0.0 and 0.52
3,4,sep,tue,91.4,75.1,673.4,3.6,18.2,45,3.3,0.0,between 0.0 and 0.52
3,4,sep,sun,90.0,85.8,715.9,5.9,24.4,35,4.0,0.0,between 0.52 and 6.57
9,5,aug,mon,92.6,89.3,496.2,9.0,24.6,27,3.2,0.0,between 0.0 and 0.52
5,4,sep,fri,92.2,98.4,744.1,8.3,17.3,47,4.9,0.0,greater than 6.57
4,6,sep,thu,92.3,137.8,707.2,9.7,22.6,35,2.0,0.0,greater than 6.57
4,3,sep,mon,91.3,130.6,807.7,7.0,10.3,86,2.0,0.0,between 0.0 and 0.52
3,4,oct,sun,90.3,46.0,692.4,8.2,20.8,24,5.5,0.0,between 0.0 and 0.52
2,2,sep,mon,91.1,130.6,807.7,7.2,12.3,43,3.0,0.0,between 0.0 and 0.52
6,6,aug,sat,96.3,165.0,644.9,14.5,31.2,31,5.0,0.0,greater than 6.57
7,5,sep,sat,91.7,94.9,746.3,8.9,17.3,47,5.0,0.0,between 0.0 and 0.52
9,6,sep,tue,93.2,111.9,771.4,6.9,20.2,45,3.4,0.0,greater than 6.57
4,4,aug,wed,94.2,141.9,606.5,17.2,28.9,34,4.0,0.0,between 0.0 and 0.52
6,5,sep,fri,93.8,142.1,714.8,14.0,23.2,45,5.5,0.0,between 0.0 and 0.52
2,4,sep,sun,50.9,47.0,707.3,0.6,12.6,78,6.5,0.0,between 0.0 and 0.52
8,4,aug,thu,91.0,194.9,643.9,7.1,17.4,62,3.0,0.0,greater than 6.57
6,4,sep,mon,91.0,82.7,736.3,6.4,13.3,74,4.9,0.0,between 0.0 and 0.52
7,5,sep,wed,92.4,88.4,495.9,8.7,24.9,27,3.4,0.0,between 0.0 and 0.52
6,3,mar,sat,91.2,51.0,102.0,12.6,15.3,32,9.2,0.0,between 0.52 and 6.57
4,3,sep,fri,92.6,100.0,746.2,9.8,21.0,36,5.0,0.0,between 0.0 and 0.52
2,5,jul,sat,91.3,86.1,378.8,6.2,24.0,51,2.0,0.0,between 0.0 and 0.52
5,6,sep,thu,92.4,137.3,707.1,9.5,22.3,35,2.0,0.0,greater than 6.57
7,4,aug,sun,92.2,181.8,613.6,7.9,20.0,60,5.0,0.0,between 0.0 and 0.52
6,5,jun,fri,93.3,180.9,432.6,11.5,23.1,49,2.0,0.0,between 0.0 and 0.52
9,5,sep,sun,92.5,47.6,101.4,10.9,17.6,80,5.0,0.0,between 0.0 and 0.52
8,6,oct,tue,85.4,33.4,665.8,3.6,19.6,31,4.0,0.0,between 0.52 and 6.57
3,5,sep,tue,90.4,26.2,68.2,3.9,16.0,27,6.5,0.0,between 0.0 and 0.52
3,4,sep,sun,89.3,84.6,715.2,6.0,24.7,35,4.0,0.0,between 0.52 and 6.57
6,4,aug,thu,94.9,133.9,581.9,11.2,21.3,41,4.0,0.0,between 0.52 and 6.57
3,4,mar,tue,89.5,26.2,68.2,4.2,16.3,27,7.8,0.0,between 0.0 and 0.52
5,4,sep,thu,93.3,138.4,707.8,9.8,22.8,35,2.0,0.0,greater than 6.57
7,6,sep,fri,92.9,142.8,714.4,14.3,23.5,45,5.5,0.0,between 0.0 and 0.52
4,3,sep,mon,91.9,82.8,736.9,6.9,13.4,74,4.9,0.0,between 0.0 and 0.52
7,5,aug,wed,94.5,157.9,667.4,13.7,22.4,37,3.6,0.0,between 0.0 and 0.52
6,4,sep,tue,93.0,146.6,724.5,8.8,22.1,44,4.5,0.0,between 0.0 and 0.52
8,6,sep,thu,93.9,81.3,686.8,18.1,24.0,26,4.5,0.0,between 0.52 and 6.57
6,5,sep,sat,92.4,103.3,748.2,9.0,17.1,48,5.0,0.0,greater than 6.57
4,3,sep,fri,92.8,100.4,746.5,10.0,21.3,37,5.0,0.0,between 0.0 and 0.52
9,6,sep,wed,92.9,89.8,497.4,9.3,25.5,27,3.4,0.0,between 0.0 and 0.52
2,4,aug,mon,94.1,98.2,542.4,14.7,28.6,33,4.0,0.0,greater than 6.57
6,6,aug,sat,96.2,164.5,644.4,14.6,31.4,31,5.0,0.0,greater than 6.57
