class,largest_spot_size,spot_distribution,activity,evolution,previous_activity,complex,complex_path,area,area_largest,c_class_flares
H,S,X,1.0,2.0,1.1,1.2,2.1,1.3,1.4,greater than 0.0
H,S,X,1.0,2.0,1.0,1.0,2.0,1.0,1.0,greater than 0.0
D,A,O,1.0,3.0,1.0,1.0,2.0,1.0,1.0,greater than 0.0
C,X,O,1.0,3.0,1.0,2.0,2.0,1.0,1.0,greater than 0.0
H,R,X,1.0,3.0,1.0,1.0,1.0,1.0,1.0,greater than 0.0
B,X,O,1.0,2.0,1.0,2.0,2.0,1.0,1.0,greater than 0.0
E,K,I,1.0,2.0,1.0,2.0,2.0,2.0,1.0,greater than 0.0
H,S,X,2.0,3.0,1.0,1.0,1.0,1.0,1.0,greater than 0.0
D,S,O,1.0,3.0,1.0,1.0,2.0,1.0,1.0,greater than 0.0
H,A,X,1.0,3.0,1.0,1.0,1.0,1.0,1.0,greater than 0.0
C,S,O,1.0,2.0,1.0,2.0,2.0,1.0,1.0,greater than 0.0
B,X,I,1.0,3.0,1.0,1.0,2.0,1.0,1.0,greater than 0.0
E,A,C,2.0,3.0,1.0,2.0,2.0,1.0,1.0,greater than 0.0
D,R,O,1.0,2.0,1.0,2.0,2.0,1.0,1.0,greater than 0.0
H,R,X,1.0,3.0,1.0,1.0,2.0,1.0,1.0,greater than 0.0
B,X,O,1.0,3.0,1.0,1.0,2.0,1.0,1.0,greater than 0.0
C,R,I,1.0,3.0,1.0,2.0,2.0,1.0,1.0,greater than 0.0
H,S,X,1.0,2.0,1.0,1.0,2.0,1.0,1.0,greater than 0.0
D,A,O,2.0,2.0,1.0,2.0,2.0,1.0,1.0,greater than 0.0
E,S,O,1.0,2.0,1.0,2.0,2.0,1.0,1.0,greater than 0.0
H,S,X,1.0,3.0,1.0,1.0,1.0,1.0,1.0,greater than 0.0
B,X,O,1.0,2.0,1.0,1.0,2.0,1.0,1.0,greater than 0.0
C,X,O,1.0,3.0,1.0,1.0,2.0,1.0,1.0,greater than 0.0
D,S,O,1.0,3.0,1.0,1.0,2.0,1.0,1.0,greater than 0.0
H,R,X,1.0,2.0,1.0,1.0,2.0,1.0,1.0,greater than 0.0
E,K,C,1.0,3.0,1.0,2.0,2.0,2.0,1.0,greater than 0.0
H,S,X,2.0,3.0,1.0,2.0,1.0,1.0,1.0,greater than 0.0
B,X,I,1.0,3.0,1.0,1.0,2.0,1.0,1.0,greater than 0.0
D,A,I,1.0,2.0,1.0,2.0,2.0,1.0,1.0,greater than 0.0
C,R,O,1.0,2.0,1.0,2.0,2.0,1.0,1.0,greater than 0.0
H,A,X,1.0,3.0,1.0,2.0,2.0,1.0,1.0,greater than 0.0
E,A,I,1.0,3.0,1.0,2.0,2.0,1.0,1.0,greater than 0.0
D,R,C,1.0,3.0,1.0,2.0,2.0,1.0,1.0,greater than 0.0
H,S,X,1.0,2.0,1.0,1.0,2.0,1.0,1.0,greater than 0.0
B,X,O,1.0,3.0,1.0,1.0,2.0,1.0,1.0,greater than 0.0
C,S,O,2.0,3.0,1.0,1.0,2.0,1.0,1.0,greater than 0.0
D,S,O,1.0,2.0,1.0,2.0,2.0,1.0,1.0,greater than 0.0
H,R,X,1.0,3.0,1.0,1.0,1.0,1.0,1.0,greater than 0.0
E,K,I,2.0,3.0,1.0,2.0,2.0,2.0,1.0,greater than 0.0
B,X,O,1.0,2.0,1.0,1.0,2.0,1.0,1.0,greater than 0.0
C,X,O,1.0,3.0,1.0,2.0,2.0,1.0,1.0,greater than 0.0
D,A,O,1.0,3.0,1.0,1.0,2.0,1.0,1.0,greater than 0.0
H,S,X,1.0,3.0,1.0,1.0,2.0,1.0,1.0,greater than 0.0
E,A,C,1.0,2.0,1.0,2.0,2.0,1.0,1.0,greater than 0.0
B,X,I,1.0,3.0,1.0,1.0,2.0,1.0,1.0,greater than 0.0
D,R,O,1.0,2.0,1.0,2.0,2.0,1.0,1.0,greater than 0.0
H,A,X,1.0,3.0,1.0,2.0,2.0,1.0,1.0,greater than 0.0
C,R,I,1.0,3.0,1.0,2.0,2.0,1.0,1.0,greater than 0.0
H,S,X,2.0,2.0,1.0,1.0,1.0,1.0,1.0,greater than 0.0
E,K,C,1.0,3.0,1.0,2.0,2.0,2.0,1.0,greater than 0.0
D,S,O,2.0,3.0,1.0,1.0,2.0,1.0,1.0,greater than 0.0
B,X,O,1.0,3.0,1.0,1.0,2.0,1.0,1.0,greater than 0.0
H,R,X,1.0,2.0,1.0,1.0,2.0,1.0,1.0,greater than 0.0
C,S,O,1.0,2.0,1.0,2.0,2.0,1.0,1.0,greater than 0.0
E,A,I,2.0,3.0,1.0,2.0,2.0,1.0,1.0,greater than 0.0
D,A,I,1.0,2.0,1.0,2.0,2.0,1.0,1.0,greater than 0.0
H,S,X,1.0,3.0,1.0,1.0,1.0,1.0,1.0,greater than 0.0
B,X,O,1.0,2.0,1.0,1.0,2.0,1.0,1.0,greater than 0.0
D,A,O,1.0,3.0,1.0,2.0,2.0,1.0,1.0,greater than 0.0
E,K,C,2.0,3.0,1.0,2.0,2.0,2.0,1.0,greater than 0.0
B,X,I,1.0,2.0,1.0,1.0,2.0,1.0,1.0,greater than 0.0
C,S,O,1.0,3.0,1.0,1.0,2.0,1.0,1.0,greater than 0.0
H,R,X,1.0,2.0,1.0,1.0,1.0,1.0,1.0,greater than 0.0
D,S,O,2.0,3.0,1.0,2.0,2.0,1.0,1.0,greater than 0.0
