class,largest_spot_size,spot_distribution,activity,evolution,previous_activity,complex,complex_path,area,area_largest,c_class_flares
H,X,X,1,3,1,2,1,1,1,greater than 0.0
B,X,X,1,2,1,2,2,1,1,greater than 0.0
E,R,O,2,1,1,2,2,1,1,greater than 0.0
H,S,O,2,3,1,2,1,1,1,greater than 0.0
B,S,I,1,3,1,1,2,1,1,greater than 0.0
H,X,C,1,3,1,1,1,1,1,greater than 0.0
E,A,O,2,2,1,1,1,1,1,greater than 0.0
H,X,X,1,2,1,1,1,1,1,greater than 0.0
C,X,X,1,3,1,1,1,1,1,greater than 0.0
H,S,X,1,1,1,2,1,1,1,greater than 0.0
B,R,C,1,1,1,2,2,1,1,greater than 0.0
H,R,O,1,2,1,1,2,1,1,greater than 0.0
H,A,X,2,3,1,1,1,1,1,greater than 0.0
B,X,X,2,2,1,2,1,1,1,greater than 0.0
E,R,C,1,3,1,1,1,1,1,greater than 0.0
H,X,X,1,3,1,2,2,1,1,greater than 0.0
