class,largest_spot_size,spot_distribution,activity,evolution,previous_activity,complex,complex_path,area,area_largest,c_class_flares
H,S,X,1,2,1,2,2,1,1,greater than 0.0
F,X,C,2,3,1,1,2,2,1,greater than 0.0
B,A,O,1,3,1,1,2,1,1,greater than 0.0
E,S,X,2,2,1,2,1,1,1,greater than 0.0
D,K,I,1,2,1,2,2,1,1,greater than 0.0
C,S,O,1,3,1,1,2,1,1,greater than 0.0
H,H,X,1,3,1,1,1,1,1,greater than 0.0
F,R,C,2,2,1,2,2,2,1,greater than 0.0
B,X,I,1,3,1,1,2,1,1,greater than 0.0
E,A,X,1,3,1,1,2,1,1,greater than 0.0
C,A,O,1,2,1,2,2,1,1,greater than 0.0
H,S,X,2,2,1,1,1,1,1,greater than 0.0
F,K,O,2,3,1,2,2,1,1,greater than 0.0
D,S,X,1,2,1,1,2,1,1,greater than 0.0
B,X,O,1,3,1,1,2,1,1,greater than 0.0
E,S,I,1,3,1,2,2,1,1,greater than 0.0
H,A,X,1,3,1,2,1,1,1,greater than 0.0
C,R,X,1,3,1,1,2,1,1,greater than 0.0
F,H,O,2,2,1,2,2,2,1,greater than 0.0
D,A,X,1,2,1,2,2,1,1,greater than 0.0
B,K,C,1,3,1,1,2,1,1,greater than 0.0
H,S,X,1,2,1,2,1,1,1,greater than 0.0
E,X,O,1,3,1,1,2,1,1,greater than 0.0
C,S,X,1,2,1,1,2,1,1,greater than 0.0
F,R,X,2,3,1,2,2,1,1,greater than 0.0
D,H,I,1,3,1,2,2,1,1,greater than 0.0
B,A,X,1,3,1,1,2,1,1,greater than 0.0
E,S,X,1,3,1,2,2,1,1,greater than 0.0
C,K,O,1,2,1,1,2,1,1,greater than 0.0
H,A,X,2,2,1,1,1,1,1,greater than 0.0
F,X,I,2,3,1,2,2,2,1,greater than 0.0
B,S,X,1,3,1,1,2,1,1,greater than 0.0
