class,largest_spot_size,spot_distribution,activity,evolution,previous_activity,complex,complex_path,area,area_largest,c_class_flares
H,S,X,1,2,1,1,2,1,1,greater than 0.0
D,A,O,1,3,1,2,2,1,1,greater than 0.0
E,K,C,2,3,1,2,2,2,1,greater than 0.0
C,X,I,1,2,1,1,2,1,1,greater than 0.0
B,R,O,1,2,1,2,2,1,1,greater than 0.0
F,S,X,1,3,1,2,1,1,1,greater than 0.0
H,R,X,1,1,1,1,2,1,1,greater than 0.0
D,H,I,2,2,1,1,2,1,1,greater than 0.0
E,A,C,1,3,1,2,2,1,1,greater than 0.0
H,S,O,1,2,1,2,2,1,1,greater than 0.0
B,X,C,1,2,1,1,2,1,1,greater than 0.0
C,S,X,2,3,1,1,2,1,1,greater than 0.0
H,A,X,1,2,1,1,2,1,1,greater than 0.0
D,R,X,1,3,1,2,2,1,1,greater than 0.0
E,H,O,2,2,1,2,2,1,1,greater than 0.0
H,S,X,1,1,1,2,1,1,1,greater than 0.0
C,X,O,1,3,1,1,2,1,1,greater than 0.0
F,K,I,1,2,1,2,2,1,1,greater than 0.0
D,A,X,1,2,1,1,2,1,1,greater than 0.0
E,R,C,2,3,1,2,2,2,1,greater than 0.0
H,S,X,1,2,1,1,2,1,1,greater than 0.0
B,H,O,1,2,1,2,2,1,1,greater than 0.0
C,S,X,1,2,1,1,2,1,1,greater than 0.0
F,R,X,1,3,1,2,1,1,1,greater than 0.0
H,A,X,1,1,1,1,2,1,1,greater than 0.0
D,X,O,1,3,1,2,2,1,1,greater than 0.0
E,K,O,2,2,1,2,2,1,1,greater than 0.0
H,S,X,1,2,1,2,2,1,1,greater than 0.0
B,A,C,1,2,1,1,2,1,1,greater than 0.0
C,H,X,2,3,1,1,2,1,1,greater than 0.0
H,R,X,1,1,1,2,2,1,1,greater than 0.0
D,S,X,1,2,1,1,2,1,1,greater than 0.0
E,X,C,1,3,1,2,2,1,1,greater than 0.0
H,A,X,1,2,1,1,2,1,1,greater than 0.0
C,X,O,1,2,1,1,2,1,1,greater than 0.0
F,K,X,1,2,1,2,2,1,1,greater than 0.0
D,H,X,1,3,1,2,2,1,1,greater than 0.0
E,R,O,2,2,1,2,2,1,1,greater than 0.0
H,S,X,1,1,1,2,1,1,1,greater than 0.0
B,S,C,1,2,1,1,2,1,1,greater than 0.0
C,A,X,1,3,1,1,2,1,1,greater than 0.0
F,X,X,1,3,1,2,1,1,1,greater than 0.0
H,R,X,1,2,1,1,2,1,1,greater than 0.0
D,X,X,1,2,1,2,2,1,1,greater than 0.0
E,H,X,2,2,1,2,2,1,1,greater than 0.0
H,S,X,1,2,1,2,2,1,1,greater than 0.0
B,K,O,1,2,1,2,2,1,1,greater than 0.0
C,S,X,1,2,1,1,2,1,1,greater than 0.0
F,R,X,1,3,1,2,1,1,1,greater than 0.0
H,A,X,1,1,1,1,2,1,1,greater than 0.0
D,H,X,1,3,1,2,2,1,1,greater than 0.0
E,X,C,1,2,1,2,2,1,1,greater than 0.0
H,S,X,1,2,1,1,2,1,1,greater than 0.0
B,X,X,1,2,1,1,2,1,1,greater than 0.0
C,A,X,2,3,1,1,2,1,1,greater than 0.0
F,K,X,1,2,1,2,2,1,1,greater than 0.0
D,R,X,1,2,1,1,2,1,1,greater than 0.0
E,H,O,2,2,1,2,2,1,1,greater than 0.0
H,S,X,1,1,1,2,1,1,1,greater than 0.0
C,X,O,1,3,1,1,2,1,1,greater than 0.0
F,X,X,1,3,1,2,1,1,1,greater than 0.0
H,R,X,1,2,1,1,2,1,1,greater than 0.0
D,X,X,1,2,1,2,2,1,1,greater than 0.0
E,R,C,1,3,1,2,2,1,1,greater than 0.0
H,S,X,1,2,1,2,2,1,1,greater than 0.0
B,H,X,1,2,1,2,2,1,1,greater than 0.0
C,S,X,1,2,1,1,2,1,1,greater than 0.0
F,R,X,1,3,1,2,1,1,1,greater than 0.0
H,S,X,1,3,1,2,2,1,1,greater than 0.0
D,R,I,2,2,1,1,2,1,1,greater than 0.0
C,R,O,1,2,1,2,2,1,1,greater than 0.0
B,X,O,1,3,1,2,2,1,1,greater than 0.0
E,A,C,1,2,1,1,2,1,1,greater than 0.0
H,R,X,1,3,1,1,2,1,1,greater than 0.0
D,S,O,1,3,1,1,2,1,1,greater than 0.0
C,S,O,1,2,1,2,2,1,1,greater than 0.0
D,K,I,2,2,1,2,2,1,1,greater than 0.0
B,X,O,1,2,1,1,2,1,1,greater than 0.0
H,S,X,1,2,1,2,1,1,1,greater than 0.0
E,R,O,1,3,1,1,2,1,1,greater than 0.0
F,A,I,2,2,1,1,2,1,1,greater than 0.0
H,S,X,1,1,1,2,2,1,1,greater than 0.0
D,R,O,1,2,1,2,2,1,1,greater than 0.0
E,K,C,1,3,1,2,2,1,1,greater than 0.0
C,R,O,1,3,1,2,2,1,1,greater than 0.0
D,A,I,1,3,1,1,2,1,1,greater than 0.0
H,S,X,1,2,1,1,1,1,1,greater than 0.0
B,X,O,1,3,1,2,2,1,1,greater than 0.0
H,R,X,1,3,1,1,2,1,1,greater than 0.0
E,S,O,1,1,1,2,2,1,1,greater than 0.0
C,S,O,1,3,1,2,2,1,1,greater than 0.0
F,K,C,2,3,3,2,2,2,1,greater than 0.0
D,R,I,1,3,1,1,2,1,1,greater than 0.0
H,S,X,1,3,1,1,2,1,1,greater than 0.0
B,X,O,1,2,1,2,2,1,1,greater than 0.0
E,A,I,2,2,1,2,2,1,1,greater than 0.0
C,A,I,1,2,1,2,2,1,1,greater than 0.0
H,S,X,2,2,1,2,1,1,1,greater than 0.0
H,R,X,1,2,1,2,2,1,1,greater than 0.0
D,S,I,2,2,1,1,2,1,1,greater than 0.0
E,K,C,1,3,1,1,2,1,1,greater than 0.0
B,X,O,1,3,1,1,2,1,1,greater than 0.0
H,S,X,1,2,1,2,2,1,1,greater than 0.0
C,R,O,1,3,1,1,2,1,1,greater than 0.0
D,A,I,1,3,1,2,2,1,1,greater than 0.0
F,A,I,2,3,1,2,2,1,1,greater than 0.0
E,S,O,1,2,1,1,2,1,1,greater than 0.0
H,S,X,1,3,1,1,1,1,1,greater than 0.0
D,R,O,1,2,1,2,2,1,1,greater than 0.0
H,R,X,1,3,1,1,2,1,1,greater than 0.0
B,X,O,1,2,1,1,2,1,1,greater than 0.0
C,S,O,1,2,1,1,2,1,1,greater than 0.0
D,S,O,1,3,1,1,2,1,1,greater than 0.0
H,S,X,1,2,1,1,2,1,1,greater than 0.0
E,A,C,1,2,1,2,2,1,1,greater than 0.0
D,K,I,2,2,1,2,2,1,1,greater than 0.0
H,R,X,1,3,1,2,2,1,1,greater than 0.0
C,R,O,1,3,1,2,2,1,1,greater than 0.0
B,X,O,1,3,1,2,2,1,1,greater than 0.0
D,S,I,1,3,1,1,2,1,1,greater than 0.0
H,S,X,1,1,1,2,2,1,1,greater than 0.0
E,K,C,1,3,1,1,2,1,1,greater than 0.0
F,A,I,2,3,1,1,2,1,1,greater than 0.0
D,R,O,1,3,1,1,2,1,1,greater than 0.0
H,S,X,1,3,1,2,2,1,1,greater than 0.0
C,S,O,1,3,1,2,2,1,1,greater than 0.0
E,S,O,1,2,1,2,2,1,1,greater than 0.0
D,R,O,1,2,1,1,2,1,1,greater than 0.0
