X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area
7.9998927,6.0616975,feb,thu,89.61783,56.189392,261.8778,7.9078064,17.10205,27.91768,2.8745143,-2.4893525e-06,between 0.52 and 6.57
3.0165324,2.000375,sep,fri,90.54695,91.02231,743.05414,4.437579,15.911925,66.02564,4.5395637,0.00021881066,greater than 6.57
3.9476905,4.021512,mar,sat,91.60476,51.34464,104.35268,7.4612646,14.264944,26.786861,2.1652653,0.00041774943,greater than 6.57
0.8695773,3.9927166,mar,tue,91.47598,43.76063,226.78271,6.356167,26.806257,6.631947,3.6601434,0.00039434113,between 0.52 and 6.57
3.0033746,3.9896955,aug,fri,89.38175,121.14327,547.764,6.9165096,11.345244,70.29579,6.3959503,0.00023318888,between 0.0 and 0.52
4.132498,5.0158906,aug,mon,93.50035,140.6,574.3672,12.649268,20.206366,50.669006,2.1818368,0.0011344942,greater than 6.57
1.0299166,4.0119886,apr,fri,84.1012,20.593048,96.00893,3.7332897,14.0236,31.709116,3.5484407,-2.333385e-06,between 0.0 and 0.52
7.977988,5.994092,sep,thu,92.92454,122.1647,681.1406,11.079704,22.476334,30.495602,4.188233,0.0003220212,between 0.0 and 0.52
9.116324,9.098157,aug,sat,91.95571,189.90968,675.9816,9.3899555,25.076359,29.745981,2.9124093,-0.00035006314,between 0.0 and 0.52
7.998316,5.99006,sep,thu,90.4965,284.51303,848.9784,7.9054465,22.80493,35.7241,3.6054568,-0.00035810046,between 0.52 and 6.57
4.989287,3.979187,sep,fri,93.27259,128.5613,697.1872,9.940523,21.768,38.679317,1.8033295,-1.8309016e-05,between 0.0 and 0.52
2.0026236,1.9808115,jul,thu,98.81644,-94.47458,98.53037,12.224741,37.57357,65.75457,7.0129857,-0.0073709553,between 0.0 and 0.52
6.921846,4.006786,sep,mon,91.90466,117.44993,687.8499,5.4230595,15.002603,62.04125,2.8474758,0.00081302325,between 0.0 and 0.52
5.9837127,3.9987428,aug,fri,90.68847,118.68433,553.23224,7.399865,19.512987,37.984364,2.6016948,-0.00031387608,between 0.0 and 0.52
4.1530814,3.9965098,sep,thu,91.454994,304.77084,853.6479,7.5803065,20.142365,63.476242,5.16198,0.00031854163,between 0.0 and 0.52
5.146362,4.0167465,sep,thu,94.24125,113.68159,770.19086,11.979191,22.585785,32.21078,1.665068,-0.00017152823,between 0.0 and 0.52
5.9710145,5.0233006,sep,mon,89.50662,297.04013,1152.2521,6.2515144,22.205729,48.853127,3.1268342,0.0002845194,between 0.0 and 0.52
9.002249,8.984002,aug,fri,89.18895,125.699196,588.57745,9.690901,20.687902,52.782024,4.9536476,-0.000109461114,between 0.0 and 0.52
6.0500455,2.0126252,aug,mon,90.73315,160.89937,645.09076,5.85756,18.625257,47.67159,2.1968107,3.9663326e-05,greater than 6.57
4.0985637,4.010992,aug,fri,94.92983,172.52643,656.8605,11.086857,24.383007,54.133953,4.8743696,0.000978886,between 0.0 and 0.52
8.947472,9.073524,mar,thu,91.8264,132.17953,210.12622,9.555764,14.67362,62.49758,3.8745291,7.4524723e-06,between 0.52 and 6.57
3.9551718,3.995966,sep,sat,91.63033,102.96582,691.4095,10.216404,22.82421,37.833767,2.2178824,9.5626165e-05,between 0.0 and 0.52
7.1537433,4.0055456,sep,thu,93.366516,123.00577,656.6706,11.464906,19.604994,33.667797,4.8695517,-0.00013147645,between 0.0 and 0.52
3.0306852,4.0085316,sep,mon,92.33498,143.83194,716.24677,8.248249,19.25459,41.763298,2.963781,0.00010746406,between 0.0 and 0.52
1.9659135,1.9852246,aug,mon,90.74261,151.72057,624.7126,7.229303,18.304201,59.957172,2.188423,0.0004988868,greater than 6.57
0.9850914,2.984697,aug,thu,85.81173,188.3156,644.1212,2.830256,20.674952,59.425,5.097501,0.00031100455,between 0.0 and 0.52
6.0385523,3.9886494,sep,thu,87.94486,256.76868,885.3855,6.639354,14.933702,63.388195,5.598725,-6.7389046e-06,between 0.0 and 0.52
3.967846,4.947017,mar,sat,92.69094,50.93828,110.4626,8.692285,21.038313,25.483883,4.2480173,-0.00010061436,between 0.0 and 0.52
9.174419,9.101449,jul,fri,89.800964,161.18039,383.4746,6.098741,23.48482,27.073843,3.406289,-0.00011046803,between 0.0 and 0.52
8.048434,6.000211,sep,mon,92.12377,88.12399,745.8996,11.322476,19.574686,47.898174,2.1813788,2.5257657e-05,greater than 6.57
9.0073805,9.0320425,sep,thu,91.2331,234.53575,960.6378,6.7834206,14.895749,59.344852,1.854664,-1.76686e-05,greater than 6.57
2.0168858,2.0222435,aug,fri,90.379974,150.15385,536.1165,6.09131,13.371941,56.34083,2.2063692,0.00020161888,between 0.0 and 0.52
