fathers_occupation,sons_occupation,family_structure,race,counts_for_sons_first_occupation,counts_for_sons_current_occupation
Professional_Self-Employed,Professional_Self-Employed,intact,white,20.3,greater than 14.6
Clerk,Clerk,nonintact,black,0.5,less than 0.6
Craftsman-Construction,Salesman-Nonretail,intact,black,1.8,less than 0.6
Professional-Salaried,Proprietor,nonintact,black,0.2,less than 0.6
Operative-Manufacturing,Service_Worker,intact,white,25.1,greater than 14.6
Professional_Self-Employed,Clerk,nonintact,white,2.5,between 0.6 and 3.3
Salesman-Retail,Professional-Salaried,intact,white,1.9,between 0.6 and 3.3
Professional_Self-Employed,Clerk,intact,white,21.4,between 3.3 and 14.6
Professional_Self-Employed,Professional_Self-Employed,nonintact,black,0.6,less than 0.6
Laborer-Manufacturing,Operative-Nonmanufacturing,intact,white,27.3,greater than 14.6
Service_Worker,Salesman-Retail,intact,white,2.2,between 0.6 and 3.3
Salesman-Nonretail,Farmer/Farm_Manager,nonintact,white,1.1,between 0.6 and 3.3
Clerk,Professional-Salaried,intact,black,3.1,between 0.6 and 3.3
Proprietor,Laborer-Nonmanufacturing,intact,black,0.7,between 0.6 and 3.3
Professional_Self-Employed,Professional_Self-Employed,intact,white,19.4,greater than 14.6
Clerk,Clerk,nonintact,black,0.3,less than 0.6
