fathers_occupation,sons_occupation,family_structure,race,counts_for_sons_first_occupation,counts_for_sons_current_occupation
Proprietor,Operative-Manufacturing,intact,black,10.8,between 3.3 and 14.6
Craftsman-Construction,Craftsman-Construction,nonintact,white,5.4,greater than 14.6
Farmer/Farm_Manager,Clerk,intact,black,2.1,between 0.6 and 3.3
Salesman-Retail,Laborer-Manufacturing,nonintact,black,0.9,less than 0.6
Professional_Self-Employed,Farm_Laborer,intact,white,11.5,between 3.3 and 14.6
Proprietor,Professional_Self-Employed,nonintact,black,4.2,between 0.6 and 3.3
Operative-Manufacturing,Craftsmen-Other,intact,white,7.3,greater than 14.6
Professional_Self-Employed,Operative-Nonmanufacturing,intact,black,1.9,between 0.6 and 3.3
Salesman-Nonretail,Craftsman-Manufacturing,nonintact,white,6.8,between 3.3 and 14.6
Laborer-Nonmanufacturing,Service_Worker,nonintact,white,18.2,greater than 14.6
Professional_Self-Employed,Proprietor,intact,black,3.1,between 0.6 and 3.3
Farm_Laborer,Professional_Self-Employed,nonintact,black,0.6,less than 0.6
Clerk,Manager,intact,white,31.4,greater than 14.6
Craftsmen-Other,Farm_Laborer,intact,white,25.3,between 3.3 and 14.6
Manager,Professional_Self-Employed,nonintact,black,1.2,less than 0.6
Craftsman-Manufacturing,Manager,intact,black,0.9,between 0.6 and 3.3
Proprietor,Craftsman-Construction,intact,black,12.5,greater than 14.6
Craftsman-Construction,Clerk,nonintact,white,4.5,between 3.3 and 14.6
Craftsmen-Other,Operative-Manufacturing,intact,black,9.1,between 3.3 and 14.6
Clerk,Clerk,intact,black,7.4,between 3.3 and 14.6
Manager,Craftsman-Manufacturing,nonintact,white,2.5,between 3.3 and 14.6
Craftsman-Construction,Farmer/Farm_Manager,nonintact,black,1.1,less than 0.6
Craftsman-Manufacturing,Proprietor,intact,white,48.2,greater than 14.6
Craftsman-Construction,Craftsman-Manufacturing,intact,white,51.3,greater than 14.6
Manager,Salesman-Retail,intact,white,63.9,greater than 14.6
Laborer-Manufacturing,Salesman-Retail,intact,black,1.3,between 0.6 and 3.3
Professional_Self-Employed,Laborer-Manufacturing,intact,white,3.6,between 0.6 and 3.3
Farmer/Farm_Manager,Laborer-Manufacturing,intact,white,92.8,greater than 14.6
Farmer/Farm_Manager,Craftsman-Construction,intact,black,10.3,greater than 14.6
Proprietor,Laborer-Manufacturing,nonintact,black,1.4,less than 0.6
Manager,Service_Worker,nonintact,black,0.7,less than 0.6
Salesman-Retail,Farmer/Farm_Manager,intact,white,3.5,between 0.6 and 3.3
Craftsman-Manufacturing,Proprietor,intact,black,0.8,less than 0.6
Salesman-Nonretail,Clerk,nonintact,black,0.3,less than 0.6
Operative-Manufacturing,Proprietor,nonintact,black,0.2,less than 0.6
Operative-Manufacturing,Salesman-Nonretail,nonintact,white,6.3,between 3.3 and 14.6
Farm_Laborer,Craftsmen-Other,nonintact,white,9.9,between 3.3 and 14.6
Clerk,Salesman-Nonretail,intact,black,0.5,less than 0.6
Salesman-Nonretail,Proprietor,nonintact,black,0.1,less than 0.6
Professional_Self-Employed,Farmer/Farm_Manager,intact,white,2.1,between 0.6 and 3.3
Craftsmen-Other,Service_Worker,intact,white,46.8,greater than 14.6
Clerk,Clerk,nonintact,white,28.5,greater than 14.6
Farmer/Farm_Manager,Farmer/Farm_Manager,nonintact,white,31.6,greater than 14.6
Service_Worker,Operative-Nonmanufacturing,intact,white,59.4,greater than 14.6
Professional-Salaried,Laborer-Nonmanufacturing,intact,black,1.5,between 0.6 and 3.3
Service_Worker,Professional_Self-Employed,intact,black,0.7,less than 0.6
Professional_Self-Employed,Craftsman-Manufacturing,nonintact,white,0.4,between 0.6 and 3.3
Craftsman-Construction,Farm_Laborer,intact,white,35.6,between 3.3 and 14.6
Salesman-Retail,Salesman-Retail,intact,black,0.9,less than 0.6
Salesman-Retail,Farm_Laborer,intact,white,3.6,less than 0.6
Salesman-Retail,Craftsman-Manufacturing,nonintact,white,2.8,between 3.3 and 14.6
Manager,Farm_Laborer,intact,black,0.3,less than 0.6
Professional-Salaried,Manager,intact,white,57.9,greater than 14.6
Farmer/Farm_Manager,Operative-Manufacturing,nonintact,white,40.3,greater than 14.6
Craftsman-Manufacturing,Craftsman-Manufacturing,intact,black,2.1,between 3.3 and 14.6
Farmer/Farm_Manager,Craftsman-Construction,nonintact,white,16.3,greater than 14.6
Professional-Salaried,Craftsmen-Other,intact,white,58.1,greater than 14.6
Proprietor,Farmer/Farm_Manager,nonintact,white,0.7,between 0.6 and 3.3
Service_Worker,Laborer-Manufacturing,intact,black,4.2,between 3.3 and 14.6
Farmer/Farm_Manager,Professional_Self-Employed,intact,black,1.8,between 0.6 and 3.3
Craftsman-Construction,Service_Worker,nonintact,white,11.9,between 3.3 and 14.6
Salesman-Nonretail,Operative-Manufacturing,intact,white,5.1,between 3.3 and 14.6
Laborer-Manufacturing,Clerk,nonintact,black,2.9,between 0.6 and 3.3
Professional_Self-Employed,Proprietor,intact,white,4.8,between 0.6 and 3.3
