fathers_occupation,sons_occupation,family_structure,race,counts_for_sons_first_occupation,counts_for_sons_current_occupation
Laborer-Manufacturing,Clerk,nonintact,white,11.3,between 3.3 and 14.6
Craftsmen-Other,Service_Worker,intact,black,6.7,less than 0.6
Farmer/Farm_Manager,Laborer-Manufacturing,intact,white,18.5,between 3.3 and 14.6
Professional-Salaried,Craftsman-Construction,intact,white,4.9,between 3.3 and 14.6
Manager,Manager,intact,black,1.2,less than 0.6
Laborer-Nonmanufacturing,Laborer-Nonmanufacturing,nonintact,black,8.9,between 0.6 and 3.3
Clerk,Laborer-Manufacturing,intact,white,21.4,greater than 14.6
Proprietor,Craftsman-Manufacturing,intact,white,15.6,greater than 14.6
Operative-Manufacturing,Professional_Self-Employed,intact,black,5.5,between 3.3 and 14.6
Salesman-Retail,Craftsmen-Other,intact,white,10.8,between 3.3 and 14.6
Professional_Self-Employed,Professional-Salaried,nonintact,white,0.6,less than 0.6
Craftsman-Manufacturing,Operative-Nonmanufacturing,intact,black,13.4,between 3.3 and 14.6
Laborer-Manufacturing,Salesman-Retail,intact,white,7.3,between 3.3 and 14.6
Farm_Laborer,Craftsman-Construction,intact,white,2.1,between 0.6 and 3.3
Professional-Salaried,Laborer-Manufacturing,intact,black,16.8,between 3.3 and 14.6
Clerk,Clerk,nonintact,white,9.1,between 0.6 and 3.3
Salesman-Nonretail,Professional_Self-Employed,intact,black,4.5,less than 0.6
Laborer-Nonmanufacturing,Service_Worker,intact,white,12.9,between 3.3 and 14.6
Craftsmen-Other,Craftsmen-Other,intact,black,6.2,between 0.6 and 3.3
Farmer/Farm_Manager,Laborer-Nonmanufacturing,nonintact,black,11.6,between 0.6 and 3.3
Operative-Manufacturing,Craftsman-Manufacturing,nonintact,white,17.3,between 3.3 and 14.6
Professional_Self-Employed,Operative-Manufacturing,intact,white,8.5,between 3.3 and 14.6
Salesman-Retail,Salesman-Retail,intact,white,5.8,between 3.3 and 14.6
Professional-Salaried,Clerk,intact,black,14.1,greater than 14.6
Craftsman-Construction,Craftsmen-Other,intact,white,18.2,greater than 14.6
Manager,Professional_Self-Employed,nonintact,black,2.5,less than 0.6
Laborer-Manufacturing,Operative-Manufacturing,intact,white,9.9,between 3.3 and 14.6
Farm_Laborer,Laborer-Manufacturing,intact,black,6.5,between 0.6 and 3.3
Professional_Self-Employed,Craftsman-Construction,intact,white,16.3,between 3.3 and 14.6
Clerk,Manager,intact,white,4.2,less than 0.6
Salesman-Nonretail,Laborer-Nonmanufacturing,nonintact,black,10.4,between 0.6 and 3.3
Laborer-Nonmanufacturing,Professional-Salaried,intact,white,7.8,between 3.3 and 14.6
