pop,education,houses,income,xcoord,ycoord,ln_votes_pop
8.82396445040994,8.43617515571229,7.98110986346835,11.161330078125,97741587.0,34425119.0,between -0.6999407366495485 and -0.565824729711181
9.55418334904055,9.19380869694623,8.70011544036865,11.9582308496094,-93670380.0,42789131.0,greater than -0.441693965696886
9.16758659088135,8.01080628967216,8.0758621673584,10.7953413085938,-107998743.0,39141209.0,less than -0.6999407366495485
10.95634962454224,10.3709275258229,9.96219550030507,13.3009347226563,-77625014.0,44237389.0,between -0.565824729711181 and -0.441693965696886
8.3505241929471,7.77336186203384,7.43016011435653,10.4867431172188,-102188850.0,36191944.0,between -0.6999407366495485 and -0.565824729711181
10.6890275272177,9.81729241943307,9.45513589096045,12.5335571210794,-82815920.0,37788223.0,greater than -0.441693965696886
9.93549459238427,9.02610882568359,8.9023486328125,11.8404693603516,-87419840.0,33273855.0,between -0.565824729711181 and -0.441693965696886
9.04388532738043,8.15136736647045,7.90183232850293,10.9119396896362,-114166664.0,41606192.0,less than -0.6999407366495485
11.5080373306274,10.7993617515563,10.503059387207,13.7605178222656,-111402713.0,38822549.0,between -0.6999407366495485 and -0.565824729711181
8.94424050903309,8.04799116134607,7.86459452075195,10.7475700416563,-104847893.0,37437018.0,between -0.6999407366495485 and -0.565824729711181
10.4632940969002,9.6316688605046,9.24578971099854,12.2671297607422,-73207856.0,39816253.0,greater than -0.441693965696886
8.69796030078107,7.96140872192324,7.75825507336426,10.6918640136719,-83591939.0,38125184.0,greater than -0.441693965696886
9.27444129738271,8.50933559049988,8.18735647546387,11.1279828033447,-95388279.0,34986578.0,less than -0.6999407366495485
10.9067467956543,10.2731639328003,9.69936929339599,13.0833005218506,-79435108.0,35489286.0,between -0.6999407366495485 and -0.565824729711181
8.11147015380859,7.60442990112305,7.11709032547076,10.2982828063965,-99086414.0,26574537.0,greater than -0.441693965696886
11.6348190317983,11.0164527893066,10.4163821307373,14.1774557878418,-98563189.0,39173683.0,less than -0.6999407366495485
9.8187361907959,8.94665415995408,8.81698184204102,11.7737957838135,-94215170.0,36547531.0,between -0.565824729711181 and -0.441693965696886
9.44898648452724,8.68949346733007,8.28015518188477,11.3502538299561,-98763154.0,43080795.0,greater than -0.441693965696886
11.061911945343,10.4275498350227,9.90352821350098,13.4314804074406,-97625089.0,32268421.0,greater than -0.441693965696886
8.53634298683167,7.90410668945312,7.68968296051025,10.6971643371582,-114654369.0,37227822.0,between -0.6999407366495485 and -0.565824729711181
8.98842514795508,8.27070617675781,7.93372058945447,11.0054557878418,-95810301.0,42591142.0,between -0.6999407366495485 and -0.565824729711181
10.1478245849609,9.29925936889648,8.96739970207214,12.1905174255371,-72045459.0,31289294.0,greater than -0.441693965696886
9.06201166241455,8.14298534393383,7.88038177394885,10.786797454834,108467299.0,42173933.0,less than -0.6999407366495485
11.9151716003418,10.9569322738647,10.6371773986816,14.2348250656128,-118690210.0,44441992.0,greater than -0.441693965696886
9.39949047034427,8.48619187252808,8.22711193154907,11.3534450531006,-80600500.0,36388652.0,between -0.6999407366495485 and -0.565824729711181
9.9501764221191,9.07200234222412,8.9601747303009,12.0196990966797,-95539937.0,41176567.0,between -0.565824729711181 and -0.441693965696886
8.73455535800226,7.95595627523804,7.69512224108887,10.7826843261719,-123481921.0,40026187.0,greater than -0.441693965696886
11.3736877437744,10.6713102416992,10.3395807189941,13.6635428621216,-77811290.0,38753518.0,between -0.6999407366495485 and -0.565824729711181
9.5944747467041,8.78216474328613,8.48551159286536,11.5853031234744,-88196221.0,34944824.0,less than -0.6999407366495485
9.18965530377197,8.35033369082612,8.07421731530762,11.0283279417114,-95640826.0,36914793.0,between -0.6999407366495485 and -0.565824729711181
11.6581283398438,10.9188613891602,10.5286435394287,14.059850510802,112123475.0,43378350.0,greater than -0.441693965696886
