cement,blast_furnace_slag,fly_ash,water,superplasticizer,coarse_aggregate,fine_aggregate,age,strength
283.19,45.67,13.42,195.83,6.29,949.21,821.39,35,greater than 46.13628654
425.81,118.35,0.0,168.49,10.95,963.18,691.85,49,between 34.44277358 and 46.13628654
307.41,26.19,91.88,207.41,4.19,918.49,854.92,21,between 23.707115153 and 34.44277358
192.58,153.25,0.0,191.67,0.0,1013.25,781.42,17,less than 23.707115153
351.19,0.0,123.42,179.17,8.46,975.67,743.29,50,greater than 46.13628654
492.38,21.25,0.0,193.5,11.88,910.38,862.14,33,between 34.44277358 and 46.13628654
269.84,110.38,95.63,187.96,6.54,980.29,734.58,46,between 34.44277358 and 46.13628654
220.96,0.0,0.0,184.29,0.0,1038.46,799.21,20,less than 23.707115153
398.59,122.86,0.0,174.39,10.29,925.84,851.39,38,greater than 46.13628654
310.46,25.46,119.21,202.96,3.46,894.13,694.79,43,between 34.44277358 and 46.13628654
181.33,129.17,0.0,190.83,0.0,965.42,828.42,16,less than 23.707115153
252.08,0.0,91.88,149.25,10.88,1067.08,812.46,25,between 23.707115153 and 34.44277358
379.17,189.33,0.0,165.42,8.92,938.25,758.25,48,greater than 46.13628654
154.75,0.0,162.75,168.5,9.25,879.42,872.92,24,between 23.707115153 and 34.44277358
446.25,27.25,78.25,161.5,11.88,969.5,714.5,6,between 34.44277358 and 46.13628654
486.88,23.88,0.0,208.38,3.88,883.88,700.88,29,greater than 46.13628654
175.29,0.17,141.13,163.21,0.0,1006.79,900.29,11,less than 23.707115153
395.79,20.79,95.21,159.46,13.79,940.46,846.46,32,greater than 46.13628654
316.54,146.96,0.0,179.96,8.29,868.96,825.96,30,between 34.44277358 and 46.13628654
488.46,25.96,123.96,211.29,3.96,883.46,700.46,4,between 23.707115153 and 34.44277358
391.21,0.0,0.0,186.71,0.0,1106.39,785.39,9,less than 23.707115153
300.58,0.0,0.0,193.29,0.0,1086.58,766.58,89,between 23.707115153 and 34.44277358
324.96,0.0,128.96,183.96,11.46,871.92,780.96,27,between 34.44277358 and 46.13628654
243.67,42.67,16.33,200.83,6.33,955.83,823.67,40,greater than 46.13628654
282.5,102.5,0.0,173.5,0.0,1019.5,779.5,19,less than 23.707115153
414.33,115.17,0.0,169.5,9.67,962.67,693.67,51,between 34.44277358 and 46.13628654
261.42,0.0,92.29,149.79,10.54,1065.54,814.21,23,between 23.707115153 and 34.44277358
296.25,184.25,0.0,171.5,0.0,1014.25,784.25,41,greater than 46.13628654
166.5,0.42,163.75,168.25,9.25,881.25,873.25,13,less than 23.707115153
392.88,22.25,80.25,160.88,11.63,969.38,715.38,7,between 34.44277358 and 46.13628654
481.5,24.5,0.0,208.25,4.25,885.0,701.5,31,greater than 46.13628654
181.42,0.04,143.54,163.54,0.04,1005.88,901.42,10,less than 23.707115153
