cement,blast_furnace_slag,fly_ash,water,superplasticizer,coarse_aggregate,fine_aggregate,age,strength
266.15,74.29,53.19,185.49,5.67,960.21,791.18,45.0,between 23.707115153 and 34.44277358
241.88,94.17,60.85,189.23,4.21,1013.19,851.39,28.0,between 34.44277358 and 46.13628654
313.49,0.0,96.47,178.53,11.85,943.19,806.58,56.0,greater than 46.13628654
282.35,118.35,0.0,192.94,0.0,970.94,863.29,90.0,between 23.707115153 and 34.44277358
228.72,76.94,122.94,174.21,7.44,1038.49,794.58,28.0,between 34.44277358 and 46.13628654
296.88,0.0,107.88,221.38,10.88,943.88,856.38,14.0,between 23.707115153 and 34.44277358
257.49,180.49,120.49,169.15,9.85,889.49,783.49,28.0,greater than 46.13628654
245.67,0.0,0.0,208.92,0.0,1001.67,759.67,28.0,between 23.707115153 and 34.44277358
379.95,151.95,0.0,159.49,14.95,1117.95,612.95,7.0,greater than 46.13628654
336.19,0.0,0.0,187.39,3.19,991.19,819.19,28.0,between 34.44277358 and 46.13628654
369.85,0.0,0.0,190.85,0.0,1044.85,742.85,28.0,between 34.44277358 and 46.13628654
355.95,0.0,0.0,197.95,0.0,1046.95,808.95,360.0,between 34.44277358 and 46.13628654
117.83,163.33,0.0,206.83,0.0,940.83,849.83,7.0,less than 23.707115153
153.38,137.38,106.88,179.88,7.88,945.38,776.38,28.0,between 23.707115153 and 34.44277358
310.4,77.4,0.0,229.4,0.0,933.4,673.4,180.0,greater than 46.13628654
219.67,0.0,122.17,181.67,5.67,1057.67,781.67,3.0,less than 23.707115153
299.8,0.0,107.8,222.8,11.3,820.8,779.8,28.0,between 23.707115153 and 34.44277358
165.9,128.9,123.4,183.9,6.4,823.9,881.9,28.0,between 34.44277358 and 46.13628654
327.8,0.0,0.0,204.3,0.0,975.3,800.3,14.0,less than 23.707115153
279.85,181.85,120.85,162.85,10.35,831.85,766.85,28.0,greater than 46.13628654
291.45,0.0,0.0,193.45,0.0,914.45,896.45,90.0,between 23.707115153 and 34.44277358
151.45,119.45,92.45,184.45,7.0,953.45,782.45,28.0,less than 23.707115153
168.09,0.0,164.09,177.09,4.49,1058.09,781.59,3.0,less than 23.707115153
280.55,0.0,98.25,161.05,11.85,974.05,875.55,3.0,less than 23.707115153
196.25,291.25,0.0,186.25,0.0,999.25,705.25,28.0,between 23.707115153 and 34.44277358
274.15,69.15,54.65,188.15,5.45,962.15,794.15,45.0,between 23.707115153 and 34.44277358
251.38,0.0,62.12,191.38,4.12,1013.38,853.12,28.0,between 34.44277358 and 46.13628654
320.49,0.0,96.99,179.49,11.99,944.99,807.49,56.0,greater than 46.13628654
287.85,119.35,0.0,193.35,0.0,971.35,863.85,90.0,between 23.707115153 and 34.44277358
230.92,76.42,122.42,174.92,7.42,1038.92,794.92,28.0,between 34.44277358 and 46.13628654
300.18,0.0,108.18,221.68,10.68,943.18,856.68,14.0,between 23.707115153 and 34.44277358
260.99,180.99,120.99,169.49,9.99,890.49,784.49,28.0,greater than 46.13628654
