sex,length,diameter,height,whole_weight,shucked_weight,cisvera_weight,shell_weight,rings
I,0.6289986,0.499673,0.20948963,1.4089749,0.56269085,0.26695308,0.44718555,between 9.0 and 11.0
F,0.60210705,0.45273745,0.15800704,1.457638,0.36801,0.26269904,0.42440775,greater than 11.0
I,0.6986495,0.5495686,0.21493386,1.4643617,0.83270746,0.33396995,0.44918177,between 8.0 and 9.0
I,0.17616431,0.111296035,0.053236168,-0.0061162086,-0.019292215,0.01123917,-0.011781243,greater than 11.0
I,0.63670534,0.5024702,0.17447327,1.2370453,0.628464,0.33133152,0.25141603,between 8.0 and 9.0
I,0.5331335,0.38621485,0.12583499,0.7927704,0.22070454,0.1625626,0.22310992,less than 8.0
M,0.53545606,0.4177033,0.11229967,0.5990382,0.2890231,0.12820433,0.16098583,less than 8.0
M,0.6289221,0.5189277,0.15400176,1.4943045,0.51911193,0.25668854,0.45069665,greater than 11.0
I,0.38773698,0.25775665,0.08717292,0.28011373,0.09275916,0.056965612,0.103119895,less than 8.0
M,0.6591154,0.53746486,0.19514747,1.741405,0.68010926,0.32077762,0.52628314,greater than 11.0
I,0.34798032,0.1699567,0.06627194,0.11258246,-0.048435513,0.0477213,0.049635086,less than 8.0
M,0.605136,0.48589417,0.15773065,1.1309385,0.470305,0.25123465,0.30470902,between 8.0 and 9.0
M,0.5291928,0.44020584,0.15066391,0.8255392,0.31487843,0.18927747,0.28689176,greater than 11.0
I,0.57504296,0.4295314,0.0892935,0.7783255,0.29320154,0.07577912,0.25472242,less than 8.0
M,0.32081527,0.25252753,0.07353406,0.19923392,0.09827108,0.03363875,0.051828705,less than 8.0
I,0.4202109,0.31489405,0.0622618,0.2815041,0.16630737,0.041436527,0.074996494,between 9.0 and 11.0
