sex,length,diameter,height,whole_weight,shucked_weight,cisvera_weight,shell_weight,rings
I,0.46796116,0.31570843,0.13909893,0.48038676,0.1423024,0.08631318,0.14619122,greater than 11.0
I,0.071523756,0.09914658,-0.008490728,-0.02254238,-0.026081499,0.018834008,-0.0012495327,less than 8.0
I,0.40696052,0.33180204,0.11531353,0.4144806,0.2080629,0.10493993,0.11460151,between 9.0 and 11.0
F,0.7236036,0.5617119,0.22759138,1.9621898,0.9091461,0.51322347,0.53980714,greater than 11.0
M,0.50970507,0.38473645,0.12669247,0.5071621,0.2604883,0.11787222,0.14020294,between 9.0 and 11.0
I,0.3035554,0.21696125,0.06517717,0.18244559,0.07765969,0.016332502,0.057235148,less than 8.0
M,0.6273837,0.5014921,0.18427823,1.1168607,0.4689972,0.27490714,0.32485867,greater than 11.0
F,0.58793783,0.47578987,0.17008877,0.9442227,0.4532379,0.21065901,0.2607684,greater than 11.0
M,0.6569131,0.5298153,0.18674152,1.4588059,0.70008993,0.35537675,0.38598037,greater than 11.0
I,0.7729856,0.62600815,0.23662919,2.2753985,1.3341405,0.479996,0.54462856,greater than 11.0
M,0.45423838,0.3508876,0.08639379,0.3423699,0.21491882,0.114196986,0.062786676,less than 8.0
M,0.5406934,0.4262915,0.12936448,0.7033478,0.32901734,0.19222984,0.1773832,between 9.0 and 11.0
F,0.46859127,0.37510142,0.13838467,0.6532766,0.19107912,0.19415376,0.24554372,greater than 11.0
M,0.3564873,0.28098938,0.09163632,0.27187008,0.1017255,0.067820825,0.062393747,less than 8.0
M,0.612748,0.4936091,0.16918913,1.1759111,0.5359155,0.27836168,0.27417856,between 9.0 and 11.0
M,0.4866236,0.3749768,0.11564511,0.48291355,0.20723197,0.104511,0.15108636,greater than 11.0
M,0.48787773,0.3781706,0.12753831,0.55176735,0.24877198,0.19688492,0.10744378,greater than 11.0
M,0.49034587,0.39376187,0.12627684,0.55363137,0.3115157,0.18039317,0.12046854,greater than 11.0
M,0.5773914,0.43300056,0.15507066,0.80203336,0.34068868,0.18045324,0.23282199,greater than 11.0
M,0.34664077,0.27848873,0.08191985,0.22310932,0.12249282,0.080032334,0.072713405,less than 8.0
M,0.49089345,0.38857535,0.13176148,0.70883286,0.277496,0.16813813,0.15733145,greater than 11.0
F,0.7073697,0.5507488,0.18671183,1.7957288,0.703939,0.37404996,0.53666556,greater than 11.0
I,0.46670347,0.3480193,0.14678554,0.5131355,0.26234472,0.16875896,0.1467694,between 9.0 and 11.0
I,0.37783244,0.24910697,0.12498368,0.2069858,0.044890773,0.06559624,0.08140308,greater than 11.0
F,0.55568606,0.46048275,0.15827331,0.8262888,0.3900096,0.21481952,0.20592962,greater than 11.0
M,0.6370158,0.5126896,0.1795502,1.4139175,0.6211784,0.27048078,0.36469084,between 9.0 and 11.0
M,0.4147894,0.29980215,0.086084284,0.31394464,0.13951628,0.04773197,0.08895729,between 8.0 and 9.0
F,0.3573422,0.25976333,0.05657368,0.15654579,0.098868735,0.047743134,0.030882828,greater than 11.0
I,0.42683738,0.32088354,0.10338902,0.39144334,0.2030747,0.082795486,0.08940032,between 9.0 and 11.0
I,0.33642805,0.24930881,0.08775248,0.20597649,0.09036053,0.059755445,0.035288468,less than 8.0
M,0.5025525,0.39186737,0.13603954,0.5552561,0.27021596,0.11367969,0.13053647,less than 8.0
I,0.5318686,0.40524086,0.13356134,0.58637685,0.26130828,0.20091324,0.16213717,between 9.0 and 11.0
