sex,length,diameter,height,whole_weight,shucked_weight,cisvera_weight,shell_weight,rings
I,0.4185466,0.31001598,0.10677758,0.3105083,0.13116747,0.068777926,0.0976804,less than 8.0
F,0.5763389,0.42251885,0.15430492,1.1194117,0.53962094,0.22731996,0.28525373,greater than 11.0
M,0.60018957,0.48278022,0.15953729,1.2313503,0.5207883,0.2888131,0.3518976,between 9.0 and 11.0
I,0.62600356,0.50190806,0.14656395,1.0846999,0.53273916,0.22452958,0.2797453,greater than 11.0
F,0.5558194,0.4254583,0.15619415,0.8231449,0.28208467,0.18338656,0.25594425,greater than 11.0
M,0.58894974,0.46841747,0.14981368,1.0300019,0.4351077,0.23186506,0.23010482,between 9.0 and 11.0
F,0.58692956,0.47632572,0.1481946,1.058068,0.5075283,0.25300282,0.27668768,between 9.0 and 11.0
F,0.35052717,0.2733616,0.09002952,0.17204882,0.09369035,0.05339347,0.031200081,between 8.0 and 9.0
F,0.69940364,0.5371602,0.19377239,1.8441808,0.7715118,0.3867104,0.4919751,greater than 11.0
M,0.6289852,0.5009958,0.15371522,1.3774889,0.68975246,0.3320634,0.304643,between 8.0 and 9.0
I,0.43500572,0.3433425,0.10962101,0.43043166,0.21791816,0.07526252,0.10921336,greater than 11.0
M,0.5984546,0.4542858,0.17065218,1.191314,0.5641415,0.23635791,0.3381203,greater than 11.0
M,0.6642542,0.5343126,0.18053998,1.5076146,0.6567058,0.32103682,0.4822944,between 9.0 and 11.0
M,0.7091913,0.52980095,0.190317,1.7701588,0.7812225,0.40282112,0.46088064,greater than 11.0
F,0.63410294,0.47991496,0.13421978,1.0224941,0.5010726,0.22567569,0.25173396,between 9.0 and 11.0
M,0.6340573,0.50943977,0.21979032,1.3341479,0.557293,0.28274214,0.36268568,greater than 11.0
M,0.570848,0.43966344,0.1191404,1.0286853,0.5096282,0.17408252,0.34667242,greater than 11.0
M,0.605625,0.46334058,0.15843368,1.1032608,0.506164,0.23285964,0.305715,greater than 11.0
F,0.60084015,0.46971238,0.16144404,1.3398721,0.6363077,0.3009919,0.32853732,between 9.0 and 11.0
F,0.6308279,0.4812619,0.16459733,1.1984298,0.49132958,0.24915016,0.45902488,greater than 11.0
I,0.4568901,0.36928594,0.12685838,0.44055203,0.17392972,0.075585976,0.14798583,greater than 11.0
I,0.44717747,0.3284752,0.10784407,0.47097272,0.20431787,0.11680147,0.13018523,less than 8.0
I,0.28836265,0.21066138,0.083026044,0.07814857,0.033406172,0.010305487,0.034027565,less than 8.0
M,0.6225945,0.48866794,0.15693423,1.0403001,0.45336547,0.21436982,0.40612987,greater than 11.0
F,0.5034657,0.42142537,0.14733891,0.62978446,0.26246357,0.13884544,0.24008574,greater than 11.0
F,0.65471303,0.5171509,0.18237336,1.3791595,0.6236917,0.31812164,0.3515896,greater than 11.0
F,0.5790581,0.42146942,0.12868816,0.78498507,0.3750661,0.1645445,0.23304948,between 9.0 and 11.0
M,0.66144323,0.51361245,0.21735536,1.5195538,0.6644693,0.37064657,0.39047074,between 9.0 and 11.0
M,0.67503977,0.5262052,0.17273757,1.4726114,0.5112699,0.33861765,0.5062704,greater than 11.0
F,0.59185076,0.47530115,0.160259,0.96535945,0.34127688,0.22230126,0.28870752,greater than 11.0
M,0.55095696,0.49450937,0.15897252,0.9918314,0.45737478,0.20333444,0.31735778,between 9.0 and 11.0
M,0.5794594,0.44548312,0.14218701,0.7287958,0.27195355,0.15320896,0.24079321,greater than 11.0
F,0.693906,0.5541001,0.16739692,1.5829536,0.65424216,0.4005117,0.5094756,greater than 11.0
M,0.48035342,0.38335073,0.13318634,0.5025212,0.18480834,0.12124943,0.17632045,less than 8.0
F,0.60906434,0.47861895,0.21458352,1.5124533,0.56365585,0.3516134,0.43468904,greater than 11.0
I,0.40487564,0.317495,0.120435774,0.3390729,0.1314514,0.077721,0.11060476,greater than 11.0
I,0.6028198,0.4527282,0.14895983,0.878025,0.36711085,0.21139416,0.27860793,between 9.0 and 11.0
I,0.36185324,0.26518586,0.09254312,0.19150284,0.07838736,0.054062095,0.06317083,less than 8.0
I,0.43545496,0.34929073,0.119941756,0.41332892,0.16983332,0.059602216,0.14713486,greater than 11.0
F,0.6526464,0.5022915,0.19233277,1.4316009,0.49187484,0.3858025,0.40314648,between 9.0 and 11.0
F,0.6250658,0.51398396,0.16290069,1.0292634,0.43297973,0.2696482,0.30399773,greater than 11.0
F,0.44033173,0.3500486,0.117372,0.51592976,0.21141565,0.10366673,0.15955977,greater than 11.0
M,0.32881778,0.24559295,0.08558017,0.20458789,0.08029641,0.03665101,0.07238652,less than 8.0
F,0.6695892,0.5338075,0.20304061,1.6403333,0.73627585,0.42935997,0.42752126,greater than 11.0
M,0.6195714,0.46427372,0.15115462,1.1045388,0.4992453,0.24697976,0.306371,between 9.0 and 11.0
M,0.3000693,0.2294104,0.075488314,0.057329375,0.031717934,0.0059778667,0.011180073,between 9.0 and 11.0
M,0.30191034,0.19443385,0.10149338,0.24691547,0.09555752,0.040247303,0.079866886,less than 8.0
M,0.64864075,0.5031402,0.191607,1.4957287,0.6077504,0.3064117,0.43654892,between 9.0 and 11.0
I,0.4167733,0.30994546,0.10777941,0.34143466,0.137866,0.06400758,0.111371145,less than 8.0
M,0.6664335,0.51593447,0.15537706,1.1252177,0.45799637,0.22649154,0.5286611,greater than 11.0
M,0.5463513,0.43040144,0.13406779,0.87291586,0.44849288,0.20511606,0.21723479,greater than 11.0
F,0.681538,0.5145625,0.1801691,1.5030907,0.55659115,0.379851,0.5054569,greater than 11.0
I,0.5298586,0.41501504,0.11484797,0.63196105,0.33533993,0.12867007,0.16229622,less than 8.0
I,0.5084332,0.37945998,0.12820868,0.6153537,0.2181043,0.13861524,0.21827014,between 8.0 and 9.0
F,0.7237114,0.54548377,0.17941152,1.7885698,0.7981573,0.3715987,0.53913504,greater than 11.0
F,0.6153526,0.4502835,0.15852116,1.1207714,0.47552517,0.25712916,0.35686466,between 9.0 and 11.0
M,0.62892437,0.51209253,0.16820812,1.4690528,0.55668116,0.30918583,0.60286117,greater than 11.0
F,0.6842691,0.5302298,0.1599732,1.3185159,0.6062183,0.3040653,0.38651225,greater than 11.0
M,0.63430274,0.5013068,0.23075895,1.6186178,0.57867557,0.34095958,0.43936396,greater than 11.0
F,0.62024283,0.49416217,0.17482238,1.2870872,0.61653376,0.245667,0.3562114,greater than 11.0
I,0.51375026,0.41789073,0.10309564,0.59461325,0.29993835,0.13623905,0.14581285,between 9.0 and 11.0
F,0.51731855,0.4125186,0.14528848,0.70629436,0.27890745,0.13811281,0.24019516,between 9.0 and 11.0
I,0.49838883,0.3719089,0.1312247,0.56276214,0.2773831,0.14957194,0.11772733,less than 8.0
I,0.42716497,0.3173325,0.11391572,0.37380418,0.15869085,0.07889729,0.11619855,less than 8.0
M,0.60987383,0.48446664,0.17947581,1.1997192,0.5097265,0.28047457,0.3425007,greater than 11.0
F,0.6173483,0.48930338,0.1470826,1.2145445,0.5598404,0.29181272,0.31164902,between 9.0 and 11.0
M,0.59202266,0.4499673,0.16613872,1.035936,0.36789992,0.23369423,0.33415648,between 9.0 and 11.0
F,0.54247046,0.4245308,0.122235164,0.77520466,0.3469189,0.17934804,0.21504483,between 9.0 and 11.0
I,0.4245097,0.34178007,0.119398296,0.49115402,0.2415904,0.09686048,0.10513273,less than 8.0
M,0.60342705,0.4546917,0.18010965,1.088229,0.5265568,0.24602684,0.27099693,between 9.0 and 11.0
I,0.5741174,0.43836,0.14393274,0.8020166,0.31808433,0.17404456,0.2765806,greater than 11.0
F,0.56695396,0.4542276,0.15839143,1.0017434,0.43407333,0.23045012,0.28200823,greater than 11.0
F,0.64177746,0.4908405,0.1686024,1.2908422,0.58767843,0.31235114,0.32734424,between 9.0 and 11.0
I,0.4239982,0.32263735,0.111189224,0.37360734,0.1344202,0.07760085,0.1262494,less than 8.0
F,0.60025734,0.4671536,0.13648225,1.1307257,0.51479304,0.2353207,0.3315147,greater than 11.0
F,0.47821236,0.37499222,0.13467771,0.5798086,0.20634493,0.11899847,0.2191056,between 9.0 and 11.0
F,0.67564476,0.5172287,0.18803728,1.3995831,0.621318,0.2998248,0.48231712,greater than 11.0
F,0.5878786,0.45195422,0.15782894,1.0437275,0.27200297,0.22180974,0.38860434,between 9.0 and 11.0
M,0.63167304,0.4698305,0.2105713,1.537643,0.62513775,0.32561022,0.5047758,greater than 11.0
I,0.5654722,0.4472936,0.13585867,0.9719377,0.42155275,0.18864086,0.30219665,greater than 11.0
M,0.6355792,0.50319713,0.15691514,1.1385694,0.49926874,0.2707992,0.34187478,greater than 11.0
F,0.5535558,0.40462443,0.15446034,0.98083,0.37850377,0.1953353,0.3706983,greater than 11.0
M,0.48501974,0.39840114,0.14167655,0.66606677,0.21941988,0.13269624,0.24132062,between 8.0 and 9.0
F,0.58187,0.4516342,0.15838285,0.95396006,0.39524418,0.22751375,0.33104557,greater than 11.0
