education,experience,ethnicity,smsa,region,parttime,wage
11.994882,18.429527,cauc,yes,northeast,no,between 308.64 and 522.32
11.978715,6.3702645,cauc,no,south,no,between 308.64 and 522.32
9.956869,18.78717,cauc,yes,south,no,between 308.64 and 522.32
17.224276,8.511553,cauc,no,midwest,no,between 522.32 and 783.48
11.994722,2.558005,cauc,yes,south,no,between 308.64 and 522.32
10.048026,16.243992,cauc,yes,south,no,between 308.64 and 522.32
12.005682,11.164236,cauc,yes,midwest,no,between 308.64 and 522.32
10.117726,1.252378,cauc,yes,northeast,no,greater than 783.48
12.058112,21.670084,cauc,yes,northeast,no,between 522.32 and 783.48
13.996629,8.08587,cauc,no,midwest,no,between 522.32 and 783.48
17.211077,11.777409,cauc,no,south,no,between 308.64 and 522.32
12.005835,9.685354,cauc,yes,south,no,between 522.32 and 783.48
12.009542,22.831945,cauc,yes,northeast,no,between 308.64 and 522.32
18.141756,23.210613,cauc,no,south,no,between 308.64 and 522.32
17.339727,11.264269,cauc,no,midwest,no,between 308.64 and 522.32
10.099702,9.526084,cauc,yes,south,no,greater than 783.48
