education,experience,ethnicity,smsa,region,parttime,wage
17.245167,13.171157,cauc,yes,midwest,no,greater than 783.48
14.983145,23.187159,cauc,yes,west,no,greater than 783.48
15.998696,1.0534254,cauc,yes,west,yes,less than 308.64
13.100702,3.0357301,cauc,no,west,no,between 308.64 and 522.32
8.934795,19.9634,cauc,yes,northeast,no,between 308.64 and 522.32
17.334654,17.5994,cauc,yes,midwest,no,between 522.32 and 783.48
13.91638,15.626517,cauc,yes,northeast,no,greater than 783.48
9.142106,16.289646,afam,yes,northeast,no,between 308.64 and 522.32
13.062677,2.5712054,cauc,yes,south,no,less than 308.64
14.070393,2.3396277,afam,yes,west,no,less than 308.64
11.964375,2.128067,cauc,yes,west,no,less than 308.64
15.048614,32.52493,afam,yes,midwest,no,between 522.32 and 783.48
14.033913,15.999563,cauc,yes,west,no,greater than 783.48
9.964179,14.569031,cauc,yes,south,no,between 308.64 and 522.32
16.014801,8.802023,cauc,yes,west,no,between 522.32 and 783.48
13.95073,1.8668121,cauc,yes,south,no,less than 308.64
16.039833,-1.4089069,cauc,yes,west,no,less than 308.64
14.014974,38.1933,cauc,yes,south,no,greater than 783.48
14.160137,27.400387,cauc,yes,midwest,no,greater than 783.48
13.881696,26.091644,cauc,yes,midwest,no,greater than 783.48
13.930138,4.7825055,cauc,yes,northeast,no,between 308.64 and 522.32
11.143338,30.21683,cauc,yes,south,no,between 308.64 and 522.32
15.922887,8.7381,cauc,yes,midwest,no,between 522.32 and 783.48
17.92356,22.316645,cauc,yes,west,no,greater than 783.48
14.042945,7.037655,cauc,yes,west,no,between 522.32 and 783.48
11.108609,21.569149,cauc,yes,midwest,no,between 308.64 and 522.32
12.054098,31.088795,cauc,yes,south,no,between 522.32 and 783.48
16.98282,19.545729,cauc,yes,midwest,no,between 308.64 and 522.32
15.978661,33.34033,cauc,yes,northeast,no,greater than 783.48
15.070712,20.113825,cauc,yes,south,no,between 522.32 and 783.48
14.935451,6.5182223,cauc,yes,west,no,greater than 783.48
