class,largest_spot_size,spot_distribution,activity,evolution,previous_activity,complex,complex_path,area,area_largest,c_class_flares
H,R,X,1,1,1,1,2,1,1,greater than 0.0
E,S,O,1,1,1,2,2,1,1,greater than 0.0
H,S,X,1,3,1,1,1,1,1,greater than 0.0
H,S,X,1,2,1,1,2,1,1,greater than 0.0
H,S,X,2,2,1,2,2,1,1,greater than 0.0
D,S,I,1,3,1,1,2,1,1,greater than 0.0
D,R,O,1,2,1,1,2,1,1,greater than 0.0
C,R,O,1,2,1,1,2,1,1,greater than 0.0
B,X,O,1,3,1,1,2,1,1,greater than 0.0
F,A,I,1,2,1,2,2,1,1,greater than 0.0
H,S,X,1,2,1,1,1,1,1,greater than 0.0
E,H,C,2,3,1,2,2,1,1,greater than 0.0
H,S,X,1,2,1,2,1,1,1,greater than 0.0
H,S,X,1,2,1,1,1,1,1,greater than 0.0
H,S,X,1,2,1,2,2,1,1,greater than 0.0
F,A,I,2,2,3,2,2,1,1,greater than 0.0
D,R,I,1,3,1,1,2,1,1,greater than 0.0
B,X,O,1,3,1,1,2,1,1,greater than 0.0
H,R,X,2,2,1,2,2,1,1,greater than 0.0
E,S,I,2,2,1,2,2,1,1,greater than 0.0
C,S,O,1,3,1,1,2,1,1,greater than 0.0
E,K,C,2,2,1,2,2,1,1,greater than 0.0
D,S,O,1,3,1,2,2,1,1,greater than 0.0
B,X,O,1,3,1,1,2,1,1,greater than 0.0
H,R,X,1,2,1,1,2,1,1,greater than 0.0
C,S,O,1,3,1,1,2,1,1,greater than 0.0
B,X,O,1,2,1,1,2,1,1,greater than 0.0
H,S,X,1,2,1,2,2,1,1,greater than 0.0
C,R,O,1,2,1,2,2,1,1,greater than 0.0
H,S,X,1,2,1,2,2,1,1,greater than 0.0
H,S,X,1,2,1,1,1,1,1,greater than 0.0
E,A,C,1,3,1,2,2,1,1,greater than 0.0
E,A,I,2,2,1,1,2,1,1,greater than 0.0
H,S,X,1,3,1,1,2,1,1,greater than 0.0
C,R,O,1,3,1,1,2,1,1,greater than 0.0
D,S,O,2,2,1,1,2,1,1,greater than 0.0
H,S,X,1,1,1,1,2,1,1,greater than 0.0
H,R,X,1,2,1,1,1,1,1,greater than 0.0
H,S,X,1,3,1,1,2,1,1,greater than 0.0
C,S,O,1,3,1,1,2,1,1,greater than 0.0
B,X,O,1,3,1,1,2,1,1,greater than 0.0
H,S,X,1,1,1,1,2,1,1,greater than 0.0
H,S,X,1,2,1,2,1,1,1,greater than 0.0
H,S,X,1,2,2,2,2,1,1,greater than 0.0
H,R,X,1,2,1,2,2,1,1,greater than 0.0
H,A,X,1,2,1,2,2,1,1,greater than 0.0
H,R,X,1,2,1,2,1,1,1,greater than 0.0
C,R,O,1,3,1,1,2,1,1,greater than 0.0
B,X,O,1,3,1,1,2,1,1,greater than 0.0
H,R,X,1,2,1,1,2,1,1,greater than 0.0
E,A,O,1,2,1,2,2,1,1,greater than 0.0
D,S,O,1,3,1,1,2,1,1,greater than 0.0
D,R,O,1,2,1,1,2,1,1,greater than 0.0
F,S,I,1,3,1,2,2,1,1,greater than 0.0
C,R,O,1,3,1,1,2,1,1,greater than 0.0
D,K,C,2,3,1,2,2,2,1,greater than 0.0
C,S,O,1,3,1,1,2,1,1,greater than 0.0
E,R,O,1,3,1,2,2,2,1,greater than 0.0
D,R,I,2,2,1,2,2,1,1,greater than 0.0
D,R,O,1,3,1,1,2,1,1,greater than 0.0
D,A,I,1,3,1,1,2,1,1,greater than 0.0
C,A,I,1,2,1,2,2,1,1,greater than 0.0
D,A,I,1,3,1,2,2,1,1,greater than 0.0
H,S,X,1,2,1,2,1,1,1,greater than 0.0
