lever_position,ship_speed,gas_turbine_shaft_torque,gas_turbine_rate_of_revolutions,gas_generator_rate_of_revolutions,starboard_propeller_torque,port_propeller_torque,hp_turbine_exit_temperature,gt_compressor_outlet_air_temperature,hp_turbine_exit_pressure,gt_compressor_outlet_air_pressure,gas_turbine_exhaust_gas_pressure,turbine_injecton_control,fuel_flow,gt_compressor_decay_state_coefficient
5.32,15,21543.91,1932.11,8543.67,178.23,178.23,699.12,635.19,2.082,11.193,1.026,24.91,0.494,between 0.962 and 0.975
3.46,9,8394.44,1411.49,7079.82,60.89,60.89,571.53,579.34,1.391,7.523,1.021,11.92,0.238,greater than 0.988
2.34,6,2829.51,1374.29,6814.19,26.49,26.49,528.81,564.29,1.244,6.631,1.019,8.55,0.143,less than 0.962
9.61,27,72785.51,3563.29,9768.93,646.21,646.21,1078.45,781.49,4.499,22.589,1.05,90.31,1.791,between 0.962 and 0.975
5.18,15,21649.82,1927.81,8507.42,175.51,175.51,716.21,643.51,2.079,11.158,1.026,25.67,0.509,greater than 0.988
7.39,21,39016.29,2682.19,9129.51,332.91,332.91,830.45,690.29,2.986,15.799,1.036,44.59,0.887,between 0.975 and 0.988
4.59,12,14726.19,1551.49,7788.59,113.99,113.99,637.29,607.49,1.659,8.869,1.023,16.93,0.339,less than 0.962
6.39,18,29782.19,2309.89,8827.39,246.49,246.49,789.19,671.29,2.506,13.357,1.03,34.82,0.695,less than 0.962
2.69,6,4523.81,1356.29,6839.39,23.19,23.19,559.39,568.89,1.259,6.745,1.019,23.49,0.217,between 0.962 and 0.975
5.29,15,21637.49,1929.19,8497.39,175.59,175.59,707.19,639.19,2.083,11.099,1.026,24.99,0.499,greater than 0.988
3.76,9,8383.59,1391.89,7123.89,60.99,60.99,583.89,583.39,1.392,7.468,1.02,12.39,0.251,greater than 0.988
9.76,27,72792.99,3564.19,9779.59,646.59,646.59,1085.99,782.99,4.51,22.619,1.05,90.79,1.799,less than 0.962
7.16,21,39022.99,2680.99,9118.29,333.29,333.29,827.99,688.99,2.992,15.832,1.036,44.78,0.89,between 0.975 and 0.988
2.13,6,3948.39,1363.89,6802.39,22.39,22.39,504.89,559.89,1.202,6.542,1.019,22.89,0.189,less than 0.962
6.18,18,29759.19,2307.89,8822.19,246.19,246.19,768.19,670.19,2.501,13.269,1.03,35.19,0.681,between 0.962 and 0.975
4.49,12,14716.99,1549.89,7803.89,113.89,113.89,634.89,606.89,1.656,8.815,1.023,17.19,0.348,between 0.975 and 0.988
8.49,24,51004.19,3089.89,9308.39,438.89,438.89,922.89,731.89,3.61,18.699,1.042,61.39,1.216,greater than 0.988
5.67,15,21633.89,1931.89,8501.89,175.89,175.89,702.89,636.89,2.082,11.162,1.026,25.29,0.508,between 0.962 and 0.975
3.23,9,8376.99,1387.89,7059.89,61.29,61.29,576.89,576.89,1.393,7.461,1.02,12.19,0.245,between 0.962 and 0.975
1.83,3,5153.99,1389.89,6656.89,9.29,9.29,590.89,566.89,1.281,6.931,1.019,7.99,0.253,greater than 0.988
2.67,6,6205.19,1348.89,6849.89,28.89,28.89,553.89,565.89,1.291,6.829,1.02,2.19,0.225,greater than 0.988
7.59,21,38981.19,2679.89,9111.89,332.89,332.89,828.89,689.89,2.981,15.609,1.036,44.19,0.869,less than 0.962
4.98,12,14728.19,1546.89,7779.89,114.19,114.19,640.89,610.89,1.664,8.955,1.023,17.49,0.342,less than 0.962
8.98,24,51016.89,3088.89,9304.89,438.89,438.89,934.89,730.89,3.599,18.699,1.042,60.99,1.208,less than 0.962
5.85,15,21638.19,1925.89,8487.89,175.89,175.89,699.89,634.89,2.079,11.061,1.026,25.09,0.492,between 0.975 and 0.988
3.98,9,8377.89,1391.89,7099.89,61.49,61.49,587.89,586.89,1.394,7.509,1.02,12.79,0.258,between 0.962 and 0.975
9.29,27,72775.19,3562.89,9765.19,646.39,646.39,1081.89,781.89,4.502,22.521,1.05,90.59,1.784,between 0.975 and 0.988
