lever_position,ship_speed,gas_turbine_shaft_torque,gas_turbine_rate_of_revolutions,gas_generator_rate_of_revolutions,starboard_propeller_torque,port_propeller_torque,hp_turbine_exit_temperature,gt_compressor_outlet_air_temperature,hp_turbine_exit_pressure,gt_compressor_outlet_air_pressure,gas_turbine_exhaust_gas_pressure,turbine_injecton_control,fuel_flow,gt_compressor_decay_state_coefficient
7.149,21,39021.55,2675.89,9128.11,332.29,332.29,814.691,689.34,2.963,15.434,1.035,43.821,0.869,between 0.975 and 0.988
4.155,12,14715.53,1544.68,7743.98,113.54,113.54,637.281,607.469,1.661,9.017,1.022,17.262,0.342,less than 0.962
1.144,3,2329.98,1395.53,6698.88,10.83,10.83,496.499,558.141,1.198,6.428,1.019,0.0,0.173,greater than 0.988
6.186,18,29795.55,2306.83,8804.38,246.19,246.19,765.189,665.441,2.514,13.214,1.03,34.033,0.675,between 0.962 and 0.975
8.202,24,50981.93,3085.94,9305.4,437.7,437.7,923.499,732.859,3.569,18.197,1.041,59.999,1.202,between 0.962 and 0.975
3.145,9,8383.94,1388.59,7151.65,60.34,60.34,583.449,581.143,1.392,7.535,1.021,11.928,0.239,greater than 0.988
9.29,27,72775.29,3560.06,9751.55,645.01,645.01,1066.41,778.764,4.51,22.803,1.051,90.104,1.788,less than 0.962
5.158,15,21629.67,1923.97,8477.21,175.31,175.31,701.431,638.422,2.086,11.136,1.027,25.059,0.498,less than 0.962
1.145,3,4257.99,1404.85,6717.93,9.789,9.789,555.109,558.621,1.231,6.642,1.019,13.495,0.251,greater than 0.988
2.095,6,4684.56,1391.19,6772.51,30.75,30.75,580.739,566.061,1.308,6.963,1.02,0.0,0.182,between 0.975 and 0.988
7.158,21,39001.74,2677.73,9124.25,332.18,332.18,821.191,689.499,2.962,15.475,1.036,43.523,0.875,between 0.962 and 0.975
4.169,12,14732.58,1548.81,7834.58,113.84,113.84,651.961,614.091,1.653,8.869,1.022,17.646,0.348,less than 0.962
6.197,18,29801.38,2309.18,8833.56,246.51,246.51,779.641,672.449,2.498,13.173,1.03,34.458,0.685,less than 0.962
9.29,27,72779.16,3560.46,9780.29,645.16,645.16,1088.78,783.549,4.49,22.816,1.049,90.39,1.799,less than 0.962
5.143,15,21631.58,1923.98,8482.78,175.27,175.27,697.699,636.493,2.083,11.056,1.026,24.751,0.492,between 0.975 and 0.988
1.141,3,1571.27,1412.76,6743.47,11.28,11.28,486.881,554.982,1.157,6.351,1.019,0.0,0.127,between 0.975 and 0.988
8.209,24,51009.3,3088.36,9318.24,438.17,438.17,932.209,735.531,3.575,18.281,1.041,61.047,1.225,between 0.962 and 0.975
3.152,9,8382.67,1387.67,7099.47,60.41,60.41,591.609,583.467,1.393,7.467,1.02,12.207,0.249,greater than 0.988
9.29,27,72772.36,3560.33,9765.96,645.07,645.07,1064.07,779.751,4.525,22.761,1.05,91.011,1.805,greater than 0.988
