lever_position,ship_speed,gas_turbine_shaft_torque,gas_turbine_rate_of_revolutions,gas_generator_rate_of_revolutions,starboard_propeller_torque,port_propeller_torque,hp_turbine_exit_temperature,gt_compressor_outlet_air_temperature,hp_turbine_exit_pressure,gt_compressor_outlet_air_pressure,gas_turbine_exhaust_gas_pressure,turbine_injecton_control,fuel_flow,gt_compressor_decay_state_coefficient
8.206,24,50993.349,3087.419,9320.629,438.106,438.106,943.509,740.634,3.582,18.555,1.041,61.891,1.219,less than 0.962
6.175,18,29760.531,2306.799,8798.194,245.927,245.927,774.549,666.795,2.512,13.251,1.031,33.915,0.674,between 0.975 and 0.988
5.14,15,21635.609,1924.342,8491.795,175.259,175.259,705.993,638.429,2.079,11.061,1.026,24.898,0.495,between 0.962 and 0.975
7.148,21,38979.399,2678.103,9143.684,332.187,332.187,837.599,698.342,2.955,15.448,1.035,44.722,0.883,less than 0.962
1.138,3,3727.319,1373.161,6611.442,8.895,8.895,550.921,558.734,1.231,6.698,1.019,7.964,0.194,between 0.975 and 0.988
9.3,27,72774.202,3560.404,9739.511,644.797,644.797,1060.634,771.395,4.52,22.511,1.051,86.939,1.729,greater than 0.988
4.161,12,14723.399,1547.432,7770.191,113.787,113.787,639.911,606.941,1.66,8.932,1.023,17.218,0.341,between 0.962 and 0.975
8.206,24,50996.235,3087.555,9314.551,438.149,438.149,935.396,735.354,3.58,18.59,1.041,61.928,1.224,between 0.962 and 0.975
3.144,9,8374.359,1386.789,7067.195,60.333,60.333,581.555,579.412,1.392,7.503,1.02,12.106,0.239,greater than 0.988
2.088,6,5653.406,1393.851,6820.999,31.436,31.436,565.348,568.19,1.301,6.975,1.02,0.0,0.209,less than 0.962
9.3,27,72773.207,3560.388,9783.191,644.819,644.819,1086.854,786.542,4.492,22.542,1.049,90.697,1.799,between 0.975 and 0.988
6.175,18,29762.699,2306.797,8799.475,245.94,245.94,774.203,666.672,2.509,13.239,1.031,34.011,0.676,less than 0.962
5.14,15,21632.791,1924.355,8485.305,175.264,175.264,700.605,637.444,2.082,11.029,1.026,24.852,0.494,between 0.975 and 0.988
7.148,21,38976.429,2678.111,9136.799,332.145,332.145,839.375,697.201,2.953,15.429,1.035,44.59,0.881,greater than 0.988
8.206,24,50998.668,3087.588,9328.661,438.085,438.085,933.795,739.855,3.569,18.499,1.041,61.439,1.208,less than 0.962
1.138,3,4796.171,1347.211,6632.409,7.355,7.355,587.739,563.183,1.258,6.823,1.019,19.943,0.247,greater than 0.988
4.161,12,14720.142,1547.493,7768.384,113.765,113.765,638.962,606.533,1.659,8.925,1.023,17.204,0.339,between 0.962 and 0.975
9.3,27,72764.945,3560.395,9736.191,644.79,644.79,1061.461,771.177,4.525,22.52,1.051,87.142,1.732,less than 0.962
5.14,15,21634.982,1924.352,8493.551,175.269,175.269,703.654,638.225,2.079,11.046,1.026,24.914,0.496,between 0.975 and 0.988
3.144,9,8378.278,1386.768,7064.331,60.338,60.338,581.621,579.573,1.391,7.512,1.02,12.244,0.241,greater than 0.988
6.175,18,29761.289,2306.829,8807.399,245.971,245.971,773.451,666.96,2.511,13.255,1.031,34.058,0.678,between 0.962 and 0.975
2.088,6,3635.974,1347.249,6856.795,22.857,22.857,532.757,564.151,1.222,6.548,1.019,20.361,0.178,less than 0.962
9.3,27,72772.535,3560.429,9782.461,644.799,644.799,1093.499,786.961,4.503,22.583,1.049,91.308,1.806,greater than 0.988
7.148,21,38978.187,2678.088,9142.491,332.157,332.157,836.854,698.023,2.954,15.436,1.035,44.743,0.884,less than 0.962
8.206,24,50994.176,3087.576,9307.379,438.035,438.035,935.294,735.695,3.586,18.618,1.041,61.911,1.223,between 0.962 and 0.975
1.138,3,5859.357,1321.184,6695.444,6.048,6.048,636.813,573.732,1.28,6.949,1.019,30.479,0.305,greater than 0.988
4.161,12,14722.508,1547.455,7764.819,113.785,113.785,640.179,606.815,1.661,8.93,1.023,17.283,0.342,between 0.975 and 0.988
9.3,27,72770.659,3560.409,9734.459,644.785,644.785,1048.587,770.845,4.524,22.521,1.051,87.375,1.74,greater than 0.988
5.14,15,21636.542,1924.329,8496.199,175.258,175.258,704.446,637.905,2.081,11.058,1.026,24.965,0.498,between 0.962 and 0.975
3.144,9,8377.221,1386.773,7065.601,60.329,60.329,582.111,579.529,1.392,7.51,1.02,12.163,0.24,greater than 0.988
6.175,18,29762.986,2306.785,8798.961,245.925,245.925,774.823,666.811,2.51,13.246,1.031,33.984,0.675,between 0.975 and 0.988
2.088,6,5651.294,1393.755,6821.584,31.403,31.403,565.241,568.134,1.3,6.973,1.02,0.0,0.208,between 0.962 and 0.975
