lever_position,ship_speed,gas_turbine_shaft_torque,gas_turbine_rate_of_revolutions,gas_generator_rate_of_revolutions,starboard_propeller_torque,port_propeller_torque,hp_turbine_exit_temperature,gt_compressor_outlet_air_temperature,hp_turbine_exit_pressure,gt_compressor_outlet_air_pressure,gas_turbine_exhaust_gas_pressure,turbine_injecton_control,fuel_flow,gt_compressor_decay_state_coefficient
2.29,6.01,1821.19,1395.67,6819.32,24.19,24.19,512.92,559.15,1.201,6.51,1.0202,11.35,0.151,less than 0.962
9.21,26.59,72513.45,3551.19,9774.21,641.92,641.92,1098.19,784.92,4.501,22.69,1.0489,90.92,1.79,less than 0.962
4.92,13.49,18984.21,2087.95,8602.11,201.39,201.39,743.95,669.21,2.35,12.42,1.0319,30.19,0.621,greater than 0.988
8.01,23.19,46631.98,2945.67,9182.79,380.92,380.92,845.67,716.42,3.29,17.31,1.0408,52.35,1.051,less than 0.962
2.67,7.41,4211.95,1439.85,6944.79,36.51,36.51,548.21,568.35,1.29,7.19,1.0221,15.67,0.201,less than 0.962
9.17,26.85,72619.85,3559.85,9785.39,643.39,643.39,1102.85,786.51,4.49,22.69,1.0485,91.29,1.81,less than 0.962
7.42,21.01,38129.85,2663.95,9067.39,307.85,307.85,808.51,694.29,2.89,15.21,1.0359,41.25,0.761,less than 0.962
3.94,11.29,12348.95,1568.39,7832.19,101.99,101.99,629.91,608.95,1.59,9.01,1.0245,19.35,0.341,less than 0.962
5.85,16.85,24310.29,2251.95,8815.99,244.95,244.95,757.85,677.19,2.61,13.79,1.0335,36.59,0.681,less than 0.962
1.51,4.21,1708.49,1395.67,6802.11,14.29,14.29,492.19,555.85,1.19,6.59,1.0199,10.95,0.141,less than 0.962
6.39,18.51,31349.85,2519.29,9112.99,283.19,283.19,796.39,687.91,2.83,14.59,1.0385,39.75,0.731,less than 0.962
3.21,9.29,9648.95,1471.19,7161.99,63.95,63.95,587.99,580.95,1.41,7.69,1.0219,16.95,0.261,less than 0.962
8.75,25.01,54082.11,3283.95,9431.99,450.19,450.19,903.19,725.51,3.69,18.79,1.0439,58.19,1.141,less than 0.962
1.99,5.69,2068.99,1383.95,6771.99,17.95,17.95,493.95,553.99,1.15,6.29,1.0195,9.41,0.121,less than 0.962
5.33,15.29,22043.95,2063.95,8532.79,227.99,227.99,735.19,666.91,2.43,12.99,1.0325,32.99,0.591,less than 0.962
2.56,7.29,3748.99,1429.29,6925.99,34.95,34.95,542.99,564.99,1.25,7.01,1.0211,13.41,0.181,less than 0.962
