class,largest_spot_size,spot_distribution,activity,evolution,previous_activity,complex,complex_path,area,area_largest,c_class_flares
F,A,I,2.0016153,1.9954723,0.9953205,1.9991952,2.0027587,1,1,greater than 0.0
H,S,X,1.0002426,2.0024228,1.0044867,2.0013618,1.999169,1,1,greater than 0.0
H,S,X,1.0012169,1.9954703,1.0019085,0.9993546,2.0003197,1,1,greater than 0.0
H,R,X,0.9997771,1.0071914,1.0014987,1.999023,2.0016263,1,1,greater than 0.0
E,S,O,0.9996391,0.995793,1.0035408,0.99926215,2.000156,1,1,greater than 0.0
H,H,X,1.0006331,2.001141,0.99940217,1.9972974,1.9994253,1,1,greater than 0.0
H,R,X,1.9549168,1.9988931,0.9993398,0.9993172,0.99142414,1,1,greater than 0.0
H,S,X,1.0001214,1.9962828,1.0003389,0.99894446,2.0005581,1,1,greater than 0.0
B,H,O,1.9925992,2.00169,0.99996287,1.0004846,2.0002933,1,1,greater than 0.0
H,S,X,0.9991258,1.9969969,1.0010663,0.9999387,2.0025856,1,1,greater than 0.0
F,A,I,0.9989765,2.0020952,1.0012181,0.99727446,1.999712,1,1,greater than 0.0
H,S,X,1.0002489,1.9949267,1.0006968,0.9996379,1.9995854,1,1,greater than 0.0
F,A,I,2.0040615,2.0027232,1.000231,1.9977721,2.002689,1,1,greater than 0.0
H,H,X,1.0001729,2.99452,1.0017475,0.9991106,2.001436,1,1,greater than 0.0
D,R,O,2.000534,2.0003536,1.0029664,2.0021079,2.001051,1,1,greater than 0.0
H,S,X,1.0015974,2.00211,1.0003341,0.99778116,1.0031966,1,1,greater than 0.0
