class,largest_spot_size,spot_distribution,activity,evolution,previous_activity,complex,complex_path,area,area_largest,c_class_flares
D,S,O,0.9999298,2.997364,1.0002651,0.99994826,2.0005565,1.0001111,1,greater than 0.0
H,S,X,1.000574,2.005428,1.0001028,1.0018452,2.000314,0.9999218,1,greater than 0.0
H,S,X,1.0005499,3.0005324,0.9999313,0.9984414,1.5242332,1.0008374,1,greater than 0.0
F,K,I,2.0125237,1.9925534,0.9826901,2.007684,2.0000892,0.999846,1,greater than 0.0
D,A,O,1.0003144,3.0027063,1.000187,2.0010207,2.001652,1.0002049,1,greater than 0.0
F,R,I,1.0205251,2.9984457,1.0005138,2.0080345,2.0000248,1.0002699,1,greater than 0.0
D,S,I,1.00057,2.0058525,1.0001466,0.9983985,2.001893,0.9998249,1,greater than 0.0
H,R,X,1.000403,2.9994047,1.0003657,0.9993264,1.1906631,1.0000432,1,greater than 0.0
H,S,X,1.0002451,2.9971833,1.0004551,0.9997295,2.0004148,1.0002425,1,greater than 0.0
E,S,O,1.002449,1.0074064,1.0008265,2.0017524,2.0009284,0.9996508,1,greater than 0.0
F,S,I,0.99879915,1.9935919,0.9996253,1.0005229,2.0008993,0.99964607,1,greater than 0.0
H,S,X,1.5042962,2.9982657,1.0002025,2.0076997,0.9995684,1.000013,1,greater than 0.0
E,S,O,1.0022024,3.0074472,1.0040462,1.0004926,2.000035,0.9997313,1,greater than 0.0
D,S,O,0.9996338,3.0026073,1.0000311,2.0006006,2.0011156,0.9995796,1,greater than 0.0
H,S,X,1.0002378,2.9994738,0.92535037,2.0016654,1.9995078,1.0002612,1,greater than 0.0
E,S,O,1.000787,3.0001202,0.99944234,1.0018705,2.0016234,0.9994134,1,greater than 0.0
D,S,O,1.0003582,2.9965215,1.0000129,2.0033216,1.9989189,1.0008785,1,greater than 0.0
D,S,I,0.9995873,1.9949604,1.0013144,2.0007784,1.9992043,0.99989873,1,greater than 0.0
F,K,C,1.9893469,3.000421,1.0010544,1.9992796,2.0005298,1.9305958,1,greater than 0.0
E,R,I,1.0005777,2.003967,0.98170996,1.0004445,2.0004492,1.000293,1,greater than 0.0
H,R,X,1.0028384,3.0005398,0.99987423,2.0026023,2.003246,1.0001838,1,greater than 0.0
H,A,X,1.0001245,3.0029526,1.0016122,0.99674654,2.0024602,1.0001881,1,greater than 0.0
D,S,I,1.0038141,3.000417,1.0002627,1.000105,2.0007463,1.0002099,1,greater than 0.0
C,R,I,1.0019599,3.0106163,1.0005238,2.00181,2.0031793,0.99970317,1,greater than 0.0
D,S,I,1.0027304,2.9994795,1.0006139,0.99807364,2.000992,0.9998298,1,greater than 0.0
E,S,O,0.99727255,3.0004516,1.0028306,1.0026044,2.0006163,0.999363,1,greater than 0.0
H,S,X,0.99998355,1.9976388,1.0004154,2.0018659,2.0000348,1.0001607,1,greater than 0.0
H,R,O,1.9945879,3.0016844,-0.6714485,0.9979182,2.0007284,0.99981344,1,greater than 0.0
E,S,C,1.0002744,3.00193,1.000688,1.0004382,2.0011485,0.99663174,1,greater than 0.0
H,S,C,2.0103245,2.0015738,0.99980706,1.000055,2.0001922,0.7428238,1,greater than 0.0
E,S,O,1.0004618,3.0003169,0.90657127,1.9992311,2.0006266,1.0000046,1,greater than 0.0
H,S,X,1.0026851,2.0032415,1.0015191,2.003793,2.0001776,1.000192,1,greater than 0.0
E,S,I,1.00117,3.0014043,1.0000647,0.99946004,2.0031419,1.000028,1,greater than 0.0
D,S,O,0.9996722,2.9993546,1.0004443,1.003169,1.9991467,1.0000182,1,greater than 0.0
H,S,X,1.0005848,3.001894,0.999354,1.000928,2.002962,1.0002713,1,greater than 0.0
D,S,O,1.0005866,2.9995084,1.0003548,2.0011024,1.9990481,0.99995446,1,greater than 0.0
D,S,O,0.99970686,1.9972001,1.0001028,1.0018029,2.0006723,0.9999498,1,greater than 0.0
H,S,X,1.0004576,1.999211,-1.1897924,1.003002,2.000498,0.9998311,1,greater than 0.0
