class,largest_spot_size,spot_distribution,activity,evolution,previous_activity,complex,complex_path,area,area_largest,c_class_flares
H,A,X,1.0010823,1.9980812,0.99999523,1.000628,0.99197364,1.0003161,1,greater than 0.0
H,A,X,1.0000298,2.007463,0.99492335,0.9992816,2.0011203,1.000096,1,greater than 0.0
C,S,O,1.0012532,3.0068884,0.97098714,1.000838,2.001709,1.0001183,1,greater than 0.0
H,A,X,0.99993694,1.9994681,1.0001434,0.99913347,2.001299,0.99995345,1,greater than 0.0
D,A,O,1.0011709,2.9966984,0.99813116,0.99886864,1.9998008,1.0000863,1,greater than 0.0
B,X,O,1.0011646,1.0862832,1.0004815,0.9987885,1.9997491,1.0003039,1,greater than 0.0
C,R,O,1.0011039,3.001653,1.0002306,0.9992924,2.0009122,1.0008384,1,greater than 0.0
H,A,X,1.001932,1.9973193,0.9965622,1.0000482,0.53855497,1.0003123,1,greater than 0.0
H,A,I,0.9999785,3.0015786,0.9974004,2.002506,2.0003521,1.8905904,1,greater than 0.0
D,A,I,1.0008519,2.0051491,0.99854183,2.0014455,2.001079,1.0013309,1,greater than 0.0
E,S,C,1.0008929,1.9977754,1.000197,1.9850391,2.0005903,1.0015147,1,greater than 0.0
H,A,X,0.9992881,3.002273,1.0002546,1.0011193,1.0358918,2.1797957,1,greater than 0.0
H,R,X,0.9989226,3.0071461,0.9986083,1.0013545,2.0030484,0.99984413,1,greater than 0.0
D,R,I,1.0003036,3.0016973,1.0003334,1.9951218,2.0002632,1.000299,1,greater than 0.0
D,S,O,1.0041802,3.00196,1.103761,0.99852055,1.9984897,1.0002674,1,greater than 0.0
E,A,C,1.0002134,2.0020962,2.1406004,2.000125,2.0003405,1.0000343,1,greater than 0.0
H,R,X,1.0004865,2.000688,0.99755174,1.0004251,1.9996588,0.999902,1,greater than 0.0
H,R,X,0.99781454,3.002516,1.0009546,0.99946535,1.9999173,0.9997933,1,greater than 0.0
D,R,C,1.0004654,3.001553,1.0004847,0.999262,2.0002894,1.0006689,1,greater than 0.0
H,S,X,1.0007787,1.9982771,1.0752813,1.0016508,1.9992981,0.9998283,1,greater than 0.0
D,A,O,0.99975526,2.0097132,1.0005254,2.009864,1.9993062,0.99991345,1,greater than 0.0
E,A,X,1.0003685,2.9996533,0.9959543,1.0011675,2.0010693,1.000292,1,greater than 0.0
H,A,X,0.9993433,1.9984562,0.99878496,2.000529,2.000139,1.0001359,1,greater than 0.0
B,X,O,1.0009583,2.9966817,0.9978686,0.9985745,2.0003805,0.9999377,1,greater than 0.0
B,X,O,0.99985886,2.003063,1.0009181,0.99714726,1.9998935,0.99981636,1,greater than 0.0
