class,largest_spot_size,spot_distribution,activity,evolution,previous_activity,complex,complex_path,area,area_largest,c_class_flares
B,S,O,1.0014006,3.0030453,0.9996671,1.001564,2.0016258,0.99988145,1,greater than 0.0
C,R,O,0.99907345,2.0022826,1.0002311,1.0007545,2.0009434,0.99965084,1,greater than 0.0
H,K,X,0.9994958,2.0035193,0.9992899,0.9993409,2.0001261,1.0009819,1,greater than 0.0
H,H,X,1.0002735,3.0009224,1.0003659,1.0001756,1.0023706,0.99967,1,greater than 0.0
H,S,X,1.0014237,3.0083606,0.9999197,1.0011679,1.005195,0.99987704,1,greater than 0.0
F,K,C,2.0072796,2.9998703,1.0007308,1.0022268,2.0031667,2.0032272,1,greater than 0.0
B,X,O,0.99794954,3.004849,1.0000448,1.0006644,2.003794,0.9997983,1,greater than 0.0
F,H,O,0.99957585,3.0008736,1.0003979,1.0002531,1.9999443,1.0001826,1,greater than 0.0
E,H,I,2.0030246,2.998816,0.9996261,1.000397,2.0023458,1.0018728,1,greater than 0.0
C,R,O,0.9996412,2.9966688,1.0007396,2.0079114,2.0008223,0.9965554,1,greater than 0.0
H,S,X,1.0023425,2.997328,0.99968696,2.002251,2.0017402,1.0004197,1,greater than 0.0
H,S,X,1.000114,3.0051239,1.0000259,1.9980102,0.9994383,0.999948,1,greater than 0.0
B,X,O,0.9991196,3.0010047,1.0010885,1.9979211,1.9995605,1.0001037,1,greater than 0.0
C,R,O,1.0014689,3.000746,1.0005388,2.004209,2.0010748,1.000362,1,greater than 0.0
F,A,I,1.9218727,3.0060575,1.0003273,1.0000892,2.0030444,1.0000231,1,greater than 0.0
D,A,O,1.0004386,1.9963553,0.9996284,2.0043566,2.0020638,1.0002491,1,greater than 0.0
B,X,I,1.0013814,2.997475,0.9997391,1.0010448,1.9990857,1.0025637,1,greater than 0.0
D,K,O,0.9997327,3.0016904,1.0011525,0.99978966,2.001232,1.0006722,1,greater than 0.0
C,S,O,0.99903566,3.0077612,1.0001042,0.99924076,2.0014358,1.0011958,1,greater than 0.0
H,K,X,0.99991655,1.9965328,0.9997798,0.9999001,2.0002453,1.0000805,1,greater than 0.0
H,S,X,1.0032074,3.0058315,1.0004148,0.998837,0.9955978,1.0001775,1,greater than 0.0
C,R,O,0.9998269,3.0030644,1.0014743,2.0023313,2.0011663,1.0007093,1,greater than 0.0
H,A,X,0.99921054,2.9974582,0.99997616,1.9978153,1.0340503,1.000384,1,greater than 0.0
F,H,I,2.030857,3.0040317,1.0018512,2.004952,2.0009432,0.9997259,1,greater than 0.0
B,X,O,1.0000144,2.0029728,1.0001326,1.0003171,2.0018377,0.99993485,1,greater than 0.0
F,K,I,1.9556143,3.0031996,1.0004926,2.0036683,2.0026574,1.0002309,1,greater than 0.0
E,A,O,0.99623245,3.0003932,1.0002795,0.9995266,2.0010452,1.0000184,1,greater than 0.0
E,S,O,0.9991818,2.0029418,1.0012817,2.0028644,2.0009634,1.0000573,1,greater than 0.0
H,S,X,1.0046481,2.9991353,1.0001723,1.9988521,2.0006533,1.000284,1,greater than 0.0
F,A,I,1.9984939,3.0027294,1.0024087,0.9992274,2.0022488,1.0003961,1,greater than 0.0
B,H,I,0.9996698,2.9975781,1.0017095,1.0022148,2.0022357,1.0000999,1,greater than 0.0
C,S,O,1.0009583,2.9987457,1.000797,0.998439,1.9992231,0.99981886,1,greater than 0.0
