class,largest_spot_size,spot_distribution,activity,evolution,previous_activity,complex,complex_path,area,area_largest,c_class_flares
C,S,O,0.99954146,2.0157242,1,0.99917656,1.9988787,1,1,greater than 0.0
H,S,X,1.0013944,2.0044067,1,0.9997641,1.0013379,1,1,greater than 0.0
C,S,I,1.001074,1.9948994,1,0.99979013,1.9989388,1,1,greater than 0.0
H,S,X,1.0016978,3.0026367,1,1.0012665,2.000944,1,1,greater than 0.0
B,X,O,0.9990565,3.0017452,1,0.9993786,2.0020702,1,1,greater than 0.0
H,S,X,0.99928516,2.0002773,1,1.0007455,0.9993193,1,1,greater than 0.0
C,A,I,0.99912685,2.9972851,1,2.0329564,2.0021136,1,1,greater than 0.0
B,X,O,0.9990176,3.0001044,1,0.99959344,1.9995843,1,1,greater than 0.0
H,A,X,0.9994626,2.9969077,1,1.0001879,2.0018685,1,1,greater than 0.0
E,A,C,1.9888284,1.0257874,1,1.004068,2.00262,1,1,greater than 0.0
B,X,O,1.0011691,1.9930757,1,1.0007037,2.0026577,1,1,greater than 0.0
H,S,X,1.0003972,2.999159,1,0.9990115,0.9780622,1,1,greater than 0.0
H,A,X,0.99932843,1.9973379,1,1.0024309,0.9648065,1,1,greater than 0.0
H,S,X,0.99994147,2.0049167,1,2.0332205,1.999183,1,1,greater than 0.0
C,R,I,1.0016176,3.0022247,1,0.99978834,2.0027723,1,1,greater than 0.0
H,S,X,1.8940403,1.9970601,1,0.99903643,1.9999541,1,1,greater than 0.0
