class,largest_spot_size,spot_distribution,activity,evolution,previous_activity,complex,complex_path,area,area_largest,c_class_flares
F,S,I,1.00213,1.9956852,0.99975985,2.0015023,2.0006719,1,1,greater than 0.0
B,X,O,1.000483,2.9991567,1.0022407,2.0010226,1.868194,1,1,greater than 0.0
B,X,O,0.99921185,3.0055783,1.0000496,0.9987815,2.0000758,1,1,greater than 0.0
E,H,C,1.0000085,2.9963095,0.9999653,1.9988322,2.0003936,1,1,greater than 0.0
F,A,I,1.000205,1.9973279,1.0001734,2.0017273,2.0001974,1,1,greater than 0.0
C,R,O,1.0002271,1.995349,1.0008957,1.0004627,1.9993827,1,1,greater than 0.0
D,S,O,0.9993065,3.0072534,0.99970573,1.0004323,2.0018544,1,1,greater than 0.0
H,S,X,1.0001574,1.9956771,1.0002983,0.99928004,1.9991934,1,1,greater than 0.0
B,X,O,0.99979115,2.003187,1.0004228,0.9988747,2.0023448,1,1,greater than 0.0
E,A,I,0.9997728,3.0020611,-0.53390574,2.0011802,1.9993359,1,1,greater than 0.0
H,K,I,2.030324,3.0040283,1.0013213,2.0038326,1.9995834,1,1,greater than 0.0
E,S,I,0.9990921,2.0019932,1.0002837,1.0005919,1.2514771,1,1,greater than 0.0
E,A,I,0.999078,3.0061004,1.0005641,2.005193,2.0013769,1,1,greater than 0.0
E,K,I,0.9993937,1.9915832,1.0041031,2.0000236,2.0018218,1,1,greater than 0.0
D,R,I,0.99963444,1.9991891,1.0021424,1.001908,2.000163,1,1,greater than 0.0
F,A,I,1.0002406,1.9936739,0.99848646,1.0006272,2.0002174,1,1,greater than 0.0
E,S,I,2.0028765,2.9977279,1.0001673,0.99897856,1.9999611,1,1,greater than 0.0
H,R,X,1.0012445,1.9946377,1.0005199,2.0025468,1.9996681,1,1,greater than 0.0
E,S,I,0.99972034,2.0045729,-0.23163001,2.0033665,2.0005534,1,1,greater than 0.0
H,S,X,1.0001534,1.9999405,1.0022585,2.002022,1.9994739,1,1,greater than 0.0
E,S,O,1.0019925,1.9949868,1.0003108,1.9985741,2.0000997,1,1,greater than 0.0
B,X,O,1.00008,1.9972734,0.99966705,0.999682,2.0038006,1,1,greater than 0.0
F,A,I,0.9997817,1.996834,0.99966407,1.9963568,2.0017457,1,1,greater than 0.0
E,A,I,0.9991624,2.9996636,0.99976027,1.9991043,2.0010028,1,1,greater than 0.0
H,S,X,1.0014769,1.9954079,1.0015079,1.9935873,2.0015848,1,1,greater than 0.0
C,R,O,1.0014529,1.9961637,1.0005176,1.9941597,2.0003114,1,1,greater than 0.0
B,X,O,0.9989166,2.9979162,1.0000464,1.0003611,2.0029778,1,1,greater than 0.0
F,A,I,0.998949,1.9972786,0.9997885,1.9991345,2.0019553,1,1,greater than 0.0
C,R,O,1.0007263,3.0005593,0.9991081,2.001119,1.9999813,1,1,greater than 0.0
F,S,I,1.0012646,1.0016327,0.99949056,2.0030138,2.0000286,1,1,greater than 0.0
F,H,I,1.002637,2.9994533,1.0001527,2.0025134,1.9999372,1,1,greater than 0.0
C,S,O,1.987999,2.9969838,0.99965346,1.9993159,1.9995112,1,1,greater than 0.0
