class,largest_spot_size,spot_distribution,activity,evolution,previous_activity,complex,complex_path,area,area_largest,c_class_flares
H,S,X,0.99808615,3.0011775,0.9980366,1.9994289,2.0006247,1.000136,1,greater than 0.0
C,S,O,0.9999839,3.0064452,0.99898493,0.9998726,1.9992087,1.0000601,1,greater than 0.0
H,S,X,0.9991404,3.002356,1.0003232,0.997819,2.00229,0.999786,1,greater than 0.0
D,S,I,1.9991462,2.9998124,1.0032009,1.998356,2.0002153,0.9996988,1,greater than 0.0
H,R,C,1.9972782,3.002763,0.9992274,2.003952,1.9994214,0.9997949,1,greater than 0.0
H,S,X,0.99986553,1.9965606,0.99925655,1.0009929,2.000386,0.9997876,1,greater than 0.0
D,S,I,2.0153742,3.0110502,1.0001304,2.0016658,2.0001986,1.0000457,1,greater than 0.0
H,S,X,2.0127604,2.0040412,0.9995008,0.9992398,2.000133,0.9992321,1,greater than 0.0
C,S,O,0.9999877,0.9879579,1.0004548,0.99879783,1.9991573,0.99974465,1,greater than 0.0
B,X,O,0.9996272,3.0106196,0.99955153,0.9995468,2.001273,1.0000342,1,greater than 0.0
C,R,O,0.9997938,3.0055091,0.9969231,0.9971934,2.000489,0.9997485,1,greater than 0.0
E,K,O,1.0001029,0.99349684,1.001429,2.0046625,2.0019429,1.7750319,1,greater than 0.0
C,S,O,1.0001597,2.0008636,1.0002644,0.9989188,2.0003555,1.0010922,1,greater than 0.0
H,S,X,1.0000697,3.0007074,1.0004574,2.0039518,2.0008202,0.9999037,1,greater than 0.0
B,S,O,0.9991455,3.0023892,0.9997331,0.99979585,2.0007334,0.9998417,1,greater than 0.0
B,X,O,0.9995535,3.00078,1.0004162,0.99964476,2.001473,0.99998456,1,greater than 0.0
H,S,X,0.99901885,1.9919487,0.998582,0.99995846,1.9982883,0.999968,1,greater than 0.0
D,S,I,2.013765,2.9985201,1.0047088,2.0002637,2.000377,0.9999116,1,greater than 0.0
D,S,O,2.01283,3.0003438,1.0000174,1.9995748,2.0010002,1.9303014,1,greater than 0.0
C,S,O,1.002375,2.998845,0.9992191,2.0134714,1.9991926,1.0005071,1,greater than 0.0
D,A,O,0.99921936,2.998313,0.9993623,1.000075,2.0005667,0.9998275,1,greater than 0.0
E,S,I,1.0000497,2.9999008,0.9980135,1.9992372,2.0000067,0.9991542,1,greater than 0.0
D,K,I,1.5557544,2.9988923,0.9978844,2.0009866,2.0010097,0.5050989,1,greater than 0.0
D,R,I,2.005583,3.001149,0.9985268,2.003429,2.0003564,0.9991534,1,greater than 0.0
C,S,O,0.9991363,3.000066,0.9996208,1.0006866,2.0000305,1.0000769,1,greater than 0.0
D,A,O,0.99943465,3.0014694,1.0047277,1.0025582,2.0000272,1.0000902,1,greater than 0.0
H,S,X,0.99993646,1.9997602,0.99987,0.997184,1.9996921,1.0003524,1,greater than 0.0
H,S,X,0.9997495,3.0023959,1.0018771,0.999788,2.0005212,1.0010933,1,greater than 0.0
E,A,O,2.0163045,2.998852,1.0048791,1.9949894,2.000588,0.99978185,1,greater than 0.0
D,A,O,0.99786854,2.9974847,1.0052253,0.9975412,2.0002012,0.9991175,1,greater than 0.0
C,S,O,0.99963087,3.0023043,0.9992557,0.99896514,1.9997883,0.9998963,1,greater than 0.0
H,S,X,1.002972,2.0030522,0.99827725,1.9983611,2.0005577,1.0006288,1,greater than 0.0
E,K,C,1.7827662,3.00101,0.99995315,2.0086088,2.002933,0.9994889,1,greater than 0.0
D,S,O,0.9992286,2.9995606,1.0003967,2.0036187,2.0006313,0.99989367,1,greater than 0.0
H,S,X,1.000002,2.9998734,0.99891955,0.99914,2.0010152,0.99972755,1,greater than 0.0
C,S,O,0.9996035,3.0032847,1.0008447,1.000936,2.0011506,0.99998945,1,greater than 0.0
D,S,O,0.99927306,3.006216,0.99858755,0.999328,2.0004597,1.0000988,1,greater than 0.0
H,S,X,1.6376519,3.0039594,0.9999359,2.0040267,1.5781394,1.0001526,1,greater than 0.0
D,S,O,1.001226,3.0008886,0.9982479,2.004119,2.0008698,0.99973625,1,greater than 0.0
D,S,O,2.0134737,3.0014653,1.0003006,0.9996449,2.0003905,0.99924636,1,greater than 0.0
D,S,I,1.0006552,2.9990685,0.9990691,1.001397,2.0012205,1.0004613,1,greater than 0.0
C,S,O,0.9995826,3.004169,0.9993939,0.99715614,2.0003135,0.99994564,1,greater than 0.0
C,S,O,1.0001017,3.000381,0.9996774,0.9993255,2.0030472,0.99935985,1,greater than 0.0
D,S,O,0.99967587,2.9986532,1.0001472,0.99894387,2.0003157,0.99989015,1,greater than 0.0
D,S,O,1.9951283,2.997678,0.99914277,0.99765813,1.9959611,0.99915135,1,greater than 0.0
H,S,X,0.9991135,3.002474,0.99890375,1.0000559,1.0017878,0.9992507,1,greater than 0.0
