class,largest_spot_size,spot_distribution,activity,evolution,previous_activity,complex,complex_path,area,area_largest,c_class_flares
H,S,X,0.99989516,1.9997681,0.9999816,0.99950427,1.224348,1.0004874,1,greater than 0.0
E,S,O,0.99947035,3.0008276,1.0027106,0.9974953,1.9999185,1.0011992,1,greater than 0.0
H,S,C,2.0306263,1.9941363,0.9245769,1.9971304,1.9999884,1.0007442,1,greater than 0.0
C,S,O,1.000031,1.0048959,1.0008644,1.9981238,2.0004663,1.0000055,1,greater than 0.0
H,S,X,0.9983129,2.0010653,1.0001686,0.99989766,2.0000944,0.99991363,1,greater than 0.0
H,R,X,0.9991511,2.9947824,0.99973917,2.0016708,2.0000062,1.0011305,1,greater than 0.0
H,R,X,1.0002261,1.9985465,1.0005761,0.99919313,2.0012164,1.000815,1,greater than 0.0
H,R,X,0.9998802,1.9955508,0.99893135,0.9965055,1.0039012,0.99989337,1,greater than 0.0
H,R,X,1.0012583,2.0044057,1.0037515,1.0012832,2.0005553,0.99996513,1,greater than 0.0
E,K,C,0.99913734,2.998178,0.9999765,1.0010718,2.0001128,0.9982415,1,greater than 0.0
H,A,X,1.0015764,2.0030928,1.0008328,0.99825853,2.0000865,1.0002364,1,greater than 0.0
H,R,X,0.9997191,1.998768,1.0006124,1.9995077,1.0047177,1.0005977,1,greater than 0.0
H,S,X,0.9998852,2.0008337,1.0002536,1.0017014,2.0009675,0.99991536,1,greater than 0.0
B,X,O,1.0001816,3.0015924,1.0002654,1.0003357,2.0010636,1.0000688,1,greater than 0.0
H,S,I,2.0783803,1.9937057,1.0017592,1.9992131,2.0009236,0.9994725,1,greater than 0.0
H,R,X,0.99812996,2.0003636,1.0004736,0.99926335,2.0006583,1.0000571,1,greater than 0.0
H,R,X,0.9994395,3.0059302,0.9979057,0.9997423,2.000129,0.99988705,1,greater than 0.0
H,S,X,0.99912983,2.005109,1.0005136,1.9990294,2.000679,1.000748,1,greater than 0.0
H,S,X,1.0000889,1.9994024,0.99828357,1.0031364,1.0909995,1.0002866,1,greater than 0.0
H,S,X,1.000038,3.0012074,1.0004307,1.0008054,2.0000944,0.99966973,1,greater than 0.0
H,R,X,0.99959934,1.9932033,1.000345,2.000609,2.0036826,1.0003667,1,greater than 0.0
H,S,X,0.9991632,1.999286,0.9992552,1.0032176,1.9997153,1.0002037,1,greater than 0.0
H,R,X,0.99917704,3.0004666,1.0001651,0.99617445,1.9991181,1.000117,1,greater than 0.0
H,R,X,0.9993416,2.0032582,1.0002354,0.9999719,2.0003037,1.0002723,1,greater than 0.0
E,S,O,1.0000634,1.9899774,1.0042251,1.9977434,2.001307,1.0002247,1,greater than 0.0
H,K,X,0.9994304,2.0000477,1.000738,1.9995285,2.000133,1.0009552,1,greater than 0.0
D,R,I,1.0001098,1.9958314,0.99996895,2.0023599,2.0002627,1.0001042,1,greater than 0.0
B,X,O,0.9997791,1.9946065,0.99879634,1.9975678,2.0005999,0.9997598,1,greater than 0.0
H,A,X,0.99998134,2.0001636,1.000063,1.997703,2.00001,0.99953973,1,greater than 0.0
C,R,I,0.99983454,2.998875,0.9989591,2.0033727,1.9998246,0.9998767,1,greater than 0.0
B,X,O,0.99905074,1.9993404,1.0003182,1.0003473,2.001235,0.99992454,1,greater than 0.0
H,S,X,1.0011106,2.0025089,1.0006783,1.999499,1.999058,0.99979717,1,greater than 0.0
D,S,O,1.0003704,2.0032036,1.0005568,0.9995249,1.9998406,0.99990296,1,greater than 0.0
H,R,X,0.9989009,2.0023165,1.0003555,1.999818,0.9957962,0.9997909,1,greater than 0.0
D,K,I,1.9984909,3.0020847,1.0002509,2.0018048,2.0009546,1.000598,1,greater than 0.0
H,S,X,0.9994967,1.9988927,1.0001993,1.9964958,2.0022197,1.0000465,1,greater than 0.0
F,S,O,1.001349,2.0031822,1.0000587,0.9988386,2.0000076,1.0002044,1,greater than 0.0
H,S,X,1.0001224,2.0034184,0.99822605,2.0023534,2.0006888,1.0001856,1,greater than 0.0
