class,largest_spot_size,spot_distribution,activity,evolution,previous_activity,complex,complex_path,area,area_largest,c_class_flares
D,R,I,1.0006318,3.004822,0.99953705,2.002189,1.998953,1.000318,1,greater than 0.0
D,S,O,0.9992705,3.0070608,1.0003482,1.9999824,1.999518,0.99739975,1,greater than 0.0
B,X,O,1.0000091,2.0018961,1.0002764,2.0037625,2.0011559,0.9998413,1,greater than 0.0
H,S,I,1.0000113,3.0004241,1.0015012,1.0002977,2.0001917,0.9928737,1,greater than 0.0
H,S,X,1.935346,2.0009766,1.0003693,1.9998298,1.9995617,1.0002751,1,greater than 0.0
H,R,X,1.0008669,1.998031,1.0002704,0.9994391,2.003175,1.0006807,1,greater than 0.0
B,X,O,1.000682,3.003974,0.99942523,0.9992211,1.999992,0.9929016,1,greater than 0.0
D,R,I,1.9349828,1.996799,0.9980726,0.9999725,2.0003374,1.001398,1,greater than 0.0
F,S,I,2.003503,2.006493,1.0002362,1.9996195,2.0001526,0.99981815,1,greater than 0.0
F,A,C,1.0006754,3.0000782,0.9994614,2.0020092,2.0009282,1.0005486,1,greater than 0.0
H,S,X,0.99997264,2.0097759,0.99972355,1.9977821,2.0000799,1.0000486,1,greater than 0.0
E,R,I,1.9993429,2.9996374,0.9989783,2.0052211,2.0003378,1.000242,1,greater than 0.0
H,R,X,1.0007327,1.9985248,1.0002946,1.0017977,2.0002158,0.9998839,1,greater than 0.0
F,A,I,1.0001673,2.99776,0.99872774,1.9996428,2.0019,0.99981976,1,greater than 0.0
H,R,I,1.0008922,3.0009344,1.0005755,1.0020995,1.9993695,1.0004548,1,greater than 0.0
H,R,X,0.99919474,1.9941001,1.0004513,2.00054,1.9998394,1.0000182,1,greater than 0.0
H,R,X,1.002592,0.98360336,1.000512,2.0000484,1.9998138,1.0001475,1,greater than 0.0
H,S,X,1.0004536,1.997838,0.9998857,1.0056549,2.002054,0.9994963,1,greater than 0.0
H,R,X,0.99987024,1.9996065,0.9999133,1.0031447,1.9998164,0.9999109,1,greater than 0.0
E,A,O,2.0008187,2.0010571,0.99992776,1.99888,2.0019245,1.000154,1,greater than 0.0
D,R,O,1.0008729,2.9988582,0.9998319,0.99926704,2.0012796,1.0002271,1,greater than 0.0
H,S,X,1.0008675,1.9973251,1.0005189,1.0018363,0.99539423,1.0002352,1,greater than 0.0
B,X,O,0.999937,2.0036347,1.0005276,1.0020075,2.0003195,0.9999739,1,greater than 0.0
H,A,I,2.0060494,2.001564,1.0004102,2.002401,1.999308,0.9998209,1,greater than 0.0
F,A,I,1.6824524,2.0036356,1.0006651,1.002382,1.9971218,1.0002605,1,greater than 0.0
H,R,X,1.0009315,1.9970089,1.0004065,2.002145,2.0013509,1.0002981,1,greater than 0.0
H,S,X,1.0003895,2.002681,0.9997311,1.993779,1.9994202,1.0281357,1,greater than 0.0
H,S,X,1.0009868,1.9994314,1.0005581,0.999228,2.0019598,0.99982405,1,greater than 0.0
E,R,O,1.9344103,2.0017955,1.00068,2.0009289,2.0011566,0.99988294,1,greater than 0.0
D,S,I,2.0042627,1.9988825,1.0014507,0.9992524,1.9998119,1.0001322,1,greater than 0.0
H,R,X,1.0009083,1.9989337,0.9999292,1.9999263,2.0005977,0.99992263,1,greater than 0.0
H,X,X,0.99980414,1.9975691,0.99956447,0.9998772,1.9999914,1.0018907,1,greater than 0.0
H,R,X,0.9998334,1.9944118,0.999206,0.9996768,1.999024,1.0002751,1,greater than 0.0
H,S,X,1.00024,2.9971342,1.0013825,1.9971039,1.0007117,1.0013177,1,greater than 0.0
H,S,X,1.0011533,2.0000327,0.99924165,0.9977477,2.0014467,1.0002868,1,greater than 0.0
B,X,O,1.00088,3.0015726,0.99896526,0.99952906,2.0008135,1.000192,1,greater than 0.0
C,S,I,0.9989773,2.9989388,0.9901341,1.0003635,2.0014203,1.0001422,1,greater than 0.0
F,R,I,2.5042672,1.9946585,0.99979293,1.9999828,1.9993787,1.0001588,1,greater than 0.0
D,S,O,1.000284,3.0036526,1.0002719,1.9985994,1.9994354,1.0007038,1,greater than 0.0
H,S,X,1.0002162,1.9960709,1.0015379,1.0000895,1.0049292,1.0001913,1,greater than 0.0
H,S,X,1.0002584,2.0005417,0.9990957,0.9992278,1.9991373,0.99980056,1,greater than 0.0
H,S,X,0.9995117,2.0049758,0.9996876,0.99924403,1.9996011,0.999882,1,greater than 0.0
D,R,C,2.0108273,3.0004475,0.99904454,2.0025544,1.9989246,1.0006515,1,greater than 0.0
H,S,X,1.0002507,1.9962469,0.9990074,2.000478,1.9994168,1.0003412,1,greater than 0.0
H,S,X,1.0001475,2.0085561,0.9997173,1.0002205,1.9983134,1.0008986,1,greater than 0.0
E,R,I,2.0006456,2.002808,1.0013566,2.00277,2.0009973,1.0002365,1,greater than 0.0
E,S,I,1.0007049,2.9982154,1.0001962,2.0029066,1.9994358,1.0009052,1,greater than 0.0
F,R,I,0.99929,3.0077152,0.99982315,2.0016904,2.000599,1.0001061,1,greater than 0.0
H,S,X,1.0005562,2.002967,0.9991516,0.9975113,0.9914018,0.99981326,1,greater than 0.0
F,K,C,2.0152287,1.9980912,0.99996114,1.9972233,2.000818,1.0001266,1,greater than 0.0
F,S,I,1.0001907,2.9962015,1.0004611,2.0021126,1.9994015,1.0010796,1,greater than 0.0
H,R,C,0.99994427,3.0056233,1.0005373,2.0000544,2.0000322,0.9998294,1,greater than 0.0
H,R,X,1.0011399,1.9984945,1.0005016,1.9992073,0.9980444,0.08295065,1,greater than 0.0
H,S,X,1.0001761,1.9975868,1.0002047,2.0024605,1.1687326,1.0001583,1,greater than 0.0
F,S,I,1.0028992,2.0044882,1.0004884,2.0007877,1.9992533,1.000283,1,greater than 0.0
H,A,X,1.0001355,2.995833,1.0003895,0.99786705,1.99968,0.9999478,1,greater than 0.0
F,S,I,2.005698,2.0042245,1.0003932,0.99946404,2.001553,0.99995065,1,greater than 0.0
C,R,I,0.9999468,2.9999647,1.0003053,0.9991539,2.0000622,0.9998593,1,greater than 0.0
E,R,O,1.0004275,1.9967309,0.9994772,0.9990255,1.9995009,1.0000863,1,greater than 0.0
D,R,I,0.9995148,3.0000243,0.99933183,1.999735,1.9989803,1.0006388,1,greater than 0.0
H,S,X,0.9997656,2.000305,0.9994361,2.004174,2.0018566,1.0000904,1,greater than 0.0
H,S,X,0.99894947,1.9999167,1.0000356,2.0018256,1.9978907,0.99950033,1,greater than 0.0
E,R,I,1.000326,1.9981762,1.0006444,2.0004196,1.9996973,1.0002065,1,greater than 0.0
F,S,O,1.0006515,2.0071046,1.0006326,2.0010047,2.0018365,0.9999027,1,greater than 0.0
