theta1,theta2,theta3,theta4,theta5,theta6,thetad1,thetad2,thetad3,thetad4,thetad5,thetad6,tau1,tau2,tau3,tau4,tau5,dm1,dm2,dm3,dm4,dm5,da1,da2,da3,da4,da5,db1,db2,db3,db4,db5,thetadd6
-0.35621567,1.39078326,-0.47438291,-1.44679109,1.63297985,0.46867081,-1.35407785,-0.63456769,0.83211518,-0.20503286,-0.28150542,-0.87011267,-23.392799,11.463961,-15.319141,-56.324213,-14.689219,1.95806523,1.42145055,0.69396018,0.85419716,1.35038727,1.46815913,0.98576556,2.14855531,0.81162421,1.60997671,0.98017839,0.62968992,1.85533726,0.93752735,between -0.023711622 and -0.00016276260500000002,
-1.68612435,0.17220659,-0.96014946,-0.76521795,-0.39237527,0.78121279,-0.50939285,0.40781334,-0.74563179,0.69585123,-2.08572348,-0.42076516,-55.823238,-27.900191,60.451344,-36.739139,20.476381,1.01326666,2.02756339,0.38224955,2.29635426,1.73983789,0.60542992,1.29039194,1.67951191,0.55117836,1.76873677,1.27092555,1.64606175,0.31115588,1.89963486,greater than 0.02356751225,
-1.84517632,-0.63059756,-0.68988587,-0.29526185,2.15712401,-0.70105774,0.62568482,0.24645721,-1.36065473,0.37552853,0.62531544,0.47598341,-1.419792,-33.409621,-29.686531,-26.782698,-30.439419,2.35746277,0.38489328,2.15314121,1.06264899,0.98503552,0.96513628,1.96270116,0.70737049,1.37044446,0.82166077,0.91176078,0.43776704,0.97717625,0.39411191,less than -0.023711622,
-0.32423755,1.01361175,0.46319837,-1.34279121,-1.29955528,1.39078326,-1.17859467,0.38709685,-0.68916724,0.48453037,-0.69095165,-2.19471554,25.440429,-19.442211,-5.934406,-51.648685,17.282475,1.84014282,2.13616648,0.76187042,0.63930268,1.72505538,0.61179124,0.71033247,0.89554927,0.98141965,0.79155555,1.43541367,2.18680272,2.19898758,0.53318221,greater than 0.02356751225,
-0.35684023,-0.40425064,0.98037537,0.60086585,1.50913039,-0.19328216,-0.98901661,-0.47594151,-0.50956749,0.78098727,-0.41737071,0.50924918,-50.485121,20.400321,32.987419,-60.115846,-3.395273,0.92110933,0.94151128,2.40030235,0.97581652,0.39876748,0.77633247,2.19234969,1.39466168,1.11010697,0.44512217,0.62591165,0.86049331,0.30553347,0.40339584,greater than 0.02356751225,
-0.42991431,-0.65411096,2.02904799,-0.63241944,-0.17919501,-0.93402028,0.27202152,-1.3641967,-1.58219146,1.42887075,1.90082465,-0.87011568,33.993195,51.784882,41.756429,-22.017942,-45.115271,2.19303261,0.81960448,1.00184514,0.68664836,1.79039971,1.96422571,0.42010175,1.91140441,0.54033372,0.36392193,0.88017164,0.94069557,0.81247944,1.54069556,less than -0.023711622,
0.3925208,0.63868552,-1.6850232,-0.57917522,-0.57917522,-1.3696824,0.07710907,1.4188511,-0.43617708,0.48481944,0.28150699,-1.1634286,39.529839,-33.562624,14.530491,-33.265305,-52.190831,0.60379638,2.191284,0.38224955,0.25547296,2.4701745,0.34159177,1.2912524,0.60320326,2.2094197,2.401051,2.1940005,0.81692779,0.6051704,0.43018689,greater than 0.02356751225,
0.11596364,-1.07742135,-0.9607736,-0.76521795,0.3925208,-0.042402273,-0.54319435,-0.38695383,-0.74563179,1.6490945,0.63976368,2.1221042,66.270989,66.51116,53.069892,-2.610037,43.516052,1.3522626,0.36178497,0.27000601,0.54013779,0.84585295,0.6076363,0.95280895,0.60320326,1.037258,1.2318338,0.43018689,2.401051,0.44380547,1.0714446,greater than 0.02356751225,
1.187654,-0.108579,-0.832191,0.411762,-1.490111,0.739823,0.270941,1.065351,-1.431391,-0.612391,-1.200982,-1.983092,-14.11092,28.421039,18.193021,51.830211,-39.684021,1.982031,1.215631,1.489021,0.810982,1.634102,0.983281,0.642091,1.372839,2.193021,1.759202,1.289401,2.138402,0.940212,1.980421,between -0.023711622 and -0.00016276260500000002,
-0.356431,1.489023,-0.216492,-0.983011,-0.612101,1.008044,-1.982161,0.216831,-0.843021,0.216631,-0.196021,-2.120982,-48.30191,-5.108329,-10.98112,14.691021,-51.7061,0.983021,0.628394,1.192662,0.372662,1.192831,2.008021,0.216631,2.120982,0.983281,0.983021,1.661021,1.983112,0.372021,2.019431,less than -0.023711622,
