process_b1_capacity,process_b2_capacity,process_b3_capacity,process_b4_capacity,property_price,property_product,property_winner,verification_time
2,3,2,1,81,2,0,between 1316.98333333333 and 10876.6388888889
0,2,2,0,71,6,0,greater than 10876.6388888889
1,1,2,1,75,4,0,between 546.8189102564105 and 1316.98333333333
2,2,2,0,79,1,0,less than 546.8189102564105
0,3,1,0,68,3,4,between 546.8189102564105 and 1316.98333333333
1,3,2,0,70,5,0,between 1316.98333333333 and 10876.6388888889
2,1,2,0,67,2,0,greater than 10876.6388888889
1,2,2,1,73,6,0,greater than 10876.6388888889
0,2,2,0,83,1,0,between 546.8189102564105 and 1316.98333333333
2,3,2,1,69,3,0,less than 546.8189102564105
2,2,2,1,85,4,0,greater than 10876.6388888889
0,3,2,0,80,2,0,less than 546.8189102564105
2,3,2,0,78,6,0,between 1316.98333333333 and 10876.6388888889
2,1,2,0,74,1,0,between 546.8189102564105 and 1316.98333333333
0,2,1,1,63,5,0,less than 546.8189102564105
2,3,2,1,76,3,0,greater than 10876.6388888889
0,1,2,0,65,4,0,greater than 10876.6388888889
1,3,2,0,82,1,0,between 1316.98333333333 and 10876.6388888889
1,2,2,1,72,6,0,less than 546.8189102564105
0,3,1,1,86,2,0,between 546.8189102564105 and 1316.98333333333
1,2,2,0,89,5,0,greater than 10876.6388888889
0,2,2,0,66,3,0,greater than 10876.6388888889
0,1,1,1,77,4,0,between 546.8189102564105 and 1316.98333333333
1,1,2,0,84,2,0,less than 546.8189102564105
2,2,2,1,62,1,0,greater than 10876.6388888889
0,3,2,0,79,6,0,less than 546.8189102564105
2,3,2,0,88,4,0,greater than 10876.6388888889
2,2,2,0,75,3,0,between 546.8189102564105 and 1316.98333333333
0,2,1,1,64,2,0,between 1316.98333333333 and 10876.6388888889
1,2,2,1,69,1,0,greater than 10876.6388888889
2,3,2,1,71,5,0,less than 546.8189102564105
0,1,2,0,73,4,0,between 1316.98333333333 and 10876.6388888889
2,2,2,1,80,2,0,greater than 10876.6388888889
1,3,2,1,78,6,0,less than 546.8189102564105
1,1,2,1,61,3,0,between 546.8189102564105 and 1316.98333333333
2,1,2,0,70,1,0,between 546.8189102564105 and 1316.98333333333
1,3,2,0,85,4,0,greater than 10876.6388888889
0,3,2,0,67,2,0,less than 546.8189102564105
0,2,1,0,82,5,0,between 1316.98333333333 and 10876.6388888889
2,3,2,1,77,3,0,greater than 10876.6388888889
1,2,2,1,65,6,0,between 546.8189102564105 and 1316.98333333333
2,2,2,0,81,5,0,less than 546.8189102564105
0,3,2,1,74,1,0,between 546.8189102564105 and 1316.98333333333
2,3,2,0,72,4,0,greater than 10876.6388888889
1,2,2,0,68,3,0,between 1316.98333333333 and 10876.6388888889
2,1,2,0,66,2,0,less than 546.8189102564105
1,3,2,1,79,6,0,greater than 10876.6388888889
0,2,2,0,70,1,0,between 546.8189102564105 and 1316.98333333333
1,2,2,0,85,5,0,greater than 10876.6388888889
0,1,2,0,78,3,0,less than 546.8189102564105
0,3,1,0,69,4,0,between 1316.98333333333 and 10876.6388888889
0,3,2,1,73,2,0,greater than 10876.6388888889
1,2,2,1,75,4,0,less than 546.8189102564105
1,3,2,0,80,6,0,between 1316.98333333333 and 10876.6388888889
2,3,2,1,83,3,0,greater than 10876.6388888889
2,2,2,0,76,1,0,between 546.8189102564105 and 1316.98333333333
1,2,2,1,67,5,0,less than 546.8189102564105
2,1,2,1,84,2,0,greater than 10876.6388888889
0,2,2,0,71,6,0,greater than 10876.6388888889
0,3,2,0,77,4,0,between 1316.98333333333 and 10876.6388888889
0,1,1,1,72,3,0,less than 546.8189102564105
1,3,2,0,86,5,0,greater than 10876.6388888889
2,3,2,0,81,3,0,between 1316.98333333333 and 10876.6388888889
1,2,2,0,68,2,0,greater than 10876.6388888889
