process_b1_capacity,process_b2_capacity,process_b3_capacity,process_b4_capacity,property_price,property_product,property_winner,verification_time
0,2,2,1,78,3,0,between 546.8189102564105 and 1316.98333333333
2,3,2,0,65,1,0,greater than 10876.6388888889
1,2,2,1,79,6,0,less than 546.8189102564105
0,3,1,0,67,4,0,greater than 10876.6388888889
2,1,2,0,72,2,0,less than 546.8189102564105
0,3,2,1,64,3,0,greater than 10876.6388888889
1,2,2,0,70,1,0,between 546.8189102564105 and 1316.98333333333
2,3,2,1,62,6,0,greater than 10876.6388888889
0,2,2,0,69,5,0,between 546.8189102564105 and 1316.98333333333
0,2,1,1,66,2,0,between 546.8189102564105 and 1316.98333333333
1,3,2,0,68,4,0,less than 546.8189102564105
2,2,2,0,71,3,0,between 1316.98333333333 and 10876.6388888889
0,1,2,1,73,1,0,between 546.8189102564105 and 1316.98333333333
2,3,1,1,61,6,0,greater than 10876.6388888889
1,2,2,0,75,2,0,less than 546.8189102564105
0,3,2,1,63,5,0,between 1316.98333333333 and 10876.6388888889
