process_b1_capacity,process_b2_capacity,process_b3_capacity,process_b4_capacity,property_price,property_product,property_winner,verification_time
1,2,2,0,67,4,0,greater than 10876.6388888889
2,3,2,1,80,6,0,between 1316.98333333333 and 10876.6388888889
0,1,1,1,66,3,0,less than 546.8189102564105
1,3,2,0,63,2,0,between 546.8189102564105 and 1316.98333333333
2,2,2,1,75,5,0,between 1316.98333333333 and 10876.6388888889
0,3,1,0,59,1,0,less than 546.8189102564105
1,2,2,1,70,4,0,greater than 10876.6388888889
2,1,2,1,77,2,0,between 546.8189102564105 and 1316.98333333333
1,3,2,0,71,1,0,greater than 10876.6388888889
0,2,1,1,69,4,0,less than 546.8189102564105
2,3,2,1,72,6,0,between 1316.98333333333 and 10876.6388888889
1,2,2,0,65,3,0,between 546.8189102564105 and 1316.98333333333
2,3,2,0,79,5,0,between 546.8189102564105 and 1316.98333333333
0,1,1,0,61,2,0,less than 546.8189102564105
1,3,2,1,68,1,0,greater than 10876.6388888889
0,3,1,1,74,4,0,between 1316.98333333333 and 10876.6388888889
1,2,2,0,73,3,0,less than 546.8189102564105
0,2,2,1,64,1,0,between 546.8189102564105 and 1316.98333333333
2,2,2,0,78,6,0,greater than 10876.6388888889
1,3,2,0,72,2,0,between 546.8189102564105 and 1316.98333333333
0,1,1,0,60,4,0,less than 546.8189102564105
1,2,2,0,69,5,0,between 1316.98333333333 and 10876.6388888889
2,3,2,0,76,3,0,greater than 10876.6388888889
0,3,2,1,71,1,0,between 546.8189102564105 and 1316.98333333333
1,3,2,0,66,6,0,less than 546.8189102564105
2,2,2,1,73,4,0,between 1316.98333333333 and 10876.6388888889
0,2,1,0,62,2,0,less than 546.8189102564105
1,2,2,1,75,3,0,greater than 10876.6388888889
0,1,1,1,68,5,0,between 546.8189102564105 and 1316.98333333333
2,1,2,0,80,6,0,between 546.8189102564105 and 1316.98333333333
2,3,2,1,70,2,0,greater than 10876.6388888889
1,3,2,0,67,1,0,between 1316.98333333333 and 10876.6388888889
