process_b1_capacity,process_b2_capacity,process_b3_capacity,process_b4_capacity,property_price,property_product,property_winner,verification_time
0,2,2,1,67,2,0,less than 546.8189102564105
2,1,2,0,72,5,0,greater than 10876.6388888889
1,3,2,1,69,1,0,between 1316.98333333333 and 10876.6388888889
0,2,1,0,65,6,0,less than 546.8189102564105
2,2,2,1,71,3,0,between 546.8189102564105 and 1316.98333333333
0,1,1,1,74,4,0,less than 546.8189102564105
1,2,2,0,62,2,0,between 546.8189102564105 and 1316.98333333333
0,3,2,0,66,5,0,less than 546.8189102564105
2,2,2,1,70,6,0,greater than 10876.6388888889
1,1,2,0,68,1,0,less than 546.8189102564105
0,2,1,0,63,3,0,between 1316.98333333333 and 10876.6388888889
0,3,2,1,77,2,0,between 546.8189102564105 and 1316.98333333333
1,3,2,1,69,4,0,between 1316.98333333333 and 10876.6388888889
2,1,2,0,64,6,0,less than 546.8189102564105
0,2,2,1,75,5,0,greater than 10876.6388888889
0,1,1,0,71,3,0,between 546.8189102564105 and 1316.98333333333
