process_b1_capacity,process_b2_capacity,process_b3_capacity,process_b4_capacity,property_price,property_product,property_winner,verification_time
2,3,2,1,85,4,0,between 1316.98333333333 and 10876.6388888889
0,2,2,0,72,6,0,less than 546.8189102564105
1,1,1,1,61,5,4,less than 546.8189102564105
2,2,2,0,89,1,0,greater than 10876.6388888889
1,3,2,1,66,3,0,between 546.8189102564105 and 1316.98333333333
0,1,2,1,70,2,0,between 546.8189102564105 and 1316.98333333333
2,3,2,1,73,6,0,between 1316.98333333333 and 10876.6388888889
2,1,2,0,65,4,0,greater than 10876.6388888889
0,2,1,0,68,1,0,less than 546.8189102564105
1,2,2,1,74,5,0,between 1316.98333333333 and 10876.6388888889
1,3,2,0,63,6,0,between 546.8189102564105 and 1316.98333333333
2,2,2,1,72,3,0,greater than 10876.6388888889
1,1,2,1,60,2,0,less than 546.8189102564105
0,3,2,1,76,1,0,between 546.8189102564105 and 1316.98333333333
2,3,2,0,79,5,0,greater than 10876.6388888889
0,1,1,1,62,4,0,less than 546.8189102564105
1,2,2,0,71,1,0,between 1316.98333333333 and 10876.6388888889
2,1,2,1,64,6,0,between 1316.98333333333 and 10876.6388888889
0,2,2,0,69,3,0,less than 546.8189102564105
1,3,2,1,67,2,0,between 546.8189102564105 and 1316.98333333333
2,2,2,1,78,4,0,between 1316.98333333333 and 10876.6388888889
1,1,1,0,59,5,0,less than 546.8189102564105
0,3,1,1,75,6,0,between 546.8189102564105 and 1316.98333333333
2,3,2,0,81,3,0,greater than 10876.6388888889
0,1,2,1,77,1,0,between 546.8189102564105 and 1316.98333333333
1,2,2,0,62,4,0,less than 546.8189102564105
2,1,2,0,83,2,0,between 546.8189102564105 and 1316.98333333333
1,3,2,1,65,6,0,between 1316.98333333333 and 10876.6388888889
0,2,1,0,66,1,0,less than 546.8189102564105
2,2,2,1,86,5,0,greater than 10876.6388888889
0,3,2,0,71,3,0,less than 546.8189102564105
2,1,2,1,82,4,0,between 1316.98333333333 and 10876.6388888889
1,1,1,0,58,6,0,less than 546.8189102564105
1,2,2,1,80,2,0,between 546.8189102564105 and 1316.98333333333
2,3,2,0,88,1,0,greater than 10876.6388888889
0,1,1,1,79,5,0,between 546.8189102564105 and 1316.98333333333
1,3,2,0,64,3,0,less than 546.8189102564105
2,2,2,0,70,6,0,between 1316.98333333333 and 10876.6388888889
2,3,2,1,91,4,0,between 1316.98333333333 and 10876.6388888889
0,2,2,1,68,2,0,less than 546.8189102564105
1,1,2,0,61,1,0,between 546.8189102564105 and 1316.98333333333
0,3,1,0,72,6,0,less than 546.8189102564105
2,1,2,0,85,5,0,greater than 10876.6388888889
0,2,2,0,67,4,0,less than 546.8189102564105
1,2,2,1,69,3,0,between 546.8189102564105 and 1316.98333333333
2,3,2,0,78,2,0,greater than 10876.6388888889
1,3,2,1,62,5,0,between 1316.98333333333 and 10876.6388888889
0,1,1,0,60,1,0,less than 546.8189102564105
2,2,2,1,87,6,0,between 1316.98333333333 and 10876.6388888889
1,1,2,0,63,2,0,less than 546.8189102564105
0,3,2,1,80,3,0,between 546.8189102564105 and 1316.98333333333
2,3,2,1,89,1,0,greater than 10876.6388888889
2,1,2,0,75,4,0,between 546.8189102564105 and 1316.98333333333
0,2,1,0,65,6,0,less than 546.8189102564105
1,2,2,1,70,5,0,between 1316.98333333333 and 10876.6388888889
1,3,2,0,66,3,0,less than 546.8189102564105
2,2,2,0,84,2,0,greater than 10876.6388888889
0,1,2,1,73,1,0,between 546.8189102564105 and 1316.98333333333
2,3,2,0,79,6,0,between 1316.98333333333 and 10876.6388888889
1,1,1,1,59,4,0,less than 546.8189102564105
0,3,2,0,76,5,0,less than 546.8189102564105
1,2,2,1,81,2,0,between 1316.98333333333 and 10876.6388888889
2,1,2,0,69,6,0,greater than 10876.6388888889
0,2,2,0,74,3,0,less than 546.8189102564105
