duration,codec,width,height,bitrate,framerate,i,p,b,frames,i_size,p_size,size,o_codec,o_bitrate,o_framerate,o_width,o_height,utime
916.6572,mpeg4,174.0061,142.52776,54310.645,11.977378,189.60812,10700.718,0.04446815,10926.553,671567.9,5182036.0,5677346.5,flv,-21198.703,24.988068,647.80676,480.539,less than 2.096
292.8703,mpeg4,176.94301,149.51083,66900.7,25.104675,82.62883,7253.891,0.09691009,7397.4536,880940.7,1421391.6,2248256.8,h264,3032663.8,25.052198,1937.5502,1082.6412,greater than 10.433
195.2807,h264,643.0346,487.5713,1844948.6,29.357973,218.64134,5643.0957,0.11820096,5866.4717,5449753.0,40263936.0,45690540.0,h264,4965048.5,12.166887,640.932,480.01984,between 4.408 and 10.433
288.5791,vp8,474.48752,393.12643,191138.61,25.142725,62.339542,7160.8384,-0.095367774,7264.384,1716115.1,4134128.0,5861140.5,h264,61790.305,24.070337,637.49347,473.28995,between 4.408 and 10.433
586.33325,h264,-134.9994,-456.20248,-4646485.0,11.959788,142.41505,7393.876,0.47172362,-1976.9419,1069724.4,-8801575.0,951441.56,h264,5035338.5,23.940044,1915.1676,1074.6407,greater than 10.433
163.62372,h264,319.59592,233.00383,249631.69,29.017382,87.08334,4829.141,0.07895614,4930.1094,801754.1,4282977.0,5054689.0,flv,5074467.5,24.054327,639.2946,478.9412,less than 2.096
223.00845,h264,1295.8811,717.9424,639777.25,24.805271,110.703545,5524.8604,0.43212995,5598.835,2926684.8,15802627.0,18490934.0,h264,52909.812,23.870049,179.60326,155.94176,between 2.096 and 4.408
238.13213,h264,369.372,120.0241,275053.16,15.30038,154.16273,3402.7979,0.07879312,3473.3982,1361691.2,7346262.5,8898462.0,flv,26922.22,23.876928,1064.2433,676.25977,between 2.096 and 4.408
122.20338,h264,637.0104,476.23038,688779.75,28.965553,46.43297,3472.2737,0.032384098,3510.2432,849288.8,7942696.0,8517718.0,flv,5011098.5,24.0384,176.51375,203.88847,less than 2.096
28.328434,h264,319.22165,226.1409,-210189.53,37.32424,10.959969,2847.5232,0.03767194,2915.7434,3331918.0,-1094887.1,-13774864.0,vp8,2023389.8,24.035154,629.3996,474.89816,less than 2.096
306.8802,h264,633.3599,489.14352,265135.03,30.018188,176.18246,9066.983,-0.10107419,9255.942,9762279.0,142060.89,13414478.0,mpeg4,96616.16,15.012836,485.59042,381.9036,between 2.096 and 4.408
45.194355,h264,314.40552,230.37482,270989.8,25.01985,23.070105,1066.0022,-0.0316452,1060.6873,230246.11,1280329.5,1655419.2,h264,239610.48,24.964754,644.3236,478.34534,greater than 10.433
