fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality
7.94,0.46,0.23,2.05,0.079,14.36,37.44,0.99685,3.29,0.64,10.17,between 5.0 and 6.0
8.81,0.38,0.42,1.83,0.104,18.47,43.91,0.99723,3.21,0.69,10.45,greater than 6.0
9.45,0.51,0.19,2.28,0.073,22.11,55.39,0.99651,3.35,0.58,9.93,between 5.0 and 6.0
7.29,0.61,0.29,1.95,0.088,10.92,26.85,0.99613,3.44,0.75,10.81,greater than 6.0
8.46,0.35,0.32,2.17,0.065,16.35,39.46,0.99769,3.26,0.63,10.03,between 5.0 and 6.0
9.19,0.49,0.25,1.75,0.099,20.58,48.95,0.99642,3.38,0.71,11.15,greater than 6.0
7.67,0.42,0.36,2.42,0.077,12.19,30.46,0.99695,3.32,0.62,9.58,between 5.0 and 6.0
8.92,0.39,0.2,1.93,0.082,18.71,43.11,0.99714,3.23,0.66,10.29,between 5.0 and 6.0
9.56,0.53,0.22,2.08,0.094,23.49,57.23,0.99629,3.41,0.74,10.94,greater than 6.0
7.41,0.59,0.27,1.88,0.071,11.45,28.19,0.99667,3.46,0.61,10.67,between 5.0 and 6.0
8.69,0.44,0.33,2.25,0.104,17.37,41.19,0.99745,3.28,0.65,10.01,between 5.0 and 6.0
9.31,0.51,0.24,1.79,0.086,21.19,50.43,0.99653,3.36,0.72,11.08,greater than 6.0
7.59,0.46,0.38,2.38,0.079,13.49,32.95,0.99689,3.33,0.63,9.56,between 5.0 and 6.0
8.85,0.41,0.21,1.95,0.081,19.37,44.51,0.99721,3.24,0.67,10.32,between 5.0 and 6.0
9.48,0.55,0.23,2.12,0.097,23.91,58.19,0.99635,3.4,0.73,10.98,greater than 6.0
7.34,0.62,0.28,1.86,0.073,11.67,28.59,0.99661,3.45,0.62,10.73,between 5.0 and 6.0
