fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality
7.81,0.587,0.281,2.02,0.079,18.49,69.21,0.99673,3.278,0.588,9.89,between 5.0 and 6.0
8.19,0.735,0.191,1.98,0.084,20.11,46.32,0.99742,3.321,0.513,10.21,between 5.0 and 6.0
7.42,0.652,0.229,2.15,0.076,14.59,51.85,0.99619,3.362,0.628,9.71,greater than 6.0
7.85,0.594,0.341,2.32,0.082,25.67,73.19,0.99701,3.252,0.549,10.38,between 5.0 and 6.0
8.01,0.819,0.145,1.95,0.085,16.31,40.96,0.99658,3.289,0.469,9.63,between 5.0 and 6.0
7.59,0.751,0.193,2.01,0.078,12.15,34.79,0.99694,3.305,0.582,10.02,greater than 6.0
7.24,0.678,0.273,2.46,0.08,22.95,63.41,0.99725,3.328,0.624,9.85,greater than 6.0
9.08,0.436,0.317,2.21,0.093,18.77,53.85,0.99759,3.236,0.558,10.47,greater than 6.0
7.91,0.623,0.129,1.89,0.081,10.49,30.12,0.99642,3.293,0.599,10.17,between 5.0 and 6.0
8.49,0.294,0.407,2.38,0.094,26.93,75.46,0.99821,3.194,0.645,10.82,between 5.0 and 6.0
7.36,0.811,0.187,1.79,0.075,15.23,43.17,0.99685,3.355,0.564,9.46,greater than 6.0
9.49,0.378,0.281,2.49,0.099,24.19,69.13,0.99805,3.267,0.592,10.99,between 5.0 and 6.0
8.22,0.475,0.201,2.08,0.086,13.97,39.51,0.99675,3.313,0.522,10.31,between 5.0 and 6.0
7.68,0.732,0.159,2.29,0.077,23.41,66.33,0.99699,3.297,0.616,9.92,greater than 6.0
6.99,0.844,0.115,1.61,0.063,6.57,18.39,0.99541,3.384,0.661,10.85,greater than 6.0
10.31,0.209,0.463,2.56,0.107,29.85,83.59,0.99931,3.162,0.628,11.04,between 5.0 and 6.0
7.44,0.696,0.193,2.17,0.078,17.63,50.29,0.99651,3.326,0.604,9.77,greater than 6.0
8.88,0.256,0.375,2.44,0.096,27.95,79.21,0.99846,3.228,0.586,10.92,between 5.0 and 6.0
7.17,0.823,0.141,1.75,0.072,11.51,32.57,0.99611,3.351,0.555,9.39,greater than 6.0
9.21,0.441,0.294,2.26,0.094,20.13,57.49,0.99764,3.246,0.576,10.56,greater than 6.0
6.85,0.934,0.087,1.44,0.059,4.93,14.21,0.99519,3.411,0.678,10.69,greater than 6.0
10.85,0.175,0.499,2.64,0.113,32.15,92.17,0.99973,3.143,0.634,11.21,between 5.0 and 6.0
8.35,0.392,0.219,2.12,0.089,15.83,45.23,0.99692,3.305,0.529,10.42,between 5.0 and 6.0
7.57,0.785,0.155,2.25,0.08,19.25,54.95,0.99667,3.32,0.609,9.88,greater than 6.0
6.76,0.875,0.103,1.53,0.066,7.39,20.93,0.99555,3.394,0.659,10.51,greater than 6.0
11.03,0.236,0.439,2.59,0.11,30.47,86.37,0.99949,3.159,0.636,11.02,between 5.0 and 6.0
8.06,0.317,0.243,2.05,0.087,14.37,40.91,0.99678,3.29,0.516,10.29,between 5.0 and 6.0
7.29,0.762,0.161,2.19,0.076,18.21,51.99,0.99644,3.337,0.599,9.74,greater than 6.0
9.55,0.275,0.355,2.33,0.098,24.53,69.79,0.99819,3.225,0.583,10.85,between 5.0 and 6.0
7.93,0.609,0.191,2.03,0.083,12.97,36.57,0.99659,3.282,0.573,9.96,between 5.0 and 6.0
7.11,0.831,0.125,1.83,0.074,10.17,28.75,0.99604,3.356,0.549,9.43,greater than 6.0
9.86,0.191,0.467,2.62,0.112,31.49,90.19,0.99983,3.151,0.642,11.19,between 5.0 and 6.0
