sex,length,diameter,height,whole_weight,shucked_weight,cisvera_weight,shell_weight,rings
F,0.545,0.41,0.125,0.6935,0.2975,0.146,0.21,greater than 11.0
M,0.62,0.465,0.19,1.3415,0.5705,0.3175,0.355,greater than 11.0
F,0.7,0.54,0.215,1.978,0.6675,0.3125,0.71,greater than 11.0
F,0.705,0.53,0.17,1.564,0.612,0.394,0.44,between 9.0 and 11.0
M,0.435,0.335,0.11,0.4385,0.2075,0.0715,0.1315,less than 8.0
F,0.45,0.35,0.125,0.4435,0.185,0.09,0.145,greater than 11.0
F,0.305,0.23,0.08,0.156,0.0675,0.0345,0.048,less than 8.0
F,0.71,0.575,0.175,1.555,0.6465,0.3705,0.52,greater than 11.0
M,0.715,0.535,0.19,1.6755,0.889,0.313,0.42,between 9.0 and 11.0
M,0.61,0.46,0.16,1.0,0.494,0.197,0.275,between 9.0 and 11.0
F,0.66,0.5,0.165,1.1905,0.4585,0.298,0.37,greater than 11.0
M,0.615,0.47,0.175,1.242,0.5675,0.287,0.317,greater than 11.0
M,0.67,0.5,0.19,1.519,0.616,0.388,0.415,between 9.0 and 11.0
F,0.545,0.41,0.115,0.6765,0.29,0.158,0.22,between 9.0 and 11.0
I,0.32,0.215,0.095,0.305,0.14,0.067,0.0885,less than 8.0
F,0.71,0.56,0.18,1.652,0.735,0.381,0.4525,greater than 11.0
F,0.38,0.305,0.105,0.281,0.1045,0.0615,0.09,greater than 11.0
M,0.615,0.47,0.16,1.0175,0.473,0.2395,0.28,between 9.0 and 11.0
M,0.45,0.355,0.115,0.479,0.2125,0.1045,0.15,between 8.0 and 9.0
M,0.48,0.38,0.13,0.6175,0.3,0.142,0.175,greater than 11.0
I,0.525,0.38,0.135,0.615,0.261,0.159,0.175,between 8.0 and 9.0
M,0.625,0.5,0.14,1.096,0.5445,0.2165,0.295,between 9.0 and 11.0
I,0.36,0.27,0.095,0.2,0.073,0.056,0.061,between 8.0 and 9.0
M,0.535,0.44,0.15,0.6765,0.256,0.139,0.26,greater than 11.0
I,0.275,0.205,0.065,0.101,0.041,0.021,0.034,less than 8.0
F,0.61,0.47,0.165,1.1785,0.566,0.2785,0.294,greater than 11.0
F,0.55,0.445,0.155,0.9905,0.544,0.178,0.218,between 9.0 and 11.0
F,0.655,0.505,0.175,1.2905,0.6205,0.2965,0.326,between 9.0 and 11.0
I,0.5,0.39,0.12,0.5955,0.2455,0.147,0.173,between 8.0 and 9.0
M,0.615,0.48,0.18,1.1595,0.4845,0.2165,0.325,greater than 11.0
F,0.705,0.54,0.205,1.757,0.8265,0.417,0.461,between 9.0 and 11.0
I,0.3,0.23,0.085,0.117,0.05,0.0175,0.0415,less than 8.0
