sex,length,diameter,height,whole_weight,shucked_weight,cisvera_weight,shell_weight,rings
F,0.545,0.41,0.125,0.6935,0.2975,0.146,0.21,greater than 11.0
M,0.62,0.465,0.19,1.3415,0.5705,0.3175,0.355,greater than 11.0
F,0.7,0.54,0.215,1.978,0.6675,0.3125,0.71,greater than 11.0
F,0.705,0.53,0.17,1.564,0.612,0.394,0.44,between 9.0 and 11.0
M,0.435,0.335,0.11,0.4385,0.2075,0.0715,0.1315,less than 8.0
F,0.45,0.35,0.125,0.4435,0.185,0.09,0.145,greater than 11.0
F,0.305,0.23,0.08,0.156,0.0675,0.0345,0.048,less than 8.0
F,0.71,0.575,0.175,1.555,0.6465,0.3705,0.52,greater than 11.0
M,0.715,0.535,0.19,1.6755,0.889,0.313,0.42,between 9.0 and 11.0
M,0.61,0.46,0.16,1.0,0.494,0.197,0.275,between 9.0 and 11.0
F,0.66,0.5,0.165,1.1905,0.4585,0.298,0.37,greater than 11.0
M,0.615,0.47,0.175,1.242,0.5675,0.287,0.317,greater than 11.0
M,0.67,0.5,0.19,1.519,0.616,0.388,0.415,between 9.0 and 11.0
F,0.545,0.41,0.115,0.6765,0.29,0.158,0.22,between 9.0 and 11.0
I,0.32,0.215,0.095,0.305,0.14,0.067,0.0885,less than 8.0
F,0.71,0.56,0.18,1.652,0.735,0.381,0.4525,greater than 11.0
F,0.38,0.305,0.105,0.281,0.1045,0.0615,0.09,greater than 11.0
M,0.615,0.47,0.16,1.0175,0.473,0.2395,0.28,between 9.0 and 11.0
M,0.45,0.355,0.115,0.479,0.2125,0.1045,0.15,between 8.0 and 9.0
M,0.48,0.38,0.13,0.6175,0.3,0.142,0.175,greater than 11.0
I,0.525,0.38,0.135,0.615,0.261,0.159,0.175,between 8.0 and 9.0
M,0.625,0.5,0.14,1.096,0.5445,0.2165,0.295,between 9.0 and 11.0
I,0.36,0.27,0.095,0.2,0.073,0.056,0.061,between 8.0 and 9.0
M,0.535,0.44,0.15,0.6765,0.256,0.139,0.26,greater than 11.0
I,0.275,0.205,0.065,0.101,0.041,0.021,0.034,less than 8.0
F,0.61,0.47,0.165,1.1785,0.566,0.2785,0.294,greater than 11.0
F,0.55,0.445,0.155,0.9905,0.544,0.178,0.218,between 9.0 and 11.0
F,0.655,0.505,0.175,1.2905,0.6205,0.2965,0.326,between 9.0 and 11.0
I,0.5,0.39,0.12,0.5955,0.2455,0.147,0.173,between 8.0 and 9.0
M,0.615,0.48,0.18,1.1595,0.4845,0.2165,0.325,greater than 11.0
F,0.705,0.54,0.205,1.757,0.8265,0.417,0.461,between 9.0 and 11.0
I,0.3,0.23,0.085,0.117,0.05,0.0175,0.0415,less than 8.0
F,0.605,0.46,0.17,1.122,0.347,0.3045,0.315,greater than 11.0
F,0.58,0.435,0.14,0.953,0.475,0.2165,0.2095,between 9.0 and 11.0
M,0.595,0.47,0.175,0.991,0.382,0.2395,0.5,greater than 11.0
F,0.635,0.49,0.155,1.145,0.4775,0.3035,0.3155,between 9.0 and 11.0
F,0.665,0.525,0.21,1.644,0.818,0.3395,0.4275,between 9.0 and 11.0
F,0.55,0.43,0.155,0.785,0.289,0.227,0.233,greater than 11.0
M,0.49,0.385,0.125,0.609,0.3065,0.096,0.1775,between 8.0 and 9.0
M,0.485,0.37,0.14,0.5725,0.204,0.1415,0.175,between 9.0 and 11.0
M,0.485,0.385,0.125,0.4775,0.2,0.0785,0.17,greater than 11.0
F,0.6,0.475,0.17,1.088,0.4905,0.2475,0.31,between 9.0 and 11.0
F,0.44,0.33,0.115,0.4005,0.143,0.113,0.12,between 8.0 and 9.0
I,0.635,0.5,0.165,1.489,0.715,0.3445,0.3615,greater than 11.0
M,0.615,0.505,0.19,1.403,0.6715,0.2925,0.365,between 8.0 and 9.0
M,0.345,0.27,0.095,0.197,0.0665,0.05,0.07,between 9.0 and 11.0
M,0.535,0.415,0.135,0.78,0.3165,0.169,0.2365,between 8.0 and 9.0
F,0.64,0.505,0.19,1.2355,0.4435,0.3105,0.365,greater than 11.0
F,0.68,0.5,0.185,1.741,0.7665,0.3255,0.4685,greater than 11.0
I,0.41,0.3,0.09,0.28,0.141,0.0575,0.075,between 8.0 and 9.0
I,0.415,0.31,0.1,0.2805,0.114,0.0565,0.0975,less than 8.0
M,0.61,0.475,0.175,1.024,0.409,0.261,0.322,between 9.0 and 11.0
I,0.58,0.425,0.145,0.83,0.379,0.1605,0.2575,greater than 11.0
I,0.53,0.42,0.13,0.8365,0.3745,0.167,0.249,greater than 11.0
M,0.475,0.355,0.12,0.48,0.234,0.1015,0.135,between 8.0 and 9.0
F,0.65,0.505,0.165,1.357,0.5725,0.281,0.43,greater than 11.0
I,0.505,0.405,0.13,0.6015,0.3015,0.11,0.18,between 8.0 and 9.0
F,0.62,0.5,0.15,1.293,0.596,0.3135,0.354,between 9.0 and 11.0
F,0.63,0.475,0.15,1.172,0.536,0.254,0.316,greater than 11.0
M,0.53,0.415,0.14,0.724,0.3105,0.1675,0.205,between 9.0 and 11.0
I,0.485,0.365,0.105,0.5205,0.195,0.123,0.182,between 8.0 and 9.0
I,0.48,0.355,0.115,0.5785,0.25,0.106,0.184,between 8.0 and 9.0
M,0.605,0.485,0.175,1.145,0.4325,0.27,0.405,greater than 11.0
F,0.53,0.44,0.135,0.7835,0.313,0.1715,0.2185,between 9.0 and 11.0
