sex,length,diameter,height,whole_weight,shucked_weight,cisvera_weight,shell_weight,rings
M,0.61,0.475,0.17,1.0265,0.435,0.2335,0.3035,between 9.0 and 11.0
F,0.435,0.35,0.12,0.4585,0.192,0.1,0.13,greater than 11.0
M,0.485,0.37,0.14,0.5725,0.204,0.1415,0.175,between 9.0 and 11.0
M,0.445,0.355,0.11,0.4415,0.1805,0.1035,0.1505,between 9.0 and 11.0
M,0.465,0.36,0.105,0.488,0.188,0.0845,0.19,between 9.0 and 11.0
F,0.375,0.29,0.08,0.282,0.1405,0.0725,0.08,less than 8.0
F,0.625,0.515,0.18,1.3485,0.5255,0.252,0.3925,greater than 11.0
F,0.275,0.195,0.07,0.08,0.031,0.0215,0.025,less than 8.0
M,0.59,0.49,0.135,1.008,0.422,0.2245,0.285,greater than 11.0
F,0.59,0.455,0.155,1.066,0.382,0.2275,0.415,greater than 11.0
F,0.73,0.575,0.185,1.8795,0.931,0.38,0.4825,greater than 11.0
I,0.585,0.47,0.17,0.985,0.3695,0.2395,0.315,between 9.0 and 11.0
I,0.455,0.435,0.11,0.4265,0.195,0.09,0.1205,between 8.0 and 9.0
F,0.68,0.55,0.19,1.807,0.8225,0.3655,0.515,greater than 11.0
I,0.6,0.475,0.15,1.12,0.565,0.2465,0.27,between 9.0 and 11.0
I,0.6,0.48,0.17,0.9175,0.38,0.2225,0.29,between 8.0 and 9.0
F,0.655,0.545,0.185,1.759,0.6865,0.313,0.547,greater than 11.0
M,0.57,0.445,0.14,1.0635,0.5265,0.2195,0.24,between 8.0 and 9.0
I,0.5,0.37,0.115,0.5745,0.306,0.112,0.141,less than 8.0
F,0.58,0.445,0.15,0.858,0.4,0.156,0.253,between 8.0 and 9.0
F,0.74,0.565,0.205,2.119,0.9655,0.5185,0.482,greater than 11.0
I,0.285,0.215,0.06,0.0935,0.031,0.023,0.03,less than 8.0
M,0.63,0.495,0.16,1.093,0.497,0.221,0.315,greater than 11.0
M,0.61,0.485,0.17,1.0225,0.419,0.2405,0.36,greater than 11.0
M,0.565,0.465,0.15,1.1285,0.377,0.3525,0.33,greater than 11.0
F,0.505,0.475,0.16,1.1155,0.509,0.239,0.3065,between 8.0 and 9.0
M,0.61,0.475,0.155,0.983,0.4565,0.228,0.266,between 9.0 and 11.0
F,0.535,0.405,0.125,0.927,0.26,0.1425,0.345,greater than 11.0
I,0.51,0.385,0.15,0.625,0.3095,0.119,0.1725,between 8.0 and 9.0
M,0.64,0.485,0.15,1.098,0.5195,0.222,0.3175,between 9.0 and 11.0
I,0.26,0.2,0.07,0.092,0.037,0.02,0.03,less than 8.0
M,0.465,0.36,0.105,0.431,0.172,0.107,0.175,between 9.0 and 11.0
