sex,length,diameter,height,whole_weight,shucked_weight,cisvera_weight,shell_weight,rings
I,0.52,0.39,0.14,0.7325,0.2415,0.144,0.26,greater than 11.0
I,0.255,0.18,0.055,0.083,0.031,0.0215,0.02,less than 8.0
I,0.575,0.45,0.135,0.807,0.3615,0.176,0.254,between 9.0 and 11.0
I,0.665,0.5,0.17,1.2975,0.6035,0.291,0.3595,between 9.0 and 11.0
I,0.2,0.145,0.025,0.0345,0.011,0.0075,0.01,less than 8.0
M,0.645,0.515,0.185,1.4605,0.5835,0.3155,0.41,greater than 11.0
F,0.49,0.37,0.115,0.541,0.171,0.1175,0.185,greater than 11.0
F,0.655,0.545,0.185,1.759,0.6865,0.313,0.547,greater than 11.0
M,0.625,0.5,0.13,1.082,0.5785,0.2045,0.25,between 8.0 and 9.0
M,0.585,0.48,0.185,1.04,0.434,0.265,0.285,between 9.0 and 11.0
M,0.455,0.34,0.135,0.462,0.1675,0.158,0.12,between 9.0 and 11.0
M,0.5,0.39,0.125,0.5215,0.2485,0.117,0.131,less than 8.0
M,0.585,0.455,0.125,1.027,0.391,0.212,0.25,greater than 11.0
F,0.75,0.61,0.235,2.5085,1.232,0.519,0.612,greater than 11.0
F,0.53,0.395,0.115,0.5685,0.249,0.1375,0.161,between 9.0 and 11.0
M,0.46,0.355,0.11,0.415,0.215,0.082,0.13,greater than 11.0
M,0.615,0.48,0.175,1.118,0.446,0.3195,0.3,between 9.0 and 11.0
F,0.6,0.5,0.155,1.332,0.6235,0.2835,0.35,between 8.0 and 9.0
F,0.69,0.555,0.205,1.8165,0.7785,0.4395,0.515,greater than 11.0
I,0.405,0.315,0.105,0.347,0.1605,0.0785,0.1,between 9.0 and 11.0
I,0.45,0.345,0.135,0.443,0.1975,0.0875,0.1175,greater than 11.0
F,0.62,0.51,0.175,1.1255,0.4985,0.227,0.315,greater than 11.0
I,0.425,0.34,0.1,0.3515,0.1625,0.082,0.094,less than 8.0
M,0.575,0.45,0.155,0.9765,0.495,0.2145,0.235,between 9.0 and 11.0
F,0.58,0.445,0.145,0.888,0.41,0.1815,0.2425,between 8.0 and 9.0
I,0.59,0.475,0.145,0.9745,0.4675,0.207,0.259,between 9.0 and 11.0
F,0.55,0.465,0.18,1.2125,0.3245,0.205,0.525,greater than 11.0
F,0.375,0.29,0.115,0.2705,0.093,0.066,0.0885,between 9.0 and 11.0
I,0.415,0.31,0.095,0.34,0.181,0.057,0.083,less than 8.0
F,0.595,0.48,0.16,1.2095,0.5225,0.296,0.32,between 8.0 and 9.0
M,0.615,0.475,0.205,1.337,0.5995,0.2815,0.37,greater than 11.0
M,0.49,0.39,0.14,0.707,0.2795,0.2185,0.18,greater than 11.0
M,0.615,0.475,0.175,1.103,0.4635,0.3095,0.2725,between 9.0 and 11.0
F,0.585,0.47,0.17,1.099,0.3975,0.2325,0.358,greater than 11.0
F,0.625,0.47,0.145,0.984,0.475,0.2,0.265,greater than 11.0
M,0.59,0.47,0.15,0.861,0.413,0.164,0.249,between 8.0 and 9.0
I,0.415,0.32,0.115,0.3045,0.1215,0.0735,0.094,less than 8.0
F,0.62,0.475,0.16,1.3245,0.6865,0.233,0.3275,between 9.0 and 11.0
F,0.57,0.44,0.125,0.865,0.3675,0.1725,0.27,greater than 11.0
F,0.62,0.48,0.175,1.0405,0.464,0.2225,0.3,between 9.0 and 11.0
F,0.465,0.38,0.135,0.579,0.208,0.1095,0.22,greater than 11.0
M,0.42,0.34,0.115,0.4215,0.175,0.093,0.135,between 8.0 and 9.0
I,0.575,0.45,0.145,0.872,0.4675,0.18,0.217,between 9.0 and 11.0
F,0.72,0.55,0.195,2.073,1.0715,0.4265,0.5015,between 9.0 and 11.0
I,0.385,0.29,0.085,0.2505,0.112,0.061,0.08,between 8.0 and 9.0
F,0.6,0.47,0.17,1.0805,0.4995,0.2245,0.3205,between 9.0 and 11.0
M,0.615,0.47,0.16,1.0175,0.473,0.2395,0.28,between 9.0 and 11.0
I,0.235,0.13,0.075,0.1585,0.0685,0.037,0.0465,less than 8.0
F,0.345,0.25,0.09,0.203,0.078,0.059,0.055,less than 8.0
M,0.575,0.46,0.155,0.892,0.4415,0.176,0.22,between 9.0 and 11.0
I,0.415,0.31,0.11,0.2965,0.123,0.057,0.0995,between 9.0 and 11.0
I,0.53,0.415,0.11,0.5745,0.2525,0.1235,0.189,between 9.0 and 11.0
F,0.645,0.525,0.17,1.37,0.6135,0.283,0.34,between 9.0 and 11.0
I,0.33,0.255,0.085,0.1655,0.063,0.039,0.06,between 8.0 and 9.0
I,0.33,0.23,0.08,0.14,0.0565,0.0365,0.046,less than 8.0
F,0.725,0.58,0.185,1.523,0.8045,0.3595,0.4375,between 9.0 and 11.0
I,0.275,0.205,0.065,0.101,0.041,0.021,0.034,less than 8.0
M,0.505,0.405,0.11,0.625,0.305,0.16,0.175,between 9.0 and 11.0
M,0.165,0.125,0.04,0.0245,0.0095,0.0045,0.008,less than 8.0
F,0.57,0.435,0.14,0.8585,0.3905,0.196,0.2295,between 8.0 and 9.0
M,0.385,0.3,0.095,0.24,0.0885,0.059,0.085,between 9.0 and 11.0
F,0.415,0.34,0.13,0.3675,0.146,0.0885,0.12,between 9.0 and 11.0
M,0.425,0.325,0.12,0.3755,0.142,0.1065,0.105,between 9.0 and 11.0
I,0.515,0.4,0.12,0.659,0.2705,0.179,0.17,greater than 11.0
