CIC0,SM1_Dz,GATS1i,NdsCH,NdssC,MLOGP,LC50
2.491,0.827,1.205,0,0,2.066,between 3.9875 and 4.9075
3.011,0.405,1.641,0,0,1.422,less than 3.15175
2.863,0.223,1.309,1,0,2.32,greater than 4.9075
3.499,0.907,1.102,0,0,3.017,between 3.9875 and 4.9075
2.751,0.988,0.836,0,1,2.103,less than 3.15175
3.037,0.134,1.205,0,0,0.722,less than 3.15175
2.678,0.223,1.078,0,1,2.928,between 3.9875 and 4.9075
3.196,0.827,1.194,0,0,1.778,between 3.15175 and 3.9875
2.425,0.405,1.999,0,0,0.964,less than 3.15175
2.964,0.956,1.055,1,0,1.726,greater than 4.9075
2.138,0.134,0.93,0,0,2.651,between 3.9875 and 4.9075
3.778,0.693,1.345,0,1,4.204,greater than 4.9075
2.539,1.062,0.85,0,0,3.425,greater than 4.9075
3.243,0.405,1.697,0,0,2.41,less than 3.15175
4.031,0.829,1.419,0,0,3.067,between 3.9875 and 4.9075
2.375,0.223,1.145,0,0,0.875,less than 3.15175
3.065,0.713,0.944,0,0,1.491,less than 3.15175
2.493,1.286,1.062,0,1,2.055,between 3.9875 and 4.9075
3.684,0.331,2.103,0,0,0.975,less than 3.15175
2.866,0.827,1.305,0,0,1.96,between 3.9875 and 4.9075
2.239,0.223,1.399,0,1,2.434,less than 3.15175
3.531,0.134,1.691,0,0,3.305,greater than 4.9075
1.957,0.223,1.207,1,0,-0.062,less than 3.15175
3.139,0.405,0.963,0,0,2.482,between 3.9875 and 4.9075
3.797,1.593,1.236,0,0,2.942,greater than 4.9075
2.819,0.827,1.017,0,0,1.533,less than 3.15175
2.461,0.827,1.755,0,0,3.208,greater than 4.9075
3.342,0.693,1.345,0,0,4.017,greater than 4.9075
1.975,0.405,1.203,0,0,0.492,less than 3.15175
3.628,0.331,1.417,0,0,2.966,between 3.9875 and 4.9075
3.244,0.405,1.399,0,1,2.067,between 3.15175 and 3.9875
2.388,0.907,1.208,0,0,2.654,between 3.9875 and 4.9075
2.744,0.827,1.145,0,0,2.355,less than 3.15175
3.517,0.693,1.697,0,1,1.759,between 3.9875 and 4.9075
1.778,0.134,0.969,0,0,-0.355,less than 3.15175
2.964,0.134,0.816,1,0,1.493,less than 3.15175
3.699,0.907,1.565,0,0,2.551,greater than 4.9075
3.438,1.374,1.188,0,0,3.956,between 3.9875 and 4.9075
2.476,0.827,1.017,0,0,0.723,less than 3.15175
3.531,0.405,1.145,0,0,3.245,between 3.9875 and 4.9075
3.172,0.693,1.491,0,0,3.061,greater than 4.9075
2.676,0.827,0.98,0,0,2.759,between 3.9875 and 4.9075
2.194,0.134,1.555,0,0,1.726,less than 3.15175
2.965,0.827,0.839,0,1,3.218,greater than 4.9075
3.799,0.693,1.799,0,0,0.996,less than 3.15175
3.245,1.286,1.061,0,0,4.153,greater than 4.9075
3.688,0.405,1.188,0,0,2.356,less than 3.15175
2.866,0.693,1.061,0,0,1.235,less than 3.15175
2.388,0.134,1.176,0,1,1.927,between 3.15175 and 3.9875
1.944,0.693,1.355,0,0,2.941,between 3.9875 and 4.9075
3.171,0.827,1.691,0,0,1.725,between 3.9875 and 4.9075
3.815,0.405,1.306,0,0,3.419,between 3.9875 and 4.9075
2.965,1.062,1.351,0,0,1.375,between 3.15175 and 3.9875
3.332,0.693,0.93,0,0,1.865,less than 3.15175
2.881,0.743,1.269,0,1,1.351,less than 3.15175
3.457,0.498,1.432,0,0,2.184,between 3.9875 and 4.9075
2.317,0.891,1.057,0,0,1.729,less than 3.15175
3.628,0.225,1.531,0,2,2.463,between 3.15175 and 3.9875
2.193,0.671,1.842,1,0,0.926,less than 3.15175
3.965,0.934,1.284,0,0,3.467,greater than 4.9075
3.037,0.457,1.692,0,1,2.036,between 3.9875 and 4.9075
2.746,0.568,0.935,0,0,1.486,between 3.15175 and 3.9875
2.964,1.065,1.328,0,0,2.928,between 3.9875 and 4.9075
3.298,0.355,1.513,0,0,1.859,less than 3.15175
3.857,0.636,1.275,0,3,4.217,greater than 4.9075
2.46,0.785,1.447,1,0,1.139,between 3.15175 and 3.9875
3.137,0.921,0.816,0,0,2.699,greater than 4.9075
3.945,0.247,1.394,0,0,3.139,between 3.9875 and 4.9075
2.582,0.459,1.604,0,1,1.632,less than 3.15175
4.276,0.527,1.082,0,0,4.895,greater than 4.9075
3.399,0.94,1.489,0,2,2.451,between 3.9875 and 4.9075
2.227,0.697,1.899,0,0,0.785,less than 3.15175
3.061,0.831,1.278,0,0,2.098,between 3.15175 and 3.9875
3.76,0.594,1.355,0,0,3.271,greater than 4.9075
2.509,0.475,1.632,0,0,1.426,less than 3.15175
3.815,0.665,1.191,0,3,4.361,greater than 4.9075
2.678,1.052,0.757,0,0,2.574,between 3.9875 and 4.9075
3.241,0.713,1.482,0,0,1.825,between 3.15175 and 3.9875
2.424,0.549,1.751,1,0,0.961,less than 3.15175
4.057,0.385,1.294,0,0,4.636,greater than 4.9075
3.463,0.925,1.523,0,2,2.823,between 3.9875 and 4.9075
3.171,0.753,0.869,0,0,2.253,greater than 4.9075
2.955,0.434,1.554,0,0,1.351,less than 3.15175
3.689,0.587,1.418,0,0,3.056,greater than 4.9075
2.813,0.616,1.425,0,1,1.683,between 3.15175 and 3.9875
4.436,0.454,1.062,0,0,4.899,greater than 4.9075
2.977,0.783,1.486,0,0,1.968,between 3.15175 and 3.9875
3.355,0.916,1.364,0,2,2.616,between 3.9875 and 4.9075
2.59,0.628,1.753,1,0,0.858,less than 3.15175
2.764,0.486,0.983,0,0,1.426,less than 3.15175
3.883,0.643,1.256,0,0,3.462,greater than 4.9075
2.371,0.796,1.635,0,0,1.129,between 3.15175 and 3.9875
3.736,0.533,1.499,0,3,2.931,between 3.9875 and 4.9075
3.997,0.279,1.225,0,0,4.845,greater than 4.9075
2.628,0.721,1.456,0,1,1.543,between 3.15175 and 3.9875
3.486,1.021,0.854,0,0,3.157,greater than 4.9075
2.797,0.557,1.874,1,0,0.793,less than 3.15175
3.924,0.617,1.384,0,2,2.985,between 3.9875 and 4.9075
3.247,0.833,1.521,0,0,1.987,between 3.15175 and 3.9875
4.193,0.491,1.086,0,0,4.759,greater than 4.9075
2.351,0.619,1.664,0,0,0.887,less than 3.15175
3.645,0.859,1.314,0,3,2.537,between 3.9875 and 4.9075
3.138,0.537,1.578,0,0,2.163,less than 3.15175
2.903,0.684,1.432,0,1,1.616,between 3.15175 and 3.9875
3.77,0.626,1.295,0,0,3.334,greater than 4.9075
2.458,0.745,1.81,1,0,0.963,less than 3.15175
3.976,0.492,1.228,0,0,4.904,greater than 4.9075
3.425,0.911,1.454,0,2,2.88,between 3.9875 and 4.9075
3.081,0.751,0.971,0,0,2.157,greater than 4.9075
3.564,0.654,1.498,0,0,2.396,between 3.15175 and 3.9875
2.774,0.598,1.704,0,0,1.34,less than 3.15175
2.935,0.331,1.104,0,0,2.114,between 3.15175 and 3.9875
3.482,0.693,1.316,0,1,2.367,greater than 4.9075
2.145,0.223,1.625,1,0,0.87,less than 3.15175
3.964,1.028,0.762,0,0,4.295,greater than 4.9075
3.171,0.134,1.011,0,0,2.52,between 3.15175 and 3.9875
2.712,0.405,1.145,0,0,1.85,less than 3.15175
3.457,1.501,0.872,0,0,4.901,greater than 4.9075
2.269,0.887,0.954,0,0,1.495,between 3.9875 and 4.9075
3.925,0.223,1.155,0,0,3.456,greater than 4.9075
2.582,1.462,0.83,0,0,5.058,greater than 4.9075
3.195,0.947,1.298,0,2,1.799,between 3.15175 and 3.9875
2.341,0.134,1.431,0,0,-0.044,less than 3.15175
3.678,0.56,1.781,0,0,0.742,less than 3.15175
2.493,1.028,1.889,0,3,-0.971,less than 3.15175
3.986,0.251,1.771,0,0,1.181,less than 3.15175
4.063,0.405,1.189,2,3,4.418,greater than 4.9075
2.758,0.331,0.951,0,1,1.364,less than 3.15175
