CIC0,SM1_Dz,GATS1i,NdsCH,NdssC,MLOGP,LC50
2.635,0.469,1.399,0,0,1.701,between 3.15175 and 3.9875
3.082,0.711,1.501,1,3,1.759,between 3.9875 and 4.9075
2.217,0.659,0.788,0,0,1.758,between 3.15175 and 3.9875
1.911,0.829,0.834,0,0,2.509,between 3.15175 and 3.9875
2.649,0.251,1.287,0,0,0.454,less than 3.15175
3.111,0.134,1.563,0,0,3.806,greater than 4.9075
2.367,0.711,0.868,0,1,1.229,less than 3.15175
2.111,1.477,1.298,0,0,3.225,greater than 4.9075
3.957,0.693,1.678,0,2,2.849,greater than 4.9075
2.508,0.58,0.941,0,0,1.701,between 3.15175 and 3.9875
2.359,0.405,0.814,0,0,0.893,between 3.9875 and 4.9075
3.422,0.331,1.098,0,1,2.54,between 3.15175 and 3.9875
2.982,0.496,1.151,0,1,1.783,between 3.15175 and 3.9875
1.956,0.988,0.764,0,0,2.343,between 3.15175 and 3.9875
1.832,1.209,1.364,0,0,-0.792,between 3.15175 and 3.9875
2.359,0.405,0.814,0,0,0.893,greater than 4.9075
2.189,1.586,2.0,0,0,3.291,greater than 4.9075
2.671,0.496,1.077,0,1,1.697,between 3.15175 and 3.9875
2.918,0.134,1.684,0,0,0.8,less than 3.15175
2.216,0.389,0.796,0,0,1.953,between 3.15175 and 3.9875
3.09,0.223,1.583,0,1,1.442,less than 3.15175
2.238,0.923,1.074,0,0,0.291,between 3.15175 and 3.9875
3.651,1.151,0.911,0,2,2.278,between 3.9875 and 4.9075
3.469,0.604,1.517,0,0,3.451,greater than 4.9075
2.238,1.513,2.078,0,0,0.489,between 3.9875 and 4.9075
2.081,0.854,2.591,0,0,-0.816,less than 3.15175
2.834,0.134,1.009,0,0,2.066,between 3.15175 and 3.9875
3.055,1.273,1.132,0,0,2.931,greater than 4.9075
4.039,0.965,1.729,0,0,4.038,between 3.9875 and 4.9075
2.822,0.223,1.6,1,0,1.064,between 3.9875 and 4.9075
3.426,0.693,1.488,0,1,1.294,less than 3.15175
2.217,0.872,0.875,0,0,1.769,between 3.9875 and 4.9075
2.674,0.223,1.298,0,0,0.943,less than 3.15175
2.08,0.496,0.858,0,0,1.887,less than 3.15175
2.482,0.223,1.625,1,0,0.655,between 3.15175 and 3.9875
3.41,0.223,1.278,1,2,1.947,less than 3.15175
2.556,0.429,0.871,0,1,1.237,less than 3.15175
3.407,0.0,1.111,0,0,3.259,between 3.9875 and 4.9075
2.146,1.278,0.896,0,0,4.634,greater than 4.9075
4.829,0.331,1.521,4,4,4.57,greater than 4.9075
3.189,0.0,1.063,0,0,2.942,between 3.15175 and 3.9875
3.121,0.331,1.011,0,1,2.042,between 3.15175 and 3.9875
4.324,0.0,1.205,0,1,4.738,between 3.9875 and 4.9075
2.536,0.764,1.165,0,1,2.619,between 3.9875 and 4.9075
2.046,0.223,1.429,1,0,0.202,greater than 4.9075
3.619,0.811,1.208,0,0,3.291,between 3.9875 and 4.9075
3.113,0.134,1.016,0,0,2.193,between 3.15175 and 3.9875
2.714,0.56,1.965,0,0,-0.917,less than 3.15175
2.675,0.251,1.762,0,0,-0.534,less than 3.15175
2.132,1.621,1.511,0,0,2.64,greater than 4.9075
2.438,0.956,2.609,0,0,0.113,less than 3.15175
3.053,0.693,1.312,1,0,1.21,between 3.9875 and 4.9075
2.086,1.501,0.766,0,0,3.909,greater than 4.9075
3.639,0.331,1.478,0,1,2.821,between 3.15175 and 3.9875
2.262,1.096,1.907,0,1,-1.96,between 3.15175 and 3.9875
4.151,0.134,1.22,0,0,4.833,greater than 4.9075
