CIC0,SM1_Dz,GATS1i,NdsCH,NdssC,MLOGP,LC50
2.512,0.389,1.374,0,1,1.98,between 3.9875 and 4.9075
2.487,0.512,1.205,0,0,1.506,less than 3.15175
2.982,0.223,1.205,0,0,2.066,between 3.15175 and 3.9875
3.014,0.405,1.781,0,1,1.21,between 3.9875 and 4.9075
1.956,0.496,0.857,0,0,0.68,less than 3.15175
2.641,0.389,1.245,0,0,1.064,less than 3.15175
2.216,0.331,0.849,0,1,1.887,less than 3.15175
3.036,0.223,1.009,0,0,2.351,between 3.9875 and 4.9075
2.43,0.496,1.269,0,1,1.697,between 3.15175 and 3.9875
3.033,0.798,1.093,0,0,1.506,between 3.15175 and 3.9875
2.08,0.496,0.858,0,0,1.953,between 3.15175 and 3.9875
2.544,0.405,1.205,0,1,0.133,less than 3.15175
2.387,0.223,1.781,1,0,2.066,between 3.15175 and 3.9875
2.834,0.389,1.009,0,0,1.21,between 3.9875 and 4.9075
2.961,0.496,1.245,0,0,1.98,between 3.9875 and 4.9075
3.957,0.331,1.205,0,0,1.697,between 3.15175 and 3.9875
