CIC0,SM1_Dz,GATS1i,NdsCH,NdssC,MLOGP,LC50
2.449,0.693,1.319,0,1,2.115,between 3.15175 and 3.9875
3.531,0.134,1.493,0,0,1.883,less than 3.15175
2.955,0.223,1.41,1,0,3.021,between 3.9875 and 4.9075
3.139,0.331,1.106,0,0,2.348,greater than 4.9075
3.729,0.496,1.742,0,2,4.394,between 3.9875 and 4.9075
2.729,0.405,0.789,0,0,0.993,between 3.15175 and 3.9875
3.625,1.636,1.374,0,1,3.993,greater than 4.9075
2.609,0.223,1.145,0,0,2.381,between 3.9875 and 4.9075
3.936,0.331,1.21,0,0,4.046,between 3.9875 and 4.9075
3.082,0.405,1.02,1,2,3.331,greater than 4.9075
3.396,0.134,1.585,0,0,1.742,between 3.15175 and 3.9875
2.628,1.278,0.789,0,0,4.339,greater than 4.9075
3.565,0.223,1.51,0,1,3.021,between 3.9875 and 4.9075
2.695,0.693,1.493,1,0,1.564,between 3.9875 and 4.9075
3.378,0.405,0.965,0,0,2.523,between 3.15175 and 3.9875
2.83,0.223,1.727,0,0,0.649,between 3.15175 and 3.9875
3.847,0.96,1.53,0,0,3.219,between 3.9875 and 4.9075
3.216,0.0,1.02,0,0,4.171,greater than 4.9075
2.678,0.693,0.793,0,2,2.499,less than 3.15175
2.406,0.46,2.24,1,0,2.065,between 3.9875 and 4.9075
3.193,1.082,1.46,0,1,2.982,between 3.15175 and 3.9875
3.915,0.9,1.184,0,0,2.628,less than 3.15175
3.697,0.287,1.409,0,2,4.445,greater than 4.9075
2.84,0.47,0.882,0,0,0.955,less than 3.15175
2.399,0.97,1.655,0,0,4.378,greater than 4.9075
3.259,0.238,1.352,0,0,3.517,between 3.9875 and 4.9075
2.955,0.331,1.625,1,2,3.334,between 3.15175 and 3.9875
3.488,0.48,0.834,0,0,2.628,between 3.15175 and 3.9875
3.625,0.223,1.364,0,0,1.836,between 3.15175 and 3.9875
2.695,0.97,0.933,0,0,4.202,greater than 4.9075
3.169,0.287,1.227,0,1,1.465,between 3.9875 and 4.9075
3.332,0.693,1.492,0,2,3.219,greater than 4.9075
3.03,0.223,1.655,0,0,0.789,less than 3.15175
3.57,0.405,0.936,0,2,2.542,between 3.9875 and 4.9075
3.725,0.5,1.465,1,0,2.449,greater than 4.9075
3.106,0.693,1.492,0,0,2.93,between 3.9875 and 4.9075
2.955,0.134,1.51,0,0,3.28,between 3.9875 and 4.9075
3.24,1.016,1.145,0,0,3.33,between 3.9875 and 4.9075
2.978,0.693,1.21,0,0,2.542,between 3.15175 and 3.9875
3.396,0.287,0.805,0,0,4.129,greater than 4.9075
3.73,0.331,1.493,0,0,2.381,less than 3.15175
3.324,0.223,1.409,0,0,3.011,between 3.9875 and 4.9075
3.02,0.693,1.106,0,0,3.28,greater than 4.9075
3.52,0.693,1.493,1,2,2.348,between 3.15175 and 3.9875
3.758,0.331,0.793,0,0,0.993,between 3.9875 and 4.9075
2.881,0.693,2.364,0,0,4.273,greater than 4.9075
3.23,1.104,1.145,0,0,3.158,greater than 4.9075
3.409,0.693,1.492,0,2,1.742,between 3.9875 and 4.9075
3.122,0.96,0.834,0,0,2.116,less than 3.15175
3.538,0.287,2.107,0,1,0.878,between 3.9875 and 4.9075
3.09,0.693,0.955,0,0,3.73,between 3.9875 and 4.9075
3.52,0.693,1.025,0,0,2.542,greater than 4.9075
3.348,0.331,0.911,0,0,2.348,less than 3.15175
3.193,0.693,1.493,0,2,1.79,less than 3.15175
3.51,0.693,1.085,0,0,3.219,between 3.9875 and 4.9075
2.906,0.693,1.674,0,0,4.052,greater than 4.9075
3.02,0.693,1.21,1,2,2.381,between 3.15175 and 3.9875
3.44,0.287,0.936,0,1,2.542,between 3.15175 and 3.9875
2.977,1.016,1.492,0,0,4.046,greater than 4.9075
2.951,0.46,1.402,0,1,2.465,between 3.15175 and 3.9875
3.817,0.287,1.654,1,0,3.198,greater than 4.9075
2.467,0.65,1.196,0,0,1.89,between 3.9875 and 4.9075
3.592,0.401,1.549,0,2,2.931,between 3.9875 and 4.9075
2.829,0.59,1.318,1,0,1.457,less than 3.15175
