relative_compactness,surface_area,wall_area,roof_area,overall_height,orientation,glazing_area,glazing_area_distribution,heating_load
0.7089065,716.306,269.4818,220.51903,3.4981961,2.982041,0.2490594,1.9516357,less than 12.9925
0.68629956,739.33264,278.1275,220.71278,3.511697,3.0011778,0.10069529,5.0181766,between 12.9925 and 18.95
0.7899858,641.55994,409.15292,123.5709,7.0058823,2.9962964,0.24993186,1.9995463,between 12.9925 and 18.95
0.75777674,662.5155,415.33478,122.810074,7.0116377,2.0151525,0.25158843,1.9689741,greater than 31.6675
0.79108214,633.03516,344.04022,146.53673,7.0163054,2.9972692,0.24943304,1.0244541,greater than 31.6675
0.6825178,739.7047,295.20145,220.34602,3.5019195,3.0073931,0.100651,1.9632707,less than 12.9925
0.979119,514.18134,293.84863,111.31439,6.9921474,3.0103688,0.40014777,2.964701,greater than 31.6675
0.79517406,631.7033,341.26312,146.94875,7.0165462,2.9909804,0.100144684,1.9913595,greater than 31.6675
0.7396357,688.9952,387.93814,122.558914,7.0123005,3.0221744,0.09869051,4.042922,less than 12.9925
0.76010865,661.53204,417.33762,122.27015,7.0033646,2.9946685,0.10125774,0.9758077,between 12.9925 and 18.95
0.7896368,637.73047,370.13052,145.23672,7.0117197,1.9690782,0.099130385,1.9582189,greater than 31.6675
0.82055557,611.6888,318.70493,146.42659,7.002701,4.0055346,0.25199354,5.006561,between 12.9925 and 18.95
0.7587393,661.80164,416.96848,122.514565,7.0116925,2.9961705,0.09978352,3.991964,between 12.9925 and 18.95
0.75901395,661.798,416.24115,122.561424,6.986111,1.9861752,0.10038256,3.9600415,less than 12.9925
0.738546,689.2164,244.55838,220.60493,3.5012643,1.9895614,0.39986578,3.9761572,between 12.9925 and 18.95
0.7585161,662.2739,417.03763,122.47271,7.0038776,1.9909108,0.3999623,1.9658245,greater than 31.6675
0.9786646,538.1356,234.73842,111.225494,7.009019,4.003503,0.098980725,1.9521891,between 12.9925 and 18.95
0.7918505,634.1329,342.71423,146.73119,7.001575,5.0179157,0.10030556,1.9711354,between 12.9925 and 18.95
0.79028505,637.1081,343.00516,146.68413,7.0070224,2.9950027,0.10075236,4.9856524,less than 12.9925
0.8972057,564.4053,318.50043,122.76314,6.9909225,3.000754,0.099152856,2.0264597,between 12.9925 and 18.95
0.69307894,730.4194,289.2203,220.73877,3.5060103,3.0036664,0.40042156,5.0322213,between 12.9925 and 18.95
0.8208129,612.22314,318.7365,146.71013,7.006563,4.0115724,0.2519015,1.9761891,between 18.95 and 31.6675
0.82206386,611.2294,318.53012,146.57957,7.0157404,4.024358,0.10007453,1.9789679,less than 12.9925
0.74199694,681.34424,290.06506,122.65681,6.9833975,2.986905,0.099626936,3.007817,between 12.9925 and 18.95
0.74121433,680.9832,244.6503,220.42657,3.4917533,2.9908707,0.10062119,1.0123777,less than 12.9925
0.7450679,677.52185,348.35596,122.764015,6.987801,3.0187457,0.099774316,1.9889369,between 12.9925 and 18.95
0.7391153,688.6638,244.54239,220.54402,3.497163,2.0090635,0.25162607,5.011538,less than 12.9925
0.90055233,559.20624,319.95566,121.79859,7.0041404,4.0076375,0.10020467,1.9775513,greater than 31.6675
0.65867126,766.60583,319.31766,220.6177,3.4958985,1.9844165,0.2503257,2.0281336,between 12.9925 and 18.95
0.85355407,589.5994,293.6402,147.41003,7.008903,2.9920056,0.09965549,4.9876494,between 12.9925 and 18.95
0.7901723,637.2806,343.01718,146.20882,7.006412,2.9905784,0.40223423,2.0089924,greater than 31.6675
0.78891295,637.7009,344.80774,146.44275,6.9950376,4.0099173,0.25120276,4.97906,between 12.9925 and 18.95
0.97966385,536.0085,341.9164,108.19801,6.997671,3.0086372,0.10079829,4.9992075,between 12.9925 and 18.95
0.8249087,610.47797,318.28604,146.74854,7.001224,2.9938927,0.4009356,4.009003,between 18.95 and 31.6675
0.8175366,613.7325,319.02026,146.86742,7.0050435,4.009018,0.25082782,1.9669981,greater than 31.6675
0.8227247,611.1217,318.94284,147.01395,7.018903,4.997968,0.09996444,2.014109,between 12.9925 and 18.95
0.9766523,515.27686,312.16354,110.96646,7.0107713,1.977088,0.25098023,1.9741799,between 12.9925 and 18.95
0.71196157,709.62964,268.67023,220.55836,3.499365,2.981817,0.10221674,2.9989069,less than 12.9925
0.9802565,514.64636,419.07675,110.17723,7.0109477,3.0065897,0.09988372,5.034015,between 18.95 and 31.6675
0.8188928,612.933,318.52542,146.78688,7.0102215,3.9907598,0.09993282,0.010173606,between 12.9925 and 18.95
0.75977844,661.48285,416.09952,122.40864,7.0016203,2.9970407,0.10054732,2.004347,greater than 31.6675
0.75881016,661.8767,417.48938,122.264336,7.0066714,1.9959532,0.09972942,5.011918,greater than 31.6675
0.79323983,635.83417,343.43295,146.96834,7.012946,2.9851139,0.40192077,0.99942786,greater than 31.6675
0.8216016,611.47864,318.50317,146.71306,7.016109,3.9881473,0.25206164,1.9701174,between 18.95 and 31.6675
0.9816964,514.286,294.01337,110.40824,7.0119033,2.9942327,-0.0021350798,0.005608991,between 12.9925 and 18.95
0.7126268,707.1172,269.31564,220.94801,3.493885,3.0002234,0.09972544,1.9890997,less than 12.9925
0.6605009,756.3416,318.74673,220.60286,3.5015066,2.0090394,0.100600824,1.0040542,less than 12.9925
0.6586173,763.5616,320.03433,220.76447,3.5023432,4.0196385,0.40120584,4.0033517,between 12.9925 and 18.95
0.70707995,712.52704,269.55258,220.7021,3.4958246,2.9987369,0.10024275,2.0074859,less than 12.9925
0.8221765,611.0125,318.46997,147.07411,7.0024395,1.993627,0.10027775,5.0291705,between 12.9925 and 18.95
0.75850326,662.58057,416.9747,121.95289,7.005481,1.9955415,0.09965776,-0.00094207376,greater than 31.6675
0.71194327,707.99615,244.9629,220.94305,3.4981575,4.011207,0.10078016,3.007654,less than 12.9925
0.8233794,610.21643,317.8792,146.64496,6.997568,2.9967804,0.09975899,1.9749497,between 12.9925 and 18.95
0.82294846,610.00104,318.71918,146.4757,7.0037403,2.9847963,0.25178707,3.0146604,greater than 31.6675
0.78874254,637.5101,343.92273,146.74048,6.9836693,4.9782214,0.25180647,1.9799541,greater than 31.6675
0.6212054,808.3673,346.83032,220.12715,3.4816434,2.9907842,0.10072419,1.9720411,between 12.9925 and 18.95
0.6890705,738.1057,294.8852,220.57567,3.491672,2.9972622,0.250169,1.9212998,less than 12.9925
0.7151679,704.6097,268.43094,220.45992,3.4978678,3.0061479,0.25219557,3.0213273,less than 12.9925
0.65953046,766.5678,319.3485,220.26363,3.4973235,5.0043154,-0.00021338233,0.0022613425,less than 12.9925
0.98402953,514.6916,293.8662,111.65143,7.016861,4.9813013,0.0985869,4.9832487,between 12.9925 and 18.95
0.79330343,635.34125,342.12842,146.97916,7.0038953,2.0018778,0.10105914,3.0417602,greater than 31.6675
0.64684075,782.63324,343.35022,220.69354,3.495734,4.985398,0.2515272,3.0276828,between 12.9925 and 18.95
0.6620396,750.67017,408.87613,122.439415,6.9971404,5.01039,0.098678835,4.9901996,less than 12.9925
0.821715,611.84534,318.6596,146.37108,7.005942,4.9980597,0.40162742,5.0284386,greater than 31.6675
0.8579314,588.58203,293.94595,147.29816,7.0020766,5.005142,0.10075429,2.983168,between 18.95 and 31.6675
0.6866806,737.0811,294.87778,220.69252,3.4990218,2.9912205,0.1004859,1.016592,between 12.9925 and 18.95
0.974575,514.9059,302.4387,110.380714,7.0109673,2.0112498,0.10162761,1.9610428,between 12.9925 and 18.95
0.7889195,645.3061,342.0171,147.06201,6.999639,2.0032122,-0.0021663303,-0.03565723,between 12.9925 and 18.95
0.73889047,688.6792,245.4949,220.66,3.491009,2.0022995,0.10034474,5.0138044,less than 12.9925
0.7385478,687.35645,244.84192,220.37715,3.4678612,2.980517,0.2522698,1.9806346,less than 12.9925
0.741458,682.25946,245.1566,220.82095,3.497233,1.9961349,0.39963007,4.9918175,between 12.9925 and 18.95
0.7456454,676.95917,416.27713,122.86384,7.012908,3.0170896,0.40246254,1.9772271,greater than 31.6675
0.8204781,611.9089,318.47482,147.26521,7.0025754,4.003641,0.100608885,5.032195,between 18.95 and 31.6675
0.98232216,514.6533,313.04398,109.0743,6.9969993,2.9951258,0.10103333,1.9971263,between 12.9925 and 18.95
0.86124706,587.6191,293.74014,147.03308,6.9934883,3.0074666,0.09974969,2.0013723,between 12.9925 and 18.95
0.7122907,705.22107,246.37918,221.08002,3.4985926,4.013096,0.10217232,5.017199,less than 12.9925
0.8969968,564.4058,318.49817,122.59331,7.00876,3.0150154,0.100150846,1.9805603,between 12.9925 and 18.95
0.6229184,801.89935,363.75763,220.52394,3.5108993,4.0136538,0.40074882,1.9747005,between 12.9925 and 18.95
0.82203066,611.5801,317.6902,146.98979,7.0127873,3.0091717,0.39975587,4.9971433,between 18.95 and 31.6675
0.8603832,587.7754,293.98495,147.12248,7.010321,3.0040772,0.100845106,1.0206453,between 18.95 and 31.6675
0.6883158,735.82794,294.1141,220.5232,3.500104,1.9758892,0.100771256,0.9692379,less than 12.9925
0.65758365,765.22974,321.90085,220.58842,3.4989417,2.9895134,0.10142082,1.9612278,less than 12.9925
0.8183881,613.52075,319.52786,146.59576,7.0128503,4.010238,0.101078704,3.9697943,between 18.95 and 31.6675
0.7896614,637.2222,342.9658,147.23128,7.009671,4.0172267,0.40016162,5.0106745,between 12.9925 and 18.95
0.8595334,587.9885,293.85684,147.25175,7.0156593,3.001312,0.09901012,1.972731,between 12.9925 and 18.95
0.76093906,661.2976,416.0157,121.6854,7.007979,1.9927928,0.10067403,4.024465,greater than 31.6675
0.8207766,612.00464,318.7947,146.74301,7.0098968,2.9900343,0.4007237,4.0117455,greater than 31.6675
0.7900322,637.18384,343.02216,147.27295,7.016927,2.9939954,0.10017578,5.0226493,greater than 31.6675
0.71242636,707.51776,269.02002,220.5401,3.4979014,2.9999769,0.40123177,5.0090647,between 12.9925 and 18.95
0.74389005,683.7222,241.60078,220.6589,3.5065026,2.9867747,0.251296,1.9595631,less than 12.9925
0.65948427,759.8605,318.61108,220.32065,3.5012293,1.9929771,0.09970138,1.9900177,between 18.95 and 31.6675
0.9813141,514.6436,293.8576,110.38959,7.0108557,3.0061257,0.099735826,1.991787,between 18.95 and 31.6675
0.8177583,613.7724,319.34253,147.08089,7.007451,4.989511,0.09967958,1.0369545,greater than 31.6675
0.76353663,660.6139,416.65228,122.47612,7.010055,3.004307,0.39957413,4.9769397,greater than 31.6675
0.7081797,717.5096,270.25647,220.50389,3.4995897,2.9836588,0.4020254,2.0163205,between 12.9925 and 18.95
0.8173605,614.2909,318.75854,147.04384,6.994625,4.0050316,0.40002096,1.0192199,between 12.9925 and 18.95
0.86051065,587.79315,293.9136,146.9191,7.001029,2.9948065,0.4005591,1.9721065,greater than 31.6675
0.6898429,735.3753,294.28903,220.63664,3.500722,4.9836845,0.40077865,2.0309973,between 12.9925 and 18.95
0.7599192,661.33167,415.83322,122.75363,7.003611,3.9903326,0.09994606,1.9731747,between 12.9925 and 18.95
0.9805847,514.3681,293.9096,110.34523,7.0104394,4.0126286,0.099101074,2.0078063,between 12.9925 and 18.95
0.8220737,612.05927,318.6687,145.96922,7.017987,1.974245,0.2515527,1.9616584,between 18.95 and 31.6675
0.6546374,766.21783,321.65558,221.312,3.493745,3.0118978,0.100722544,1.9560586,between 12.9925 and 18.95
0.8602468,587.9633,293.8012,146.82425,6.998671,3.0109215,0.10067694,2.004672,between 12.9925 and 18.95
0.6893948,735.5374,294.80142,220.52988,3.4909713,2.997697,0.4013988,5.0032434,between 12.9925 and 18.95
0.9822464,514.1747,294.42975,110.052246,7.0119767,4.006604,0.09972882,1.9847401,between 18.95 and 31.6675
0.69053257,732.0369,361.7031,220.86522,3.4953084,4.007238,0.10084891,1.9885557,between 12.9925 and 18.95
0.8613519,587.803,294.087,146.92915,7.0088696,3.006806,0.24998648,3.0190039,between 12.9925 and 18.95
