school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G3
GP,F,18,U,GT3,T,3,2,other,other,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,4,3,3,1,1,5,2,between 12.0 and 14.0,
MS,F,17,U,LE3,T,2,1,at_home,other,reputation,father,2,1,0,no,no,no,yes,yes,yes,no,4,4,3,1,2,5,0,between 10.0 and 12.0,
GP,M,16,U,GT3,T,4,3,services,services,home,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,5,4,1,1,1,3,6,between 10.0 and 12.0
GP,F,18,U,GT3,T,2,2,other,other,home,mother,2,2,0,no,yes,no,no,yes,yes,yes,yes,3,2,2,1,1,4,2,between 12.0 and 14.0
MS,M,19,U,GT3,T,1,1,at_home,other,course,other,2,1,3,no,no,no,yes,yes,yes,yes,4,4,5,1,3,5,4,less than 10.0,
GP,F,17,U,GT3,T,4,4,other,other,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,yes,4,3,4,1,1,5,2,greater than 14.0
MS,M,18,R,GT3,T,3,2,other,other,course,mother,2,1,0,no,yes,no,no,yes,yes,yes,no,4,4,5,4,4,5,4,between 10.0 and 12.0
GP,M,17,U,LE3,T,4,4,services,other,home,mother,1,2,0,no,yes,no,no,yes,yes,yes,yes,5,3,5,4,5,3,15,between 12.0 and 14.0
MS,F,16,U,GT3,T,3,4,services,other,other,mother,1,2,1,no,yes,no,yes,no,yes,yes,yes,5,4,4,3,4,5,8,less than 10.0
GP,F,17,U,GT3,T,4,3,other,other,reputation,mother,1,2,0,no,no,no,no,yes,yes,yes,yes,3,4,5,2,4,1,16,between 10.0 and 12.0
MS,M,18,U,GT3,T,2,1,at_home,other,course,other,2,1,3,no,no,no,yes,no,no,yes,yes,4,4,3,1,3,5,4,less than 10.0
GP,F,17,U,GT3,T,4,3,other,other,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,yes,4,3,4,1,1,5,2,greater than 14.0
GP,M,16,U,GT3,T,2,2,services,services,course,father,1,1,0,yes,yes,no,no,yes,yes,yes,no,5,4,1,1,1,1,0,between 10.0 and 12.0
GP,M,17,U,LE3,T,1,1,health,other,course,mother,2,1,1,no,yes,no,yes,yes,yes,yes,no,4,4,4,1,2,5,0,between 10.0 and 12.0
GP,F,17,U,GT3,T,3,3,at_home,other,course,mother,1,1,0,no,yes,yes,yes,yes,yes,yes,no,4,2,5,2,5,5,2,between 10.0 and 12.0
GP,F,18,R,GT3,T,3,1,other,other,reputation,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,5,3,3,1,1,4,4,less than 10.0
GP,M,18,U,LE3,A,3,4,other,other,reputation,other,1,2,0,no,no,no,yes,yes,yes,yes,yes,4,3,5,1,4,2,9,greater than 14.0
GP,M,20,U,GT3,A,3,2,services,other,course,other,1,1,2,no,no,no,yes,yes,yes,no,no,5,5,3,1,1,5,0,greater than 14.0
GP,F,18,U,GT3,T,4,3,other,other,course,mother,1,3,0,no,yes,no,yes,yes,yes,yes,yes,4,3,4,1,1,5,2,greater than 14.0
GP,F,16,U,GT3,T,2,2,services,services,home,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,1,2,2,1,3,5,6,between 12.0 and 14.0
