school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G3
GP,F,17,U,GT3,T,3,2,services,other,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,4,2,3,1,2,4,0,between 10.0 and 12.0,
MS,M,16,R,LE3,T,2,1,at_home,services,other,father,2,1,1,no,no,no,no,yes,yes,no,yes,4,4,3,3,5,5,6,between 10.0 and 12.0
GP,F,18,U,GT3,A,2,2,other,other,home,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,5,3,4,1,1,5,0,between 10.0 and 12.0
GP,M,15,U,GT3,T,4,3,teacher,services,course,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,1,1,1,1,1,0,greater than 14.0
MS,M,17,U,GT3,T,1,1,at_home,other,other,mother,3,2,0,no,no,no,no,yes,yes,yes,yes,5,1,3,3,3,1,0,between 10.0 and 12.0
GP,F,18,U,LE3,T,4,3,health,services,course,mother,2,1,0,no,yes,no,no,yes,yes,yes,no,3,2,4,1,4,1,8,greater than 14.0
MS,M,18,R,GT3,T,3,2,other,other,course,mother,2,1,0,no,yes,no,no,no,yes,yes,no,2,5,5,5,5,5,8,between 10.0 and 12.0
GP,F,17,U,GT3,T,3,3,other,other,home,mother,1,3,0,no,no,no,yes,no,yes,no,no,3,2,3,1,1,4,2,between 12.0 and 14.0
GP,F,17,U,GT3,T,4,3,health,other,reputation,mother,1,3,0,no,yes,no,yes,yes,yes,yes,yes,4,4,3,1,3,4,0,between 12.0 and 14.0
GP,F,17,U,LE3,T,4,2,teacher,services,reputation,mother,1,4,0,no,yes,no,yes,yes,yes,yes,no,4,2,3,1,1,4,2,greater than 14.0
GP,M,17,U,LE3,T,1,1,health,other,course,mother,2,1,1,no,yes,no,yes,yes,yes,yes,no,4,4,4,1,2,5,0,between 10.0 and 12.0
GP,F,16,U,GT3,T,2,2,other,other,home,mother,1,2,0,no,no,no,no,yes,yes,yes,yes,5,4,4,1,1,5,0,between 10.0 and 12.0
GP,M,16,U,LE3,T,1,1,services,other,course,mother,1,2,2,no,no,no,no,yes,yes,no,yes,4,4,4,1,3,5,0,between 10.0 and 12.0
GP,M,16,U,LE3,T,2,1,at_home,other,course,mother,1,1,1,no,no,no,yes,yes,yes,no,yes,4,4,4,3,5,5,6,between 10.0 and 12.0
MS,F,18,R,LE3,T,4,4,teacher,services,course,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,5,4,3,3,4,2,1,greater than 14.0
GP,F,16,U,GT3,T,3,1,services,other,course,mother,1,4,0,yes,yes,no,no,yes,yes,yes,no,4,3,3,1,2,5,0,between 10.0 and 12.0
