school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G3
MS,M,17,R,GT3,T,4,2,other,other,course,mother,2,2,0,no,yes,no,yes,yes,yes,no,4,4,5,2,5,4,0,between 10.0 and 12.0,
GP,F,18,U,LE3,T,2,1,services,at_home,home,father,1,1,0,no,no,no,no,no,yes,yes,3,2,2,1,1,2,6,less than 10.0,
MS,M,19,R,GT3,T,3,4,health,services,course,mother,4,3,0,no,yes,no,yes,yes,yes,yes,5,4,4,1,2,5,0,between 10.0 and 12.0,
MS,F,16,R,GT3,A,1,1,at_home,other,reputation,other,3,2,1,no,no,no,yes,yes,yes,no,2,1,2,4,2,4,8,less than 10.0,
GP,F,17,U,GT3,T,4,3,services,services,course,mother,1,1,0,no,yes,no,yes,yes,yes,yes,4,3,5,2,5,5,2,between 10.0 and 12.0,
MS,M,18,R,LE3,T,2,2,services,other,other,mother,2,3,0,no,no,no,no,no,yes,yes,4,4,1,3,4,5,4,between 10.0 and 12.0,
GP,M,17,R,GT3,T,4,4,health,other,home,mother,2,1,0,no,yes,no,no,yes,yes,yes,no,5,3,4,1,2,2,6,greater than 14.0
GP,M,19,U,GT3,T,1,2,at_home,other,home,other,3,2,0,no,no,no,no,no,yes,yes,4,4,4,2,4,4,10,between 10.0 and 12.0,
GP,M,18,U,LE3,A,4,3,services,teacher,course,father,1,1,0,no,yes,no,yes,yes,yes,yes,5,2,2,1,1,2,2,between 12.0 and 14.0,
MS,F,17,R,GT3,T,3,4,other,other,course,mother,4,3,0,no,yes,no,yes,yes,yes,yes,4,4,4,1,2,5,0,between 10.0 and 12.0,
MS,F,18,U,GT3,T,2,1,other,other,course,mother,3,2,0,no,no,no,yes,yes,yes,no,1,1,1,1,1,5,6,less than 10.0,
GP,F,16,U,GT3,T,4,4,services,services,course,mother,1,1,0,no,yes,no,yes,yes,yes,yes,4,3,5,2,5,5,2,between 10.0 and 12.0,
GP,F,17,R,GT3,T,1,1,health,other,home,other,3,2,1,no,no,no,yes,yes,yes,no,2,1,2,4,2,4,8,less than 10.0,
MS,M,19,R,LE3,T,3,4,at_home,services,reputation,mother,2,3,0,no,no,no,no,no,yes,yes,5,3,3,1,2,2,7,less than 10.0,
MS,M,18,R,GT3,A,4,3,services,services,course,mother,1,1,0,no,yes,no,yes,yes,yes,yes,5,4,4,3,4,2,8,between 10.0 and 12.0,
GP,M,17,R,GT3,T,2,2,services,other,course,mother,4,1,0,no,yes,no,no,yes,yes,yes,no,4,4,5,5,5,4,2,between 10.0 and 12.0
