carat,cut,color,clarity,depth,table,x,y,z,price
0.95,Very Good,F,SI2,62.1,59.0,6.21,6.18,3.83,between 2401.0 and 5324.25
0.67,Ideal,G,VS2,61.3,54.0,5.63,5.61,3.41,between 950.0 and 2401.0
1.22,Premium,E,SI1,62.2,57.0,6.92,6.88,4.19,between 2401.0 and 5324.25
0.32,Fair,D,VS1,63.8,60.0,4.47,4.45,2.85,less than 950.0
1.01,Ideal,I,VS1,62.6,57.0,6.31,6.26,3.97,between 2401.0 and 5324.25
0.53,Good,E,SI1,62.7,56.0,5.27,5.24,3.26,between 950.0 and 2401.0
1.38,Premium,F,VS2,60.4,59.0,7.08,7.03,4.35,greater than 5324.25
0.98,Premium,G,SI2,61.5,56.0,6.17,6.15,3.82,between 2401.0 and 5324.25
0.42,Very Good,H,VS1,62.4,57.0,4.83,4.81,2.94,between 950.0 and 2401.0
1.42,Good,J,SI1,62.9,57.0,7.22,7.17,4.45,greater than 5324.25
0.81,Ideal,G,VS1,60.9,55.0,5.98,5.93,3.69,between 950.0 and 2401.0
0.55,Ideal,F,SI1,61.4,57.0,5.19,5.17,3.17,between 950.0 and 2401.0
1.08,Very Good,E,SI2,62.3,57.0,6.56,6.51,4.06,between 2401.0 and 5324.25
0.71,Premium,D,VS1,61.9,56.0,5.69,5.65,3.51,between 950.0 and 2401.0
0.93,Good,G,SI2,63.3,60.0,6.08,6.05,3.81,between 2401.0 and 5324.25
0.85,Fair,H,VS2,62.6,57.0,5.87,5.85,3.59,between 950.0 and 2401.0
0.75,Very Good,I,SI1,61.8,54.0,5.78,5.74,3.57,between 950.0 and 2401.0
1.49,Premium,J,VS1,61.1,57.0,7.39,7.34,4.48,greater than 5324.25
0.62,Ideal,E,SI2,61.6,55.0,5.41,5.38,3.29,between 950.0 and 2401.0
0.68,Very Good,F,SI1,62.2,56.0,5.57,5.53,3.38,between 950.0 and 2401.0
0.39,Fair,G,VS1,62.1,59.0,4.63,4.62,2.83,less than 950.0
0.99,Premium,H,SI1,61.4,56.0,6.26,6.22,3.93,between 2401.0 and 5324.25
1.31,Good,I,VS2,61.9,57.0,6.98,6.93,4.29,greater than 5324.25
0.59,Ideal,J,SI2,62.5,55.0,5.32,5.28,3.25,between 950.0 and 2401.0
0.86,Very Good,G,SI1,62.4,57.0,5.89,5.86,3.61,between 950.0 and 2401.0
1.05,Ideal,F,VS1,61.2,56.0,6.45,6.41,3.99,between 2401.0 and 5324.25
0.46,Premium,E,VS2,61.9,57.0,4.94,4.91,2.99,between 950.0 and 2401.0
0.94,Good,H,SI2,62.8,57.0,6.12,6.07,3.84,between 2401.0 and 5324.25
1.39,Very Good,J,VS1,61.5,56.0,7.11,7.07,4.36,greater than 5324.25
0.69,Ideal,G,SI1,61.1,55.0,5.59,5.55,3.4,between 950.0 and 2401.0
0.79,Premium,D,SI2,62.9,58.0,5.82,5.79,3.59,between 950.0 and 2401.0
1.29,Ideal,I,VS1,62.3,56.0,6.92,6.87,4.26,greater than 5324.25
0.52,Very Good,F,SI1,62.5,55.0,5.16,5.13,3.19,between 950.0 and 2401.0
0.96,Good,G,SI2,63.1,60.0,6.19,6.16,3.9,between 2401.0 and 5324.25
1.16,Premium,H,VS2,61.7,57.0,6.73,6.69,4.14,greater than 5324.25
0.63,Ideal,J,SI1,61.5,56.0,5.39,5.35,3.27,between 950.0 and 2401.0
1.02,Very Good,I,VS1,61.9,56.0,6.34,6.28,3.97,between 2401.0 and 5324.25
0.49,Fair,E,SI2,62.4,57.0,5.04,5.01,3.08,between 950.0 and 2401.0
1.55,Good,J,VS1,61.2,57.0,7.45,7.4,4.53,greater than 5324.25
0.74,Premium,G,SI1,62.2,55.0,5.75,5.71,3.55,between 950.0 and 2401.0
0.88,Ideal,H,SI2,63.4,60.0,6.01,5.98,3.77,between 2401.0 and 5324.25
0.65,Very Good,F,SI1,61.8,56.0,5.49,5.45,3.33,between 950.0 and 2401.0
1.24,Premium,D,VS1,62.1,57.0,6.85,6.81,4.23,greater than 5324.25
0.48,Good,G,SI2,61.9,57.0,4.99,4.96,3.04,between 950.0 and 2401.0
1.01,Ideal,I,VS1,62.5,56.0,6.29,6.25,3.96,between 2401.0 and 5324.25
0.92,Very Good,J,SI1,61.7,56.0,6.09,6.04,3.78,between 2401.0 and 5324.25
0.68,Premium,H,SI2,62.9,58.0,5.56,5.53,3.38,between 950.0 and 2401.0
0.58,Ideal,G,SI1,62.3,55.0,5.29,5.25,3.23,between 950.0 and 2401.0
1.09,Good,F,VS2,62.8,57.0,6.51,6.46,4.08,between 2401.0 and 5324.25
0.75,Very Good,E,SI1,61.4,56.0,5.73,5.69,3.53,between 950.0 and 2401.0
0.83,Premium,D,SI2,62.5,58.0,5.85,5.81,3.61,between 950.0 and 2401.0
0.98,Ideal,H,VS1,62.2,56.0,6.24,6.19,3.92,between 2401.0 and 5324.25
1.35,Good,J,VS1,61.6,57.0,7.04,6.99,4.33,greater than 5324.25
0.54,Fair,G,SI2,61.9,57.0,5.17,5.13,3.15,between 950.0 and 2401.0
0.89,Very Good,I,SI1,62.4,56.0,6.03,5.98,3.76,between 2401.0 and 5324.25
0.82,Premium,H,SI2,63.2,60.0,5.79,5.76,3.57,between 950.0 and 2401.0
0.93,Ideal,G,SI1,61.1,55.0,6.08,6.03,3.79,between 950.0 and 2401.0
1.04,Good,F,VS1,62.6,57.0,6.43,6.38,4.01,between 2401.0 and 5324.25
0.7,Very Good,E,SI2,62.2,56.0,5.62,5.58,3.4,between 950.0 and 2401.0
0.87,Premium,D,SI1,62.9,58.0,5.94,5.89,3.64,between 950.0 and 2401.0
0.99,Ideal,J,VS2,61.8,57.0,6.21,6.16,3.91,between 2401.0 and 5324.25
0.41,Fair,H,SI1,62.5,57.0,4.78,4.75,2.93,less than 950.0
