carat,cut,color,clarity,depth,table,x,y,z,price
0.71,Ideal,F,SI1,61.9,56.0,5.63,5.68,3.49,between 2401.0 and 5324.25
0.96,Premium,E,VS2,63.1,58.0,6.21,6.24,3.95,between 2401.0 and 5324.25
0.35,Very Good,G,SI1,60.1,57.0,4.51,4.53,2.73,less than 950.0
1.28,Ideal,I,SI2,61.9,55.0,6.91,6.95,4.31,between 2401.0 and 5324.25
0.83,Good,E,VS1,62.9,56.0,5.99,6.03,3.81,between 2401.0 and 5324.25
0.69,Ideal,J,VS2,62.4,54.0,5.69,5.72,3.51,between 950.0 and 2401.0
0.37,Premium,D,SI1,62.2,60.0,4.59,4.61,2.81,less than 950.0
0.91,Very Good,F,SI1,59.9,63.0,5.97,6.01,3.69,less than 950.0
0.73,Ideal,E,VS1,61.5,57.0,5.79,5.82,3.59,between 2401.0 and 5324.25
0.98,Good,G,VS2,63.4,56.0,6.39,6.43,4.09,greater than 5324.25
0.63,Premium,I,SI2,62.6,55.0,5.55,5.59,3.41,between 950.0 and 2401.0
1.04,Ideal,F,SI1,62.1,56.0,6.45,6.48,4.01,between 2401.0 and 5324.25
0.76,Ideal,E,VS1,61.8,54.0,5.73,5.76,3.55,between 2401.0 and 5324.25
0.88,Very Good,G,SI1,60.8,57.0,5.85,5.89,3.65,less than 950.0
0.42,Premium,D,SI1,61.9,60.0,4.73,4.75,2.91,less than 950.0
1.19,Good,E,VS2,62.8,56.0,6.59,6.63,4.13,between 2401.0 and 5324.25
